year,date,home_team,away_team,home_score,away_score,stadium
2024,2024/03/29,巨人,阪神,4,0,東京ドーム
2024,2024/03/29,ヤクルト,中日,7,4,神宮球場
2024,2024/03/29,DeNA,広島,4,3,横浜スタジアム
2024,2024/03/29,楽天,西武,0,1,楽天モバイルパーク
2024,2024/03/29,ロッテ,日本ハム,1,4,ZOZOマリン
2024,2024/03/29,オリックス,ソフトバンク,1,3,京セラドーム
2024,2024/03/30,巨人,阪神,5,0,東京ドーム
2024,2024/03/30,ヤクルト,中日,1,1,神宮球場
2024,2024/03/30,DeNA,広島,6,1,横浜スタジアム
2024,2024/03/30,楽天,西武,2,8,楽天モバイルパーク
2024,2024/03/30,ロッテ,日本ハム,3,0,ZOZOマリン
2024,2024/03/30,オリックス,ソフトバンク,2,0,京セラドーム
2024,2024/03/31,巨人,阪神,0,5,東京ドーム
2024,2024/03/31,ヤクルト,中日,5,2,神宮球場
2024,2024/03/31,DeNA,広島,1,5,横浜スタジアム
2024,2024/03/31,楽天,西武,4,3,楽天モバイルパーク
2024,2024/03/31,ロッテ,日本ハム,2,3,ZOZOマリン
2024,2024/03/31,オリックス,ソフトバンク,2,5,京セラドーム
2024,2024/04/02,中日,巨人,4,3,バンテリンドーム
2024,2024/04/02,阪神,DeNA,3,5,甲子園
2024,2024/04/02,広島,ヤクルト,2,1,マツダスタジアム
2024,2024/04/02,日本ハム,楽天,2,4,エスコンフィールド
2024,2024/04/02,西武,オリックス,2,1,ベルーナドーム
2024,2024/04/02,ソフトバンク,ロッテ,2,0,PayPayドーム
2024,2024/04/03,中日,巨人,5,2,バンテリンドーム
2024,2024/04/03,阪神,DeNA,5,2,甲子園
2024,2024/04/03,日本ハム,楽天,4,2,エスコンフィールド
2024,2024/04/03,西武,オリックス,3,0,ベルーナドーム
2024,2024/04/03,ソフトバンク,ロッテ,2,4,PayPayドーム
2024,2024/04/04,中日,巨人,0,2,バンテリンドーム
2024,2024/04/04,阪神,DeNA,2,3,甲子園
2024,2024/04/04,広島,ヤクルト,6,3,マツダスタジアム
2024,2024/04/04,西武,オリックス,1,2,ベルーナドーム
2024,2024/04/04,ソフトバンク,ロッテ,8,1,PayPayドーム
2024,2024/04/05,巨人,DeNA,1,2,東京ドーム
2024,2024/04/05,ヤクルト,阪神,6,7,神宮球場
2024,2024/04/05,広島,中日,0,1,マツダスタジアム
2024,2024/04/05,日本ハム,西武,3,2,エスコンフィールド
2024,2024/04/05,楽天,ソフトバンク,1,6,楽天モバイルパーク
2024,2024/04/05,ロッテ,オリックス,1,0,ZOZOマリン
2024,2024/04/06,巨人,DeNA,4,6,東京ドーム
2024,2024/04/06,ヤクルト,阪神,3,4,神宮球場
2024,2024/04/06,広島,中日,0,4,マツダスタジアム
2024,2024/04/06,日本ハム,西武,2,5,エスコンフィールド
