year,date,home_team,away_team,home_score,away_score,stadium
2017,2017/03/31,巨人,中日,6,2,東京ドーム
2017,2017/03/31,ヤクルト,DeNA,9,2,神宮球場
2017,2017/03/31,広島,阪神,6,10,マツダスタジアム
2017,2017/03/31,日本ハム,西武,1,8,札幌ドーム
2017,2017/03/31,オリックス,楽天,4,6,京セラドーム
2017,2017/03/31,ソフトバンク,ロッテ,3,1,PayPayドーム
2017,2017/04/01,巨人,中日,4,2,東京ドーム
2017,2017/04/01,ヤクルト,DeNA,1,6,神宮球場
2017,2017/04/01,広島,阪神,9,8,マツダスタジアム
2017,2017/04/01,日本ハム,西武,3,1,札幌ドーム
2017,2017/04/01,オリックス,楽天,4,13,京セラドーム
2017,2017/04/01,ソフトバンク,ロッテ,4,1,PayPayドーム
2017,2017/04/02,巨人,中日,6,3,東京ドーム
2017,2017/04/02,ヤクルト,DeNA,8,4,神宮球場
2017,2017/04/02,広島,阪神,9,1,マツダスタジアム
2017,2017/04/02,日本ハム,西武,3,6,札幌ドーム
2017,2017/04/02,オリックス,楽天,4,5,京セラドーム
2017,2017/04/02,ソフトバンク,ロッテ,5,3,PayPayドーム
2017,2017/04/04,DeNA,巨人,2,5,横浜スタジアム
2017,2017/04/04,中日,広島,1,7,バンテリンドーム
2017,2017/04/04,阪神,ヤクルト,1,3,甲子園
2017,2017/04/04,楽天,ソフトバンク,7,1,楽天モバイルパーク
2017,2017/04/04,西武,オリックス,3,7,ベルーナドーム
2017,2017/04/04,ロッテ,日本ハム,1,6,ZOZOマリン
2017,2017/04/05,DeNA,巨人,2,4,横浜スタジアム
2017,2017/04/05,中日,広島,3,3,バンテリンドーム
2017,2017/04/05,阪神,ヤクルト,4,1,甲子園
2017,2017/04/05,楽天,ソフトバンク,4,15,楽天モバイルパーク
2017,2017/04/05,西武,オリックス,0,2,ベルーナドーム
2017,2017/04/05,ロッテ,日本ハム,7,6,ZOZOマリン
2017,2017/04/06,DeNA,巨人,4,2,横浜スタジアム
2017,2017/04/06,中日,広島,3,5,バンテリンドーム
2017,2017/04/06,阪神,ヤクルト,5,4,甲子園
2017,2017/04/06,楽天,ソフトバンク,3,1,楽天モバイルパーク
2017,2017/04/06,ロッテ,日本ハム,5,1,ZOZOマリン
2017,2017/04/07,中日,DeNA,7,5,バンテリンドーム
2017,2017/04/07,阪神,巨人,3,5,甲子園
2017,2017/04/07,広島,ヤクルト,4,1,マツダスタジアム
2017,2017/04/07,西武,ソフトバンク,2,4,ベルーナドーム
2017,2017/04/07,オリックス,日本ハム,4,2,京セラドーム
2017,2017/04/08,中日,DeNA,1,1,バンテリンドーム
2017,2017/04/08,広島,ヤクルト,2,1,マツダスタジアム
2017,2017/04/08,西武,ソフトバンク,6,1,ベルーナドーム
2017,2017/04/08,ロッテ,楽天,4,7,ZOZOマリン
2017,2017/04/08,オリックス,日本ハム,8,1,京セラドーム
2017,2017/04/09,中日,DeNA,1,2,バンテリンドーム
2017,2017/04/09,阪神,巨人,4,3,甲子園
2017,2017/04/09,広島,ヤクルト,6,2,マツダスタジアム
2017,2017/04/09,西武,ソフトバンク,4,2,ベルーナドーム
2017,2017/04/09,ロッテ,楽天,1,4,ZOZOマリン
2017,2017/04/09,オリックス,日本ハム,2,0,京セラドーム
2017,2017/04/11,巨人,広島,6,9,東京ドーム
2017,2017/04/11,日本ハム,ソフトバンク,0,3,札幌ドーム
2017,2017/04/11,オリックス,ロッテ,11,1,京セラドーム
2017,2017/04/12,巨人,広島,5,9,東京ドーム
2017,2017/04/12,ヤクルト,中日,2,5,神宮球場
2017,2017/04/12,DeNA,阪神,6,8,横浜スタジアム
2017,2017/04/12,日本ハム,ソフトバンク,4,3,札幌ドーム
2017,2017/04/12,楽天,西武,5,10,楽天モバイルパーク
2017,2017/04/12,オリックス,ロッテ,4,6,京セラドーム
2017,2017/04/13,巨人,広島,5,11,東京ドーム
2017,2017/04/13,ヤクルト,中日,3,2,神宮球場
2017,2017/04/13,DeNA,阪神,1,4,横浜スタジアム
2017,2017/04/13,日本ハム,ソフトバンク,3,2,札幌ドーム
2017,2017/04/13,オリックス,ロッテ,2,3,京セラドーム
2017,2017/04/14,DeNA,ヤクルト,4,3,横浜スタジアム
2017,2017/04/14,中日,巨人,3,2,バンテリンドーム
2017,2017/04/14,阪神,広島,4,2,甲子園
2017,2017/04/14,楽天,日本ハム,3,2,楽天モバイルパーク
2017,2017/04/14,ロッテ,西武,2,3,ZOZOマリン
2017,2017/04/14,ソフトバンク,オリックス,0,9,PayPayドーム
2017,2017/04/15,DeNA,ヤクルト,2,7,横浜スタジアム
2017,2017/04/15,中日,巨人,2,6,バンテリンドーム
2017,2017/04/15,阪神,広島,1,7,甲子園
2017,2017/04/15,楽天,日本ハム,4,2,楽天モバイルパーク
2017,2017/04/15,ロッテ,西武,1,0,ZOZOマリン
2017,2017/04/15,ソフトバンク,オリックス,6,7,PayPayドーム
2017,2017/04/16,DeNA,ヤクルト,6,3,横浜スタジアム
