year,date,home_team,away_team,home_score,away_score,stadium
2018,2018/03/30,巨人,阪神,1,5,東京ドーム
2018,2018/03/30,DeNA,ヤクルト,3,7,横浜スタジアム
2018,2018/03/30,広島,中日,6,3,マツダスタジアム
2018,2018/03/30,日本ハム,西武,2,11,札幌ドーム
2018,2018/03/30,ロッテ,楽天,2,3,ZOZOマリン
2018,2018/03/30,ソフトバンク,オリックス,2,0,PayPayドーム
2018,2018/03/31,巨人,阪神,8,4,東京ドーム
2018,2018/03/31,DeNA,ヤクルト,3,5,横浜スタジアム
2018,2018/03/31,広島,中日,6,2,マツダスタジアム
2018,2018/03/31,日本ハム,西武,2,7,札幌ドーム
2018,2018/03/31,ロッテ,楽天,6,2,ZOZOマリン
2018,2018/03/31,ソフトバンク,オリックス,4,8,PayPayドーム
2018,2018/04/01,巨人,阪神,3,2,東京ドーム
2018,2018/04/01,DeNA,ヤクルト,3,1,横浜スタジアム
2018,2018/04/01,広島,中日,8,3,マツダスタジアム
2018,2018/04/01,日本ハム,西武,1,4,札幌ドーム
2018,2018/04/01,ロッテ,楽天,5,4,ZOZOマリン
2018,2018/04/01,ソフトバンク,オリックス,12,3,PayPayドーム
2018,2018/04/03,ヤクルト,広島,3,6,神宮球場
2018,2018/04/03,中日,巨人,3,10,バンテリンドーム
2018,2018/04/03,楽天,日本ハム,0,2,楽天モバイルパーク
2018,2018/04/03,西武,ソフトバンク,7,4,ベルーナドーム
2018,2018/04/03,オリックス,ロッテ,1,4,京セラドーム
2018,2018/04/04,ヤクルト,広島,8,5,神宮球場
2018,2018/04/04,DeNA,阪神,1,2,横浜スタジアム
2018,2018/04/04,中日,巨人,4,1,バンテリンドーム
2018,2018/04/04,楽天,日本ハム,2,5,楽天モバイルパーク
2018,2018/04/04,西武,ソフトバンク,2,1,ベルーナドーム
2018,2018/04/04,オリックス,ロッテ,7,1,京セラドーム
2018,2018/04/05,ヤクルト,広島,4,5,神宮球場
2018,2018/04/05,DeNA,阪神,0,2,横浜スタジアム
2018,2018/04/05,中日,巨人,2,3,バンテリンドーム
2018,2018/04/05,楽天,日本ハム,1,3,楽天モバイルパーク
2018,2018/04/05,オリックス,ロッテ,5,9,京セラドーム
2018,2018/04/06,ヤクルト,巨人,6,0,神宮球場
2018,2018/04/06,阪神,中日,2,3,甲子園
2018,2018/04/06,広島,DeNA,7,3,マツダスタジアム
2018,2018/04/06,日本ハム,ロッテ,3,2,札幌ドーム
2018,2018/04/06,楽天,ソフトバンク,7,2,楽天モバイルパーク
2018,2018/04/06,西武,オリックス,5,1,ベルーナドーム
2018,2018/04/07,ヤクルト,巨人,15,8,神宮球場
2018,2018/04/07,阪神,中日,3,1,甲子園
2018,2018/04/07,広島,DeNA,2,4,マツダスタジアム
2018,2018/04/07,日本ハム,ロッテ,9,6,札幌ドーム
2018,2018/04/07,楽天,ソフトバンク,3,4,楽天モバイルパーク
2018,2018/04/07,西武,オリックス,6,3,ベルーナドーム
2018,2018/04/08,ヤクルト,巨人,7,4,神宮球場
2018,2018/04/08,阪神,中日,7,9,甲子園
2018,2018/04/08,広島,DeNA,3,5,マツダスタジアム
2018,2018/04/08,日本ハム,ロッテ,2,5,札幌ドーム
2018,2018/04/08,楽天,ソフトバンク,4,5,楽天モバイルパーク
2018,2018/04/08,西武,オリックス,7,4,ベルーナドーム
2018,2018/04/10,巨人,DeNA,3,4,東京ドーム
2018,2018/04/10,中日,ヤクルト,3,0,バンテリンドーム
2018,2018/04/10,阪神,広島,4,3,甲子園
2018,2018/04/10,ロッテ,西武,5,2,ZOZOマリン
2018,2018/04/10,オリックス,楽天,2,4,京セラドーム
2018,2018/04/10,ソフトバンク,日本ハム,1,4,PayPayドーム
2018,2018/04/11,巨人,DeNA,3,6,東京ドーム
2018,2018/04/11,中日,ヤクルト,8,3,バンテリンドーム
