year,date,home_team,away_team,home_score,away_score,stadium
2016,2016/03/25,巨人,ヤクルト,3,1,東京ドーム
2016,2016/03/25,阪神,中日,2,5,甲子園
2016,2016/03/25,広島,DeNA,1,2,マツダスタジアム
2016,2016/03/25,楽天,ソフトバンク,7,3,楽天モバイルパーク
2016,2016/03/25,西武,オリックス,5,4,ベルーナドーム
2016,2016/03/25,ロッテ,日本ハム,3,2,ZOZOマリン
2016,2016/03/26,巨人,ヤクルト,10,5,東京ドーム
2016,2016/03/26,阪神,中日,7,3,甲子園
2016,2016/03/26,広島,DeNA,3,1,マツダスタジアム
2016,2016/03/26,楽天,ソフトバンク,3,3,楽天モバイルパーク
2016,2016/03/26,西武,オリックス,9,5,ベルーナドーム
2016,2016/03/26,ロッテ,日本ハム,6,4,ZOZOマリン
2016,2016/03/27,巨人,ヤクルト,3,2,東京ドーム
2016,2016/03/27,阪神,中日,5,4,甲子園
2016,2016/03/27,広島,DeNA,6,3,マツダスタジアム
2016,2016/03/27,楽天,ソフトバンク,0,7,楽天モバイルパーク
2016,2016/03/27,西武,オリックス,4,5,ベルーナドーム
2016,2016/03/27,ロッテ,日本ハム,0,1,ZOZOマリン
2016,2016/03/29,ヤクルト,阪神,2,6,神宮球場
2016,2016/03/29,DeNA,巨人,2,6,横浜スタジアム
2016,2016/03/29,中日,広島,4,2,バンテリンドーム
2016,2016/03/29,日本ハム,オリックス,13,3,札幌ドーム
2016,2016/03/29,ロッテ,楽天,12,2,ZOZOマリン
2016,2016/03/29,ソフトバンク,西武,2,6,PayPayドーム
2016,2016/03/30,ヤクルト,阪神,8,4,神宮球場
2016,2016/03/30,DeNA,巨人,6,3,横浜スタジアム
2016,2016/03/30,中日,広島,3,11,バンテリンドーム
2016,2016/03/30,日本ハム,オリックス,4,5,札幌ドーム
2016,2016/03/30,ロッテ,楽天,0,5,ZOZOマリン
2016,2016/03/30,ソフトバンク,西武,5,4,PayPayドーム
2016,2016/03/31,ヤクルト,阪神,6,6,神宮球場
2016,2016/03/31,DeNA,巨人,4,6,横浜スタジアム
2016,2016/03/31,中日,広島,9,5,バンテリンドーム
2016,2016/04/01,ヤクルト,中日,4,1,神宮球場
2016,2016/04/01,DeNA,阪神,2,1,横浜スタジアム
2016,2016/04/01,広島,巨人,4,6,マツダスタジアム
2016,2016/04/01,日本ハム,ソフトバンク,4,3,札幌ドーム
2016,2016/04/01,楽天,西武,4,2,楽天モバイルパーク
2016,2016/04/01,オリックス,ロッテ,3,4,京セラドーム
2016,2016/04/02,ヤクルト,中日,7,1,神宮球場
2016,2016/04/02,DeNA,阪神,0,5,横浜スタジアム
2016,2016/04/02,広島,巨人,3,0,マツダスタジアム
2016,2016/04/02,日本ハム,ソフトバンク,3,4,札幌ドーム
2016,2016/04/02,楽天,西武,15,4,楽天モバイルパーク
2016,2016/04/02,オリックス,ロッテ,2,6,京セラドーム
2016,2016/04/03,ヤクルト,中日,2,3,神宮球場
2016,2016/04/03,DeNA,阪神,3,8,横浜スタジアム
2016,2016/04/03,広島,巨人,3,4,マツダスタジアム
2016,2016/04/03,日本ハム,ソフトバンク,4,3,札幌ドーム
2016,2016/04/03,楽天,西武,2,3,楽天モバイルパーク
2016,2016/04/03,オリックス,ロッテ,3,1,京セラドーム
2016,2016/04/05,巨人,阪神,2,8,東京ドーム
2016,2016/04/05,中日,DeNA,1,0,バンテリンドーム
2016,2016/04/05,広島,ヤクルト,12,5,マツダスタジアム
2016,2016/04/05,西武,日本ハム,10,0,ベルーナドーム
2016,2016/04/05,オリックス,楽天,0,11,京セラドーム
2016,2016/04/05,ソフトバンク,ロッテ,4,4,PayPayドーム
2016,2016/04/06,巨人,阪神,3,0,東京ドーム
2016,2016/04/06,中日,DeNA,3,0,バンテリンドーム
2016,2016/04/06,広島,ヤクルト,6,3,マツダスタジアム
2016,2016/04/06,西武,日本ハム,5,2,ベルーナドーム
2016,2016/04/06,オリックス,楽天,2,5,京セラドーム
2016,2016/04/06,ソフトバンク,ロッテ,3,4,PayPayドーム
2016,2016/04/07,巨人,阪神,1,10,東京ドーム
2016,2016/04/07,中日,DeNA,1,1,バンテリンドーム
2016,2016/04/07,ソフトバンク,ロッテ,8,17,PayPayドーム
2016,2016/04/08,DeNA,ヤクルト,2,3,横浜スタジアム
2016,2016/04/08,中日,巨人,3,2,バンテリンドーム
2016,2016/04/08,阪神,広島,3,2,甲子園
2016,2016/04/08,楽天,日本ハム,5,3,楽天モバイルパーク
2016,2016/04/08,ロッテ,西武,3,5,ZOZOマリン
2016,2016/04/09,DeNA,ヤクルト,10,5,横浜スタジアム
2016,2016/04/09,中日,巨人,0,0,バンテリンドーム
2016,2016/04/09,阪神,広島,2,6,甲子園
2016,2016/04/09,楽天,日本ハム,7,9,楽天モバイルパーク
