year,date,home_team,away_team,home_score,away_score,stadium
2025,2025/03/28,巨人,ヤクルト,6,5,東京ドーム
2025,2025/03/28,DeNA,中日,5,0,横浜スタジアム
2025,2025/03/28,広島,阪神,0,4,マツダスタジアム
2025,2025/03/28,西武,日本ハム,0,2,ベルーナドーム
2025,2025/03/28,オリックス,楽天,3,2,京セラドーム
2025,2025/03/28,ソフトバンク,ロッテ,2,8,PayPayドーム
2025,2025/03/29,巨人,ヤクルト,12,0,東京ドーム
2025,2025/03/29,DeNA,中日,0,1,横浜スタジアム
2025,2025/03/29,広島,阪神,2,3,マツダスタジアム
2025,2025/03/29,西武,日本ハム,2,3,ベルーナドーム
2025,2025/03/29,オリックス,楽天,4,5,京セラドーム
2025,2025/03/29,ソフトバンク,ロッテ,4,5,PayPayドーム
2025,2025/03/30,巨人,ヤクルト,3,0,東京ドーム
2025,2025/03/30,DeNA,中日,2,1,横浜スタジアム
2025,2025/03/30,広島,阪神,2,0,マツダスタジアム
2025,2025/03/30,西武,日本ハム,5,7,ベルーナドーム
2025,2025/03/30,オリックス,楽天,6,1,京セラドーム
2025,2025/03/30,ソフトバンク,ロッテ,4,7,PayPayドーム
2025,2025/04/01,中日,巨人,3,2,バンテリンドーム
2025,2025/04/01,阪神,DeNA,1,7,甲子園
2025,2025/04/01,日本ハム,ソフトバンク,1,5,エスコンフィールド
2025,2025/04/02,ヤクルト,広島,5,4,神宮球場
2025,2025/04/02,中日,巨人,0,2,バンテリンドーム
2025,2025/04/02,阪神,DeNA,6,6,甲子園
2025,2025/04/02,日本ハム,ソフトバンク,3,1,エスコンフィールド
2025,2025/04/02,ロッテ,オリックス,2,3,ZOZOマリン
2025,2025/04/03,ヤクルト,広島,3,0,神宮球場
2025,2025/04/03,中日,巨人,3,5,バンテリンドーム
2025,2025/04/03,阪神,DeNA,2,5,甲子園
2025,2025/04/03,楽天,西武,4,1,楽天モバイルパーク
2025,2025/04/03,ロッテ,オリックス,2,3,ZOZOマリン
2025,2025/04/04,巨人,阪神,2,7,東京ドーム
2025,2025/04/04,ヤクルト,中日,1,1,神宮球場
2025,2025/04/04,広島,DeNA,8,2,マツダスタジアム
2025,2025/04/04,日本ハム,オリックス,3,4,エスコンフィールド
2025,2025/04/04,ロッテ,楽天,1,3,ZOZOマリン
2025,2025/04/04,ソフトバンク,西武,0,6,PayPayドーム
2025,2025/04/05,巨人,阪神,3,4,東京ドーム
2025,2025/04/05,ヤクルト,中日,2,0,神宮球場
2025,2025/04/05,広島,DeNA,8,7,マツダスタジアム
2025,2025/04/05,日本ハム,オリックス,1,11,エスコンフィールド
2025,2025/04/05,ロッテ,楽天,1,0,ZOZOマリン
2025,2025/04/05,ソフトバンク,西武,3,6,PayPayドーム
2025,2025/04/06,巨人,阪神,0,1,東京ドーム
2025,2025/04/06,ヤクルト,中日,5,6,神宮球場
2025,2025/04/06,広島,DeNA,7,6,マツダスタジアム
2025,2025/04/06,日本ハム,オリックス,4,6,エスコンフィールド
2025,2025/04/06,ロッテ,楽天,0,5,ZOZOマリン
2025,2025/04/06,ソフトバンク,西武,11,1,PayPayドーム
2025,2025/04/08,DeNA,巨人,3,3,横浜スタジアム
2025,2025/04/08,中日,広島,1,1,バンテリンドーム
2025,2025/04/08,阪神,ヤクルト,0,1,甲子園
2025,2025/04/08,楽天,日本ハム,2,5,楽天モバイルパーク
2025,2025/04/08,西武,ロッテ,3,7,ベルーナドーム
2025,2025/04/08,オリックス,ソフトバンク,2,5,京セラドーム
2025,2025/04/09,DeNA,巨人,3,6,横浜スタジアム
2025,2025/04/09,中日,広島,3,1,バンテリンドーム
2025,2025/04/09,阪神,ヤクルト,3,5,甲子園
2025,2025/04/09,楽天,日本ハム,2,8,楽天モバイルパーク
2025,2025/04/09,西武,ロッテ,2,0,ベルーナドーム
2025,2025/04/09,オリックス,ソフトバンク,9,10,京セラドーム
2025,2025/04/10,中日,広島,1,2,バンテリンドーム
2025,2025/04/10,楽天,日本ハム,0,10,楽天モバイルパーク
2025,2025/04/10,オリックス,ソフトバンク,1,1,京セラドーム
2025,2025/04/11,阪神,中日,6,3,甲子園
2025,2025/04/11,広島,巨人,12,3,マツダスタジアム
2025,2025/04/11,日本ハム,西武,2,0,エスコンフィールド
2025,2025/04/11,楽天,オリックス,1,4,楽天モバイルパーク
2025,2025/04/11,ロッテ,ソフトバンク,4,5,ZOZOマリン
2025,2025/04/12,DeNA,ヤクルト,5,4,横浜スタジアム
2025,2025/04/12,阪神,中日,2,3,甲子園
2025,2025/04/12,広島,巨人,1,0,マツダスタジアム
2025,2025/04/12,日本ハム,西武,1,2,エスコンフィールド
2025,2025/04/12,楽天,オリックス,2,4,楽天モバイルパーク
2025,2025/04/12,ロッテ,ソフトバンク,0,8,ZOZOマリン
2025,2025/04/13,広島,巨人,5,3,マツダスタジアム
2025,2025/04/13,日本ハム,西武,2,7,エスコンフィールド
2025,2025/04/13,楽天,オリックス,1,6,楽天モバイルパーク
