year,date,home_team,away_team,home_score,away_score,stadium
2023,2023/03/30,日本ハム,楽天,1,3,エスコンフィールド
2023,2023/03/31,巨人,中日,3,6,東京ドーム
2023,2023/03/31,ヤクルト,広島,4,0,神宮球場
2023,2023/03/31,阪神,DeNA,6,3,甲子園
2023,2023/03/31,西武,オリックス,2,3,ベルーナドーム
2023,2023/03/31,ソフトバンク,ロッテ,4,0,PayPayドーム
2023,2023/04/01,巨人,中日,2,0,東京ドーム
2023,2023/04/01,ヤクルト,広島,1,0,神宮球場
2023,2023/04/01,阪神,DeNA,6,5,甲子園
2023,2023/04/01,日本ハム,楽天,4,3,エスコンフィールド
2023,2023/04/01,西武,オリックス,2,9,ベルーナドーム
2023,2023/04/01,ソフトバンク,ロッテ,7,0,PayPayドーム
2023,2023/04/02,巨人,中日,3,2,東京ドーム
2023,2023/04/02,ヤクルト,広島,3,2,神宮球場
2023,2023/04/02,阪神,DeNA,6,2,甲子園
2023,2023/04/02,日本ハム,楽天,1,2,エスコンフィールド
2023,2023/04/02,西武,オリックス,4,1,ベルーナドーム
2023,2023/04/02,ソフトバンク,ロッテ,5,3,PayPayドーム
2023,2023/04/04,DeNA,巨人,0,9,横浜スタジアム
2023,2023/04/04,中日,ヤクルト,0,1,バンテリンドーム
2023,2023/04/04,広島,阪神,4,5,マツダスタジアム
2023,2023/04/04,楽天,西武,0,4,楽天モバイルパーク
2023,2023/04/04,ロッテ,日本ハム,6,4,ZOZOマリン
2023,2023/04/04,オリックス,ソフトバンク,1,6,京セラドーム
2023,2023/04/05,DeNA,巨人,2,0,横浜スタジアム
2023,2023/04/05,中日,ヤクルト,0,5,バンテリンドーム
2023,2023/04/05,楽天,西武,1,0,楽天モバイルパーク
2023,2023/04/05,ロッテ,日本ハム,2,1,ZOZOマリン
2023,2023/04/05,オリックス,ソフトバンク,0,5,京セラドーム
2023,2023/04/06,DeNA,巨人,4,0,横浜スタジアム
2023,2023/04/06,中日,ヤクルト,3,1,バンテリンドーム
