year,date,home_team,away_team,home_score,away_score,stadium
2022,2022/03/25,巨人,中日,4,2,東京ドーム
2022,2022/03/25,DeNA,広島,3,11,横浜スタジアム
2022,2022/03/25,阪神,ヤクルト,8,10,甲子園
2022,2022/03/25,楽天,ロッテ,0,4,楽天モバイルパーク
2022,2022/03/25,西武,オリックス,0,6,ベルーナドーム
2022,2022/03/25,ソフトバンク,日本ハム,4,1,PayPayドーム
2022,2022/03/26,巨人,中日,7,5,東京ドーム
2022,2022/03/26,DeNA,広島,5,10,横浜スタジアム
2022,2022/03/26,阪神,ヤクルト,0,6,甲子園
2022,2022/03/26,西武,オリックス,5,0,ベルーナドーム
2022,2022/03/26,ソフトバンク,日本ハム,6,3,PayPayドーム
2022,2022/03/27,巨人,中日,5,7,東京ドーム
2022,2022/03/27,DeNA,広島,6,7,横浜スタジアム
2022,2022/03/27,阪神,ヤクルト,0,4,甲子園
2022,2022/03/27,楽天,ロッテ,6,5,楽天モバイルパーク
2022,2022/03/27,西武,オリックス,7,6,ベルーナドーム
2022,2022/03/27,ソフトバンク,日本ハム,6,4,PayPayドーム
2022,2022/03/29,ヤクルト,巨人,3,5,神宮球場
2022,2022/03/29,中日,DeNA,0,4,バンテリンドーム
2022,2022/03/29,広島,阪神,3,2,マツダスタジアム
2022,2022/03/29,日本ハム,西武,0,4,札幌ドーム
2022,2022/03/29,ロッテ,ソフトバンク,1,2,ZOZOマリン
2022,2022/03/29,オリックス,楽天,1,2,京セラドーム
2022,2022/03/30,ヤクルト,巨人,1,3,神宮球場
2022,2022/03/30,中日,DeNA,6,7,バンテリンドーム
2022,2022/03/30,広島,阪神,8,3,マツダスタジアム
2022,2022/03/30,日本ハム,西武,3,5,札幌ドーム
2022,2022/03/30,ロッテ,ソフトバンク,3,4,ZOZOマリン
2022,2022/03/30,オリックス,楽天,1,6,京セラドーム
2022,2022/03/31,ヤクルト,巨人,3,6,神宮球場
2022,2022/03/31,中日,DeNA,0,1,バンテリンドーム
2022,2022/03/31,広島,阪神,3,2,マツダスタジアム
2022,2022/03/31,日本ハム,西武,6,2,札幌ドーム
2022,2022/03/31,ロッテ,ソフトバンク,1,3,ZOZOマリン
2022,2022/03/31,オリックス,楽天,0,1,京セラドーム
2022,2022/04/01,巨人,阪神,6,5,東京ドーム
2022,2022/04/01,ヤクルト,DeNA,1,6,神宮球場
2022,2022/04/01,中日,広島,3,2,バンテリンドーム
2022,2022/04/01,楽天,ソフトバンク,0,1,楽天モバイルパーク
2022,2022/04/01,ロッテ,西武,2,1,ZOZOマリン
2022,2022/04/01,オリックス,日本ハム,2,0,京セラドーム
2022,2022/04/02,巨人,阪神,5,4,東京ドーム
2022,2022/04/02,ヤクルト,DeNA,3,2,神宮球場
2022,2022/04/02,中日,広島,4,3,バンテリンドーム
2022,2022/04/02,ロッテ,西武,8,1,ZOZOマリン
2022,2022/04/02,オリックス,日本ハム,7,0,京セラドーム
2022,2022/04/03,巨人,阪神,9,5,東京ドーム
2022,2022/04/03,中日,広島,1,0,バンテリンドーム
2022,2022/04/03,ロッテ,西武,4,2,ZOZOマリン
2022,2022/04/03,オリックス,日本ハム,4,2,京セラドーム
2022,2022/04/05,ヤクルト,中日,6,7,神宮球場
2022,2022/04/05,阪神,DeNA,4,0,甲子園
2022,2022/04/05,広島,巨人,3,1,マツダスタジアム
2022,2022/04/05,日本ハム,ロッテ,0,2,札幌ドーム
2022,2022/04/05,楽天,西武,7,3,楽天モバイルパーク
2022,2022/04/05,ソフトバンク,オリックス,6,3,PayPayドーム
2022,2022/04/06,ヤクルト,中日,2,1,神宮球場
2022,2022/04/06,阪神,DeNA,1,6,甲子園
2022,2022/04/06,広島,巨人,1,2,マツダスタジアム
2022,2022/04/06,日本ハム,ロッテ,3,2,札幌ドーム
2022,2022/04/06,楽天,西武,7,2,楽天モバイルパーク
2022,2022/04/06,ソフトバンク,オリックス,1,3,PayPayドーム
2022,2022/04/07,ヤクルト,中日,3,11,神宮球場
2022,2022/04/07,広島,巨人,9,2,マツダスタジアム
2022,2022/04/07,ソフトバンク,オリックス,7,3,PayPayドーム
2022,2022/04/08,巨人,ヤクルト,2,7,東京ドーム
2022,2022/04/08,阪神,広島,3,3,甲子園
2022,2022/04/08,日本ハム,楽天,0,3,札幌ドーム
2022,2022/04/08,西武,ソフトバンク,1,8,ベルーナドーム
2022,2022/04/08,ロッテ,オリックス,5,0,ZOZOマリン
2022,2022/04/09,巨人,ヤクルト,3,2,東京ドーム
2022,2022/04/09,阪神,広島,1,9,甲子園
2022,2022/04/09,日本ハム,楽天,5,8,札幌ドーム
2022,2022/04/09,西武,ソフトバンク,0,0,ベルーナドーム
2022,2022/04/09,ロッテ,オリックス,2,4,ZOZOマリン
2022,2022/04/10,巨人,ヤクルト,1,2,東京ドーム
2022,2022/04/10,阪神,広島,0,1,甲子園
2022,2022/04/10,日本ハム,楽天,3,2,札幌ドーム
2022,2022/04/10,西武,ソフトバンク,6,0,ベルーナドーム
2022,2022/04/10,ロッテ,オリックス,6,0,ZOZOマリン
2022,2022/04/12,巨人,DeNA,10,4,東京ドーム
2022,2022/04/12,ヤクルト,広島,3,1,神宮球場
2022,2022/04/12,中日,阪神,2,1,バンテリンドーム
2022,2022/04/12,西武,日本ハム,0,3,ベルーナドーム
2022,2022/04/12,ソフトバンク,ロッテ,0,3,PayPayドーム
2022,2022/04/13,巨人,DeNA,4,3,東京ドーム
2022,2022/04/13,ヤクルト,広島,1,5,神宮球場
2022,2022/04/13,中日,阪神,1,0,バンテリンドーム
2022,2022/04/13,西武,日本ハム,4,3,ベルーナドーム
2022,2022/04/14,中日,阪神,4,1,バンテリンドーム
2022,2022/04/14,ソフトバンク,ロッテ,4,0,PayPayドーム
2022,2022/04/15,DeNA,ヤクルト,2,3,横浜スタジアム
2022,2022/04/15,阪神,巨人,4,1,甲子園
2022,2022/04/15,オリックス,西武,1,6,京セラドーム
2022,2022/04/16,DeNA,ヤクルト,6,0,横浜スタジアム
2022,2022/04/16,阪神,巨人,2,1,甲子園
2022,2022/04/16,広島,中日,3,2,マツダスタジアム
2022,2022/04/16,ロッテ,日本ハム,4,11,ZOZOマリン
2022,2022/04/16,オリックス,西武,3,0,京セラドーム
2022,2022/04/16,ソフトバンク,楽天,5,6,PayPayドーム
2022,2022/04/17,DeNA,ヤクルト,4,5,横浜スタジアム
2022,2022/04/17,阪神,巨人,1,3,甲子園
2022,2022/04/17,広島,中日,4,10,マツダスタジアム
2022,2022/04/17,ロッテ,日本ハム,0,1,ZOZOマリン
2022,2022/04/17,オリックス,西武,4,3,京セラドーム
2022,2022/04/17,ソフトバンク,楽天,4,14,PayPayドーム
2022,2022/04/19,巨人,広島,3,1,東京ドーム
2022,2022/04/19,DeNA,阪神,5,4,横浜スタジアム
2022,2022/04/19,中日,ヤクルト,4,12,バンテリンドーム
2022,2022/04/19,楽天,日本ハム,0,2,楽天モバイルパーク
2022,2022/04/19,西武,ロッテ,4,0,ベルーナドーム
2022,2022/04/19,オリックス,ソフトバンク,0,3,京セラドーム
2022,2022/04/20,巨人,広島,5,3,東京ドーム
2022,2022/04/20,DeNA,阪神,1,0,横浜スタジアム
2022,2022/04/20,中日,ヤクルト,4,1,バンテリンドーム
2022,2022/04/20,楽天,日本ハム,4,2,楽天モバイルパーク
2022,2022/04/20,西武,ロッテ,3,0,ベルーナドーム
2022,2022/04/20,オリックス,ソフトバンク,3,2,京セラドーム
2022,2022/04/21,巨人,広島,8,4,東京ドーム
2022,2022/04/21,DeNA,阪神,7,5,横浜スタジアム
2022,2022/04/21,楽天,日本ハム,8,5,楽天モバイルパーク
2022,2022/04/21,オリックス,ソフトバンク,3,2,京セラドーム
2022,2022/04/22,ヤクルト,阪神,0,6,神宮球場
2022,2022/04/22,中日,巨人,2,7,バンテリンドーム
2022,2022/04/22,広島,DeNA,6,1,マツダスタジアム
2022,2022/04/22,日本ハム,ソフトバンク,12,5,札幌ドーム
2022,2022/04/22,西武,楽天,3,0,ベルーナドーム
2022,2022/04/22,オリックス,ロッテ,0,4,京セラドーム
2022,2022/04/23,ヤクルト,阪神,1,0,神宮球場
2022,2022/04/23,中日,巨人,0,3,バンテリンドーム
2022,2022/04/23,広島,DeNA,6,0,マツダスタジアム
2022,2022/04/23,日本ハム,ソフトバンク,3,9,札幌ドーム
2022,2022/04/23,西武,楽天,3,7,ベルーナドーム
2022,2022/04/23,オリックス,ロッテ,3,2,京セラドーム
2022,2022/04/24,ヤクルト,阪神,3,11,神宮球場
2022,2022/04/24,中日,巨人,7,6,バンテリンドーム
2022,2022/04/24,広島,DeNA,5,4,マツダスタジアム
2022,2022/04/24,日本ハム,ソフトバンク,4,11,札幌ドーム
2022,2022/04/24,西武,楽天,6,3,ベルーナドーム
2022,2022/04/24,オリックス,ロッテ,3,6,京セラドーム
2022,2022/04/26,DeNA,巨人,6,4,横浜スタジアム
2022,2022/04/26,日本ハム,オリックス,2,3,札幌ドーム
2022,2022/04/26,ロッテ,楽天,2,3,ZOZOマリン
2022,2022/04/26,ソフトバンク,西武,3,0,PayPayドーム
2022,2022/04/27,DeNA,巨人,2,8,横浜スタジアム
2022,2022/04/27,阪神,中日,3,1,甲子園
2022,2022/04/27,広島,ヤクルト,2,8,マツダスタジアム
2022,2022/04/27,日本ハム,オリックス,2,4,札幌ドーム
2022,2022/04/27,ロッテ,楽天,3,3,ZOZOマリン
2022,2022/04/27,ソフトバンク,西武,2,8,PayPayドーム
2022,2022/04/28,DeNA,巨人,0,7,横浜スタジアム
2022,2022/04/28,阪神,中日,3,2,甲子園
2022,2022/04/28,広島,ヤクルト,5,9,マツダスタジアム
2022,2022/04/28,日本ハム,オリックス,6,2,札幌ドーム
2022,2022/04/28,ロッテ,楽天,1,2,ZOZOマリン
2022,2022/04/28,ソフトバンク,西武,2,4,PayPayドーム
2022,2022/04/29,巨人,阪神,2,3,東京ドーム
2022,2022/04/29,中日,広島,0,1,バンテリンドーム
2022,2022/04/29,オリックス,西武,1,0,京セラドーム
2022,2022/04/30,巨人,阪神,3,10,東京ドーム
2022,2022/04/30,ヤクルト,DeNA,2,0,神宮球場
2022,2022/04/30,中日,広島,4,2,バンテリンドーム
2022,2022/04/30,楽天,ソフトバンク,7,6,楽天モバイルパーク
2022,2022/04/30,ロッテ,日本ハム,7,3,ZOZOマリン
2022,2022/04/30,オリックス,西武,3,2,京セラドーム
2022,2022/05/01,巨人,阪神,1,8,東京ドーム
2022,2022/05/01,中日,広島,4,0,バンテリンドーム
2022,2022/05/01,楽天,ソフトバンク,2,1,楽天モバイルパーク
2022,2022/05/01,ロッテ,日本ハム,3,9,ZOZOマリン
2022,2022/05/01,オリックス,西武,1,2,京セラドーム
2022,2022/05/03,DeNA,中日,3,7,横浜スタジアム
2022,2022/05/03,阪神,ヤクルト,0,3,甲子園
2022,2022/05/03,広島,巨人,12,3,マツダスタジアム
2022,2022/05/03,日本ハム,楽天,1,2,札幌ドーム
2022,2022/05/03,西武,ロッテ,4,2,ベルーナドーム
2022,2022/05/03,ソフトバンク,オリックス,7,3,PayPayドーム
2022,2022/05/04,DeNA,中日,7,1,横浜スタジアム
2022,2022/05/04,阪神,ヤクルト,0,3,甲子園
2022,2022/05/04,広島,巨人,3,6,マツダスタジアム
2022,2022/05/04,日本ハム,楽天,1,5,札幌ドーム
2022,2022/05/04,西武,ロッテ,5,7,ベルーナドーム
2022,2022/05/04,ソフトバンク,オリックス,2,1,PayPayドーム
2022,2022/05/05,DeNA,中日,10,2,横浜スタジアム
2022,2022/05/05,阪神,ヤクルト,3,2,甲子園
2022,2022/05/05,広島,巨人,3,0,マツダスタジアム
2022,2022/05/05,日本ハム,楽天,4,8,札幌ドーム
2022,2022/05/05,西武,ロッテ,7,0,ベルーナドーム
2022,2022/05/05,ソフトバンク,オリックス,9,3,PayPayドーム
2022,2022/05/06,巨人,ヤクルト,2,13,東京ドーム
2022,2022/05/06,中日,阪神,1,0,バンテリンドーム
2022,2022/05/06,広島,DeNA,3,4,マツダスタジアム
2022,2022/05/06,西武,日本ハム,5,0,ベルーナドーム
2022,2022/05/06,ロッテ,ソフトバンク,3,5,ZOZOマリン
2022,2022/05/06,オリックス,楽天,2,3,京セラドーム
2022,2022/05/07,巨人,ヤクルト,2,6,東京ドーム
2022,2022/05/07,中日,阪神,2,1,バンテリンドーム
2022,2022/05/07,広島,DeNA,2,1,マツダスタジアム
2022,2022/05/07,西武,日本ハム,2,3,ベルーナドーム
2022,2022/05/07,ロッテ,ソフトバンク,0,16,ZOZOマリン
2022,2022/05/07,オリックス,楽天,1,7,京セラドーム
2022,2022/05/08,巨人,ヤクルト,3,4,東京ドーム
2022,2022/05/08,中日,阪神,3,4,バンテリンドーム
2022,2022/05/08,広島,DeNA,17,3,マツダスタジアム
2022,2022/05/08,西武,日本ハム,5,1,ベルーナドーム
2022,2022/05/08,ロッテ,ソフトバンク,4,8,ZOZOマリン
2022,2022/05/08,オリックス,楽天,1,2,京セラドーム
2022,2022/05/10,ヤクルト,中日,0,1,神宮球場
2022,2022/05/10,DeNA,巨人,3,1,横浜スタジアム
