year,date,home_team,away_team,home_score,away_score,stadium
2020,2020/06/19,巨人,阪神,3,2,東京ドーム
2020,2020/06/19,ヤクルト,中日,7,9,神宮球場
2020,2020/06/19,DeNA,広島,1,5,横浜スタジアム
2020,2020/06/19,西武,日本ハム,3,0,ベルーナドーム
2020,2020/06/19,オリックス,楽天,1,9,京セラドーム
2020,2020/06/19,ソフトバンク,ロッテ,2,1,PayPayドーム
2020,2020/06/20,巨人,阪神,11,1,東京ドーム
2020,2020/06/20,ヤクルト,中日,6,2,神宮球場
2020,2020/06/20,DeNA,広島,5,10,横浜スタジアム
2020,2020/06/20,西武,日本ハム,1,2,ベルーナドーム
2020,2020/06/20,オリックス,楽天,1,2,京セラドーム
2020,2020/06/20,ソフトバンク,ロッテ,2,3,PayPayドーム
2020,2020/06/21,巨人,阪神,7,1,東京ドーム
2020,2020/06/21,ヤクルト,中日,0,3,神宮球場
2020,2020/06/21,DeNA,広島,2,1,横浜スタジアム
2020,2020/06/21,西武,日本ハム,2,12,ベルーナドーム
2020,2020/06/21,オリックス,楽天,4,0,京セラドーム
2020,2020/06/21,ソフトバンク,ロッテ,1,5,PayPayドーム
2020,2020/06/23,巨人,広島,3,2,東京ドーム
2020,2020/06/23,ヤクルト,阪神,1,4,神宮球場
2020,2020/06/23,DeNA,中日,3,0,横浜スタジアム
2020,2020/06/23,楽天,日本ハム,4,0,楽天モバイルパーク
2020,2020/06/23,西武,ソフトバンク,11,3,ベルーナドーム
2020,2020/06/23,ロッテ,オリックス,6,5,ZOZOマリン
2020,2020/06/24,巨人,広島,1,5,東京ドーム
2020,2020/06/24,ヤクルト,阪神,6,1,神宮球場
2020,2020/06/24,DeNA,中日,3,2,横浜スタジアム
2020,2020/06/24,楽天,日本ハム,5,2,楽天モバイルパーク
2020,2020/06/24,西武,ソフトバンク,6,9,ベルーナドーム
2020,2020/06/24,ロッテ,オリックス,6,4,ZOZOマリン
2020,2020/06/25,巨人,広島,5,5,東京ドーム
2020,2020/06/25,ヤクルト,阪神,3,1,神宮球場
2020,2020/06/25,DeNA,中日,10,2,横浜スタジアム
2020,2020/06/25,楽天,日本ハム,5,8,楽天モバイルパーク
2020,2020/06/25,西武,ソフトバンク,2,4,ベルーナドーム
2020,2020/06/25,ロッテ,オリックス,5,0,ZOZOマリン
2020,2020/06/26,ヤクルト,巨人,5,6,神宮球場
2020,2020/06/26,DeNA,阪神,6,0,横浜スタジアム
2020,2020/06/26,中日,広島,1,4,バンテリンドーム
2020,2020/06/26,楽天,日本ハム,7,1,楽天モバイルパーク
2020,2020/06/26,西武,ソフトバンク,7,4,ベルーナドーム
2020,2020/06/26,ロッテ,オリックス,6,5,ZOZOマリン
2020,2020/06/27,ヤクルト,巨人,9,6,神宮球場
2020,2020/06/27,DeNA,阪神,6,8,横浜スタジアム
2020,2020/06/27,中日,広島,6,1,バンテリンドーム
2020,2020/06/27,楽天,日本ハム,18,4,楽天モバイルパーク
2020,2020/06/27,西武,ソフトバンク,8,7,ベルーナドーム
2020,2020/06/27,ロッテ,オリックス,2,1,ZOZOマリン
2020,2020/06/28,ヤクルト,巨人,0,12,神宮球場
2020,2020/06/28,DeNA,阪神,9,1,横浜スタジアム
2020,2020/06/28,中日,広島,3,10,バンテリンドーム
2020,2020/06/28,楽天,日本ハム,4,6,楽天モバイルパーク
2020,2020/06/28,西武,ソフトバンク,4,3,ベルーナドーム
2020,2020/06/28,ロッテ,オリックス,6,5,ZOZOマリン
2020,2020/06/30,巨人,DeNA,5,2,東京ドーム
2020,2020/06/30,中日,阪神,5,0,バンテリンドーム
2020,2020/06/30,日本ハム,ソフトバンク,1,1,札幌ドーム
2020,2020/06/30,楽天,ロッテ,15,4,楽天モバイルパーク
2020,2020/06/30,西武,オリックス,3,2,ベルーナドーム
2020,2020/07/01,巨人,DeNA,3,5,東京ドーム
2020,2020/07/01,ヤクルト,広島,4,3,神宮球場
2020,2020/07/01,中日,阪神,6,3,バンテリンドーム
2020,2020/07/01,日本ハム,ソフトバンク,0,4,札幌ドーム
2020,2020/07/01,楽天,ロッテ,5,3,楽天モバイルパーク
2020,2020/07/01,西武,オリックス,0,6,ベルーナドーム
2020,2020/07/02,巨人,DeNA,5,3,東京ドーム
2020,2020/07/02,ヤクルト,広島,9,5,神宮球場
2020,2020/07/02,中日,阪神,4,2,バンテリンドーム
2020,2020/07/02,日本ハム,ソフトバンク,9,8,札幌ドーム
2020,2020/07/02,楽天,ロッテ,5,8,楽天モバイルパーク
2020,2020/07/02,西武,オリックス,9,5,ベルーナドーム
2020,2020/07/03,巨人,中日,5,0,東京ドーム
2020,2020/07/03,ヤクルト,DeNA,4,5,神宮球場
2020,2020/07/03,日本ハム,ソフトバンク,1,4,札幌ドーム
2020,2020/07/03,楽天,ロッテ,3,1,楽天モバイルパーク
2020,2020/07/03,西武,オリックス,4,4,ベルーナドーム
2020,2020/07/04,巨人,中日,7,3,東京ドーム
2020,2020/07/04,ヤクルト,DeNA,10,8,神宮球場
2020,2020/07/04,広島,阪神,3,9,マツダスタジアム
2020,2020/07/04,日本ハム,ソフトバンク,3,8,札幌ドーム
2020,2020/07/04,楽天,ロッテ,3,1,楽天モバイルパーク
2020,2020/07/04,西武,オリックス,3,4,ベルーナドーム
2020,2020/07/05,巨人,中日,4,6,東京ドーム
2020,2020/07/05,ヤクルト,DeNA,1,8,神宮球場
2020,2020/07/05,広島,阪神,3,8,マツダスタジアム
2020,2020/07/05,日本ハム,ソフトバンク,5,3,札幌ドーム
2020,2020/07/05,楽天,ロッテ,8,1,楽天モバイルパーク
2020,2020/07/05,西武,オリックス,5,8,ベルーナドーム
2020,2020/07/07,中日,ヤクルト,1,2,バンテリンドーム
2020,2020/07/07,ロッテ,西武,8,6,ZOZOマリン
2020,2020/07/07,オリックス,日本ハム,7,1,京セラドーム
2020,2020/07/07,ソフトバンク,楽天,4,3,PayPayドーム
2020,2020/07/08,中日,ヤクルト,5,5,バンテリンドーム
2020,2020/07/08,広島,DeNA,6,3,マツダスタジアム
2020,2020/07/08,ロッテ,西武,0,3,ZOZOマリン
2020,2020/07/08,オリックス,日本ハム,4,10,京セラドーム
2020,2020/07/08,ソフトバンク,楽天,8,12,PayPayドーム
2020,2020/07/09,中日,ヤクルト,6,8,バンテリンドーム
2020,2020/07/09,阪神,巨人,2,1,甲子園
2020,2020/07/09,広島,DeNA,1,5,マツダスタジアム
2020,2020/07/09,オリックス,日本ハム,4,4,京セラドーム
2020,2020/07/09,ソフトバンク,楽天,1,9,PayPayドーム
2020,2020/07/10,中日,広島,3,2,バンテリンドーム
