rank,team,G,W,L,D,WPCT,差,首位差,残試合,貯金,連勝連敗,RS,RS_avg,RA,RA_avg,RD,AVG,HR,SB,ERA,league,year
5,ロッテ,143,59,81,3,0.421,7.0,28.5,0,-22,● 6,534,3.73,628,4.39,-94,0.247,78,124,4.04,PL,2018
6,楽天,143,58,82,3,0.414,1.0,29.5,0,-24,○ 2,520,3.64,583,4.08,-63,0.241,132,69,3.78,PL,2018
1,巨人,143,77,64,2,0.546,優勝,-,0,13,● 1,663,4.64,573,4.01,90,0.257,183,83,3.77,CL,2019
2,DeNA,143,71,69,3,0.507,5.5,5.5,0,2,● 2,596,4.17,611,4.27,-15,0.246,163,40,3.93,CL,2019
3,阪神,143,69,68,6,0.504,0.5,6.0,0,1,○ 6,538,3.76,566,3.96,-28,0.251,94,100,3.46,CL,2019
4,広島,143,70,70,3,0.5,0.5,6.5,0,0,● 1,591,4.13,601,4.2,-10,0.254,140,81,3.68,CL,2019
5,中日,143,68,73,2,0.482,2.5,9.0,0,-5,● 2,563,3.94,544,3.8,19,0.263,90,63,3.72,CL,2019
6,ヤクルト,143,59,82,2,0.418,9.0,18.0,0,-23,○ 1,656,4.59,739,5.17,-83,0.244,167,62,4.78,CL,2019
1,西武,143,80,62,1,0.563,優勝,-,0,18,● 1,756,5.29,695,4.86,61,0.265,174,134,4.35,PL,2019
2,ソフトバンク,143,76,62,5,0.551,2.0,2.0,0,14,● 2,582,4.07,564,3.94,18,0.251,183,113,3.63,PL,2019
3,楽天,143,71,68,4,0.511,5.5,7.5,0,3,○ 2,614,4.29,578,4.04,36,0.251,141,48,3.74,PL,2019
4,ロッテ,143,69,70,4,0.496,2.0,9.5,0,-1,● 1,642,4.49,611,4.27,31,0.249,158,75,3.9,PL,2019
5,日本ハム,143,65,73,5,0.471,3.5,13.0,0,-8,● 1,560,3.92,586,4.1,-26,0.251,93,48,3.76,PL,2019
6,オリックス,143,61,75,7,0.449,3.0,16.0,0,-14,○ 2,544,3.8,637,4.45,-93,0.242,102,122,4.05,PL,2019
1,巨人,120,67,45,8,0.598,優勝,-,23,22,● 1,532,4.43,421,3.51,111,0.255,135,80,3.34,CL,2020
2,阪神,120,60,53,7,0.531,7.5,7.5,23,7,○ 1,494,4.12,460,3.83,34,0.246,110,80,3.35,CL,2020
3,中日,120,60,55,5,0.522,1.0,8.5,23,5,○ 1,429,3.58,489,4.08,-60,0.252,70,33,3.84,CL,2020
4,DeNA,120,56,58,6,0.491,3.5,12.0,23,-2,○ 1,516,4.3,474,3.95,42,0.266,135,31,3.76,CL,2020
5,広島,120,52,56,12,0.481,1.0,13.0,23,-4,● 1,523,4.36,529,4.41,-6,0.262,110,64,4.06,CL,2020
6,ヤクルト,120,41,69,10,0.373,12.0,25.0,23,-28,● 1,468,3.9,589,4.91,-121,0.242,114,74,4.61,CL,2020
1,ソフトバンク,120,73,42,5,0.635,優勝,-,23,31,○ 1,531,4.43,389,3.24,142,0.249,126,99,2.92,PL,2020
2,ロッテ,120,60,57,3,0.513,14.0,14.0,23,3,● 1,461,3.84,479,3.99,-18,0.235,90,87,3.81,PL,2020
3,西武,120,58,58,4,0.5,1.5,15.5,23,0,● 3,479,3.99,543,4.53,-64,0.238,107,85,4.28,PL,2020
4,楽天,120,55,57,8,0.491,1.0,16.5,23,-2,○ 2,557,4.64,522,4.35,35,0.258,112,67,4.19,PL,2020
5,日本ハム,120,53,62,5,0.461,3.5,20.0,23,-9,○ 1,493,4.11,528,4.4,-35,0.249,89,80,4.02,PL,2020
6,オリックス,120,45,68,7,0.398,7.0,27.0,23,-23,● 1,442,3.68,502,4.18,-60,0.247,90,95,3.97,PL,2020
1,ヤクルト,143,73,52,18,0.584,優勝,-,0,21,○ 1,625,4.37,531,3.71,94,0.254,142,70,3.48,CL,2021
2,阪神,143,77,56,10,0.579,0.0,-,0,21,○ 1,541,3.78,508,3.55,33,0.247,121,114,3.3,CL,2021
3,巨人,143,61,62,20,0.496,11.0,11.0,0,-1,● 10,552,3.86,541,3.78,11,0.242,169,65,3.63,CL,2021
4,広島,143,63,68,12,0.481,2.0,13.0,0,-5,● 1,557,3.9,589,4.12,-32,0.264,123,68,3.81,CL,2021
5,中日,143,55,71,17,0.437,5.5,18.5,0,-16,○ 1,405,2.83,478,3.34,-73,0.237,69,60,3.22,CL,2021
