year,date,home_team,away_team,home_score,away_score,stadium
2021,2021/03/26,巨人,DeNA,8,7,東京ドーム
2021,2021/03/26,ヤクルト,阪神,3,4,神宮球場
2021,2021/03/26,広島,中日,6,7,マツダスタジアム
2021,2021/03/26,楽天,日本ハム,8,2,楽天モバイルパーク
2021,2021/03/26,西武,オリックス,4,3,ベルーナドーム
2021,2021/03/26,ソフトバンク,ロッテ,8,2,PayPayドーム
2021,2021/03/27,巨人,DeNA,10,5,東京ドーム
2021,2021/03/27,ヤクルト,阪神,5,9,神宮球場
2021,2021/03/27,広島,中日,4,1,マツダスタジアム
2021,2021/03/27,楽天,日本ハム,4,9,楽天モバイルパーク
2021,2021/03/27,西武,オリックス,2,3,ベルーナドーム
2021,2021/03/27,ソフトバンク,ロッテ,3,2,PayPayドーム
2021,2021/03/28,巨人,DeNA,1,1,東京ドーム
2021,2021/03/28,ヤクルト,阪神,2,8,神宮球場
2021,2021/03/28,広島,中日,0,0,マツダスタジアム
2021,2021/03/28,楽天,日本ハム,5,0,楽天モバイルパーク
2021,2021/03/28,西武,オリックス,5,1,ベルーナドーム
2021,2021/03/28,ソフトバンク,ロッテ,6,5,PayPayドーム
2021,2021/03/30,DeNA,ヤクルト,4,5,横浜スタジアム
2021,2021/03/30,中日,巨人,3,3,バンテリンドーム
2021,2021/03/30,広島,阪神,1,0,マツダスタジアム
2021,2021/03/30,日本ハム,西武,4,11,札幌ドーム
2021,2021/03/30,ロッテ,楽天,0,5,ZOZOマリン
2021,2021/03/30,オリックス,ソフトバンク,1,3,京セラドーム
2021,2021/03/31,DeNA,ヤクルト,3,5,横浜スタジアム
2021,2021/03/31,中日,巨人,5,3,バンテリンドーム
2021,2021/03/31,広島,阪神,4,2,マツダスタジアム
2021,2021/03/31,日本ハム,西武,1,1,札幌ドーム
2021,2021/03/31,ロッテ,楽天,1,2,ZOZOマリン
2021,2021/03/31,オリックス,ソフトバンク,7,2,京セラドーム
2021,2021/04/01,DeNA,ヤクルト,11,11,横浜スタジアム
2021,2021/04/01,中日,巨人,1,3,バンテリンドーム
2021,2021/04/01,広島,阪神,3,6,マツダスタジアム
2021,2021/04/01,ロッテ,楽天,16,5,ZOZOマリン
2021,2021/04/01,オリックス,ソフトバンク,2,0,京セラドーム
2021,2021/04/02,巨人,ヤクルト,0,2,東京ドーム
2021,2021/04/02,DeNA,広島,0,4,横浜スタジアム
2021,2021/04/02,阪神,中日,3,6,甲子園
2021,2021/04/02,日本ハム,ロッテ,4,16,札幌ドーム
2021,2021/04/02,楽天,オリックス,4,2,楽天モバイルパーク
2021,2021/04/02,ソフトバンク,西武,2,6,PayPayドーム
2021,2021/04/03,巨人,ヤクルト,2,2,東京ドーム
2021,2021/04/03,DeNA,広島,3,7,横浜スタジアム
2021,2021/04/03,阪神,中日,1,0,甲子園
2021,2021/04/03,日本ハム,ロッテ,5,6,札幌ドーム
2021,2021/04/03,楽天,オリックス,3,2,楽天モバイルパーク
2021,2021/04/03,ソフトバンク,西武,4,7,PayPayドーム
2021,2021/04/04,巨人,ヤクルト,2,1,東京ドーム
2021,2021/04/04,DeNA,広島,3,1,横浜スタジアム
2021,2021/04/04,阪神,中日,3,1,甲子園
2021,2021/04/04,日本ハム,ロッテ,1,1,札幌ドーム
2021,2021/04/04,楽天,オリックス,0,4,楽天モバイルパーク
2021,2021/04/04,ソフトバンク,西武,2,4,PayPayドーム
2021,2021/04/06,ヤクルト,広島,0,2,神宮球場
2021,2021/04/06,中日,DeNA,3,7,バンテリンドーム
2021,2021/04/06,阪神,巨人,6,2,甲子園
2021,2021/04/06,日本ハム,ソフトバンク,0,7,札幌ドーム
2021,2021/04/06,西武,楽天,2,13,ベルーナドーム
2021,2021/04/06,ロッテ,オリックス,3,3,ZOZOマリン
2021,2021/04/07,ヤクルト,広島,3,2,神宮球場
2021,2021/04/07,中日,DeNA,3,1,バンテリンドーム
2021,2021/04/07,阪神,巨人,7,1,甲子園
2021,2021/04/07,日本ハム,ソフトバンク,2,6,札幌ドーム
2021,2021/04/07,西武,楽天,3,6,ベルーナドーム
2021,2021/04/07,ロッテ,オリックス,9,2,ZOZOマリン
2021,2021/04/08,ヤクルト,広島,11,7,神宮球場
2021,2021/04/08,中日,DeNA,2,5,バンテリンドーム
2021,2021/04/08,阪神,巨人,0,3,甲子園
2021,2021/04/08,日本ハム,ソフトバンク,2,4,札幌ドーム
2021,2021/04/08,西武,楽天,0,4,ベルーナドーム
2021,2021/04/08,ロッテ,オリックス,1,5,ZOZOマリン
2021,2021/04/09,DeNA,阪神,2,9,横浜スタジアム
2021,2021/04/09,広島,巨人,2,0,マツダスタジアム
2021,2021/04/09,楽天,ソフトバンク,1,1,楽天モバイルパーク
2021,2021/04/09,ロッテ,西武,4,7,ZOZOマリン
2021,2021/04/09,オリックス,日本ハム,1,2,京セラドーム
2021,2021/04/10,DeNA,阪神,0,4,横浜スタジアム
2021,2021/04/10,中日,ヤクルト,2,2,バンテリンドーム
2021,2021/04/10,広島,巨人,4,2,マツダスタジアム
2021,2021/04/10,楽天,ソフトバンク,8,8,楽天モバイルパーク
2021,2021/04/10,ロッテ,西武,6,2,ZOZOマリン
2021,2021/04/10,オリックス,日本ハム,2,5,京セラドーム
2021,2021/04/11,DeNA,阪神,2,3,横浜スタジアム
2021,2021/04/11,中日,ヤクルト,2,1,バンテリンドーム
2021,2021/04/11,広島,巨人,0,9,マツダスタジアム
2021,2021/04/11,楽天,ソフトバンク,0,2,楽天モバイルパーク
2021,2021/04/11,ロッテ,西武,1,2,ZOZOマリン
2021,2021/04/11,オリックス,日本ハム,4,4,京セラドーム
2021,2021/04/13,巨人,中日,2,1,東京ドーム
2021,2021/04/13,ヤクルト,DeNA,5,1,神宮球場
2021,2021/04/13,楽天,ロッテ,2,6,楽天モバイルパーク
2021,2021/04/13,西武,日本ハム,2,3,ベルーナドーム
2021,2021/04/13,ソフトバンク,オリックス,4,7,PayPayドーム
2021,2021/04/14,巨人,中日,5,1,東京ドーム
2021,2021/04/14,ヤクルト,DeNA,7,3,神宮球場
2021,2021/04/14,阪神,広島,6,0,甲子園
2021,2021/04/14,楽天,ロッテ,2,2,楽天モバイルパーク
2021,2021/04/14,西武,日本ハム,2,1,ベルーナドーム
2021,2021/04/14,ソフトバンク,オリックス,4,1,PayPayドーム
2021,2021/04/15,巨人,中日,5,1,東京ドーム
