player,team,pred_ERA
三上　朋也,DeNA,3.89
鍵谷　陽平,巨人,4.17
今野　龍太,ヤクルト,2.68
泉　圭輔,ソフトバンク,2.77
隅田　知一郎,西武,3.21
島内　颯太郎,広島,3.22
祖父江　大輔,中日,2.84
竹安　大知,オリックス,3.05
早川　隆久,楽天,3.42
クロール,巨人,3.07
藤井　黎來,広島,3.3
谷川　昌希,日本ハム,3.0
増井　浩俊,オリックス,2.61
玉村　昇悟,広島,3.07
石川　直也,日本ハム,3.17
レイ,ソフトバンク,3.15
藤平　尚真,楽天,2.5
椎野　新,ソフトバンク,3.45
ビドル,オリックス,3.06
鈴木　翔天,楽天,3.39
赤星　優志,巨人,3.44
ウィルカーソン,阪神,2.79
古川　侑利,日本ハム,3.08
福井　優也,楽天,3.06
小澤　怜史,ヤクルト,3.21
薮田　和樹,広島,2.84
鈴木　博志,中日,3.95
坂本　光士郎,ロッテ,2.48
二木　康太,ロッテ,3.4
大下　佑馬,ヤクルト,3.79
シューメーカー,巨人,3.22
吉田　輝星,日本ハム,3.5
平田　真吾,DeNA,3.41
高梨　裕稔,ヤクルト,3.48
平内　龍太,巨人,3.97
山田　修義,オリックス,2.99
中川　虎大,DeNA,3.35
安樂　智大,楽天,3.2
小川　一平,阪神,4.05
星　知弥,ヤクルト,3.28
河野　竜生,日本ハム,2.68
村西　良太,オリックス,3.93
大西　広樹,ヤクルト,2.74
石川　雅規,ヤクルト,4.44
津留﨑　大成,楽天,3.15
勝野　昌慶,中日,2.39
福　敬登,中日,2.44
田島　慎二,中日,3.51
佐藤　隼輔,西武,2.73
瀧中　瞭太,楽天,4.0
東　克樹,DeNA,3.59
佐藤　奨真,ロッテ,3.56
本前　郁也,ロッテ,3.61
アルカンタラ,阪神,3.24
大瀬良　大地,広島,2.99
上茶谷　大河,DeNA,3.25
アンドリース,巨人,3.71
田中　瑛斗,日本ハム,3.41
原　樹理,ヤクルト,3.79
東　晃平,オリックス,3.31
金子　千尋,日本ハム,2.55
廣畑　敦也,ロッテ,2.73
西村　天裕,日本ハム,2.46
齋藤　友貴哉,阪神,2.61
戸根　千明,巨人,3.63
桐敷　拓馬,阪神,1.94
馬場　皐輔,阪神,2.78
鍬原　拓也,巨人,2.96
井口　和朋,日本ハム,3.08
野村　祐輔,広島,3.96
杉浦　稔大,日本ハム,2.68
唐川　侑己,ロッテ,3.82
笠原　祥太郎,中日,4.24
髙橋　優貴,巨人,3.57
秋山　拓巳,阪神,3.22
尾形　崇斗,ソフトバンク,2.77
菊地　大稀,巨人,3.33
菊池　保則,広島,3.59
宮西　尚生,日本ハム,3.54
砂田　毅樹,DeNA,4.26
堀　瑞輝,日本ハム,2.72
井上　温大,巨人,3.25
小峯　新陸,楽天,2.9
釜田　佳直,楽天,2.51
田村　伊知郎,西武,2.31
タバーレス,中日,2.36
小沼　健太,ロッテ,4.08
渡邉　勇太朗,西武,3.53
石橋　良太,楽天,2.9
坂本　裕哉,DeNA,2.95
スアレス,ヤクルト,3.86
森木　大智,阪神,3.16
堀田　賢慎,巨人,2.65
笠谷　俊介,ソフトバンク,4.1
大曲　錬,西武,3.59
佐々木　千隼,ロッテ,3.67
大竹　耕太郎,ソフトバンク,3.43
中﨑　翔太,広島,2.64
黒原　拓未,広島,2.93
戸田　懐生,巨人,4.08
バルガス,オリックス,2.95
Ｋ－鈴木,オリックス,3.34
大道　温貴,広島,3.21
齋藤　綱記,オリックス,3.73
東妻　勇輔,ロッテ,3.02
有吉　優樹,DeNA,2.78
杉山　一樹,ソフトバンク,2.41
望月　大希,日本ハム,3.29
高田　孝一,楽天,3.4
髙田　萌生,楽天,3.68
鈴木　昭汰,ロッテ,3.27
市川　悠太,ヤクルト,3.8
金久保　優斗,ヤクルト,2.98
山本　大貴,ヤクルト,2.5
中村　稔弥,ロッテ,3.2
吉田　凌,オリックス,3.31
フランスア,広島,2.47
田中　靖洋,ロッテ,3.86
石川　達也,DeNA,3.32
中村　勝,オリックス,2.23
宮國　椋丞,DeNA,3.61
福谷　浩司,中日,4.02
岡田　俊哉,中日,3.24
松井　友飛,楽天,3.67
阪口　皓亮,DeNA,3.05
種市　篤暉,ロッテ,3.43
尾仲　祐哉,阪神,4.25
及川　雅貴,阪神,3.26
柴田　大地,ヤクルト,3.46
小林　樹斗,広島,4.24
田浦　文丸,ソフトバンク,3.81
橋本　侑樹,中日,3.29
ビエイラ,巨人,3.06
立野　和明,日本ハム,3.28
森　遼大朗,ロッテ,4.13
三浦　銀二,DeNA,3.54
富山　凌雅,オリックス,2.64
佐藤　優,中日,3.17
マルク,中日,2.88
岡野　祐一郎,中日,3.69
高橋　礼,ソフトバンク,4.7
秋吉　亮,ソフトバンク,3.97
桜井　俊貴,巨人,3.34
ピープルズ,DeNA,2.41
横川　凱,巨人,3.34
松浦　慶斗,日本ハム,4.79
宮台　康平,ヤクルト,2.8
横山　陸人,ロッテ,3.23
中村　亮太,ソフトバンク,3.1
岩嵜　翔,中日,3.28
齋藤　響介,オリックス,4.01
矢澤　宏太,日本ハム,2.89
前　佑囲斗,オリックス,2.87
マルティネス,中日,2.5
豆田　泰志,西武,3.16
梅津　晃大,中日,3.29
澤田　圭佑,ロッテ,3.03
松山　晋也,中日,2.51
岡留　英貴,阪神,3.47
中村　祐太,広島,3.56
山下　舜平大,オリックス,3.31
益田　武尚,広島,2.63
高野　脩汰,ロッテ,2.81
ウェンデルケン,DeNA,2.35
バルドナード,巨人,3.43
Ｋ．ケラー,阪神,4.23
村上　頌樹,阪神,2.71
金村　尚真,日本ハム,3.11
メンデス,巨人,3.94
中川　皓太,巨人,2.97
ペルドモ,ロッテ,2.74
ビーズリー,阪神,3.49
メヒア,中日,3.87
菊地　吏玖,ロッテ,3.13
内　星龍,楽天,3.69
有原　航平,ソフトバンク,2.92
ブルワー,阪神,3.37
渡辺　翔太,楽天,3.08
大津　亮介,ソフトバンク,3.39
マーベル,日本ハム,3.95
船迫　大雅,巨人,3.47
グリフィン,巨人,2.92
バウアー,DeNA,3.41
ティノコ,西武,3.92
青山　美夏人,西武,3.69
漆原　大晟,オリックス,3.37
カスティーヨ,ロッテ,3.85
フェリス,中日,3.33
ピーターズ,ヤクルト,3.41
アドゥワ　誠,広島,4.17
松井　颯,巨人,3.9
伊藤　茉央,楽天,2.54
荘司　康誠,楽天,3.69
スチュワート・ジュニア,ソフトバンク,3.29
門別　啓人,阪神,3.54
平良　拳太郎,DeNA,3.17
中森　俊介,ロッテ,3.88
曽谷　龍平,オリックス,3.15
宮城　滝太,DeNA,4.38
ビーディ,巨人,3.79
丸山　翔大,ヤクルト,2.27
ロペス,巨人,2.79
田中　豊樹,巨人,3.01
山野　太一,ヤクルト,3.7
吉村　貢司郎,ヤクルト,3.43
富田　蓮,阪神,2.95
澤村　拓一,ロッテ,4.16
仲地　礼亜,中日,2.93
代木　大和,巨人,3.49
エスピナル,ヤクルト,2.82
成田　翔,ヤクルト,3.59
田中　千晴,巨人,3.03
コットン,オリックス,3.35
宮内　春輝,日本ハム,3.89
鈴木　康平,巨人,3.54
松本　晴,ソフトバンク,3.15
横山　楓,オリックス,3.33
小孫　竜二,楽天,2.88
塩見　貴洋,楽天,2.94
北村　拓己,巨人,3.06
河野　佳,広島,3.23
ニックス,オリックス,2.3
福島　章太,中日,3.74
堀岡　隼人,巨人,3.01
長谷川　宙輝,ヤクルト,3.99
ヘルナンデス,ソフトバンク,2.9
近藤　廉,中日,3.74
バニュエロス,楽天,3.56
長谷部　銀次,広島,2.4
前田　純,ソフトバンク,3.08
三浦　瑞樹,ソフトバンク,2.68
ディアス,DeNA,2.63
杉山　遙希,西武,3.06
髙　太一,広島,4.44
大谷　輝龍,ロッテ,3.28
高橋　昂也,広島,4.26
坂井　陽翔,楽天,4.43
日當　直喜,楽天,4.37
川原　陸,阪神,3.66
佐藤　蓮,阪神,4.26
古田島　成龍,オリックス,2.53
伊藤　優輔,巨人,2.71
ザバラ,日本ハム,2.79
ハーン,広島,2.44
木村　光,ソフトバンク,2.83
髙橋　遥人,阪神,2.82
ゲラ,阪神,2.55
ダイクストラ,ロッテ,3.64
田中　晴也,ロッテ,3.81
マチャド,オリックス,2.88
武内　夏暉,西武,3.13
滝田　一希,広島,4.01
アブレイユ,西武,3.04
徳山　壮磨,DeNA,2.78
常廣　羽也斗,広島,3.11
ウィック,DeNA,3.34
エスピノーザ,オリックス,3.34
上田　大河,西武,3.51
羽田　慎之介,西武,3.62
ジャクソン,DeNA,3.53
バーヘイゲン,日本ハム,3.96
大山　凌,ソフトバンク,3.63
マーフィー,日本ハム,3.18
ヤフーレ,ヤクルト,3.89
澤柳　亮太郎,ソフトバンク,2.96
ケイ,DeNA,3.59
岩井　俊介,ソフトバンク,3.45
川瀬　堅斗,オリックス,2.82
福島　蓮,日本ハム,3.96
カイケル,ロッテ,3.96
松田　啄磨,楽天,3.19
京本　眞,巨人,3.39
松本　隆之介,DeNA,3.61
松木平　優太,中日,4.3
西舘　勇陽,巨人,3.14
細野　晴希,日本ハム,3.19
石田　裕太郎,DeNA,3.63
髙島　泰都,オリックス,3.33
柳川　大晟,日本ハム,3.23
吉野　光樹,DeNA,3.01
古謝　樹,楽天,4.29
松本　健吾,ヤクルト,3.45
中川　颯,DeNA,3.02
エスパーダ,ヤクルト,3.53
才木　海翔,オリックス,3.05
菅井　信也,西武,3.74
佐藤　一磨,オリックス,2.98
石黒　佑弥,阪神,2.81
ヤン,西武,3.21
松本　凌人,DeNA,2.98
土生　翔太,中日,2.79
又木　鉄平,巨人,2.99
コルデロ,ロッテ,3.01
ハッチ,広島,3.55
櫻井　周斗,楽天,2.89
石原　勇輝,ヤクルト,3.87
糸川　亮太,西武,3.34
浜屋　将太,西武,4.34
清宮　虎多朗,楽天,3.16
二保　旭,ロッテ,4.71
小園　健太,DeNA,4.23
前田　悠伍,ソフトバンク,3.95
村田　賢一,ソフトバンク,3.89
