year,league,team,G,W,L,D,actual_WPCT,RS,RA,pyth_WPCT_npb,pyth_WPCT_mlb,pyth_W_npb,pyth_W_mlb,diff_W_npb,diff_W_mlb
2019,PL,オリックス,143,61,75,7,0.449,544,637,0.433,0.428,58.8,58.2,-2.2,-2.8
2020,CL,巨人,120,67,45,8,0.598,532,421,0.599,0.605,67.1,67.8,0.1,0.8
2020,CL,阪神,120,60,53,7,0.531,494,460,0.531,0.533,60.0,60.2,-0.0,0.2
2020,CL,中日,120,60,55,5,0.522,429,489,0.444,0.44,51.1,50.6,-8.9,-9.4
2020,CL,DeNA,120,56,58,6,0.491,516,474,0.536,0.539,61.2,61.4,5.2,5.4
2020,CL,広島,120,52,56,12,0.481,523,529,0.495,0.495,53.5,53.4,1.5,1.4
2020,CL,ヤクルト,120,41,69,10,0.373,468,589,0.402,0.396,44.3,43.6,3.3,2.6
2020,PL,ソフトバンク,120,73,42,5,0.635,531,389,0.631,0.639,72.5,73.4,-0.5,0.4
2020,PL,ロッテ,120,60,57,3,0.513,461,479,0.484,0.482,56.6,56.5,-3.4,-3.5
2020,PL,西武,120,58,58,4,0.5,479,543,0.446,0.443,51.8,51.4,-6.2,-6.6
2020,PL,楽天,120,55,57,8,0.491,557,522,0.528,0.53,59.1,59.3,4.1,4.3
2020,PL,日本ハム,120,53,62,5,0.461,493,528,0.471,0.469,54.1,53.9,1.1,0.9
2020,PL,オリックス,120,45,68,7,0.398,442,502,0.445,0.442,50.3,49.9,5.3,4.9
2021,CL,ヤクルト,143,73,52,18,0.584,625,531,0.57,0.574,71.2,71.8,-1.8,-1.2
2021,CL,阪神,143,77,56,10,0.579,541,508,0.527,0.529,70.1,70.3,-6.9,-6.7
2021,CL,巨人,143,61,62,20,0.496,552,541,0.509,0.509,62.6,62.6,1.6,1.6
2021,CL,広島,143,63,68,12,0.481,557,589,0.476,0.474,62.4,62.2,-0.6,-0.8
2021,CL,中日,143,55,71,17,0.437,405,478,0.429,0.425,54.1,53.5,-0.9,-1.5
2021,CL,DeNA,143,54,73,16,0.425,559,624,0.453,0.45,57.5,57.1,3.5,3.1
2021,PL,オリックス,143,70,55,18,0.56,551,500,0.542,0.544,67.7,68.0,-2.3,-2.0
2021,PL,ロッテ,143,67,57,19,0.54,584,570,0.51,0.511,63.3,63.4,-3.7,-3.6
2021,PL,楽天,143,66,62,15,0.516,532,507,0.521,0.522,66.6,66.8,0.6,0.8
2021,PL,ソフトバンク,143,60,62,21,0.492,564,493,0.558,0.561,68.0,68.5,8.0,8.5
2021,PL,日本ハム,143,55,68,20,0.447,454,515,0.446,0.443,54.9,54.4,-0.1,-0.6
2021,PL,西武,143,55,70,18,0.44,521,589,0.447,0.444,55.9,55.5,0.9,0.5
2022,CL,ヤクルト,143,80,59,4,0.576,619,566,0.538,0.541,74.8,75.2,-5.2,-4.8
2022,CL,DeNA,143,73,68,2,0.518,497,534,0.469,0.467,66.2,65.9,-6.8,-7.1
2022,CL,阪神,143,68,71,4,0.489,489,428,0.557,0.561,77.4,77.9,9.4,9.9
2022,CL,巨人,143,68,72,3,0.486,548,589,0.469,0.467,65.7,65.4,-2.3,-2.6
2022,CL,広島,143,66,74,3,0.471,552,544,0.506,0.507,70.9,70.9,4.9,4.9
2022,CL,中日,143,66,75,2,0.468,414,495,0.424,0.419,59.8,59.1,-6.2,-6.9
2022,PL,オリックス,143,76,65,2,0.539,490,458,0.529,0.531,74.6,74.9,-1.4,-1.1
2022,PL,ソフトバンク,143,76,65,2,0.539,555,471,0.57,0.575,80.4,81.0,4.4,5.0
2022,PL,西武,143,72,68,3,0.514,464,448,0.515,0.516,72.1,72.2,0.1,0.2
2022,PL,楽天,143,69,71,3,0.493,533,522,0.509,0.51,71.3,71.3,2.3,2.3
2022,PL,ロッテ,143,69,73,1,0.486,501,536,0.471,0.469,66.9,66.6,-2.1,-2.4
2022,PL,日本ハム,143,59,81,3,0.421,463,534,0.439,0.435,61.5,60.9,2.5,1.9
2023,CL,阪神,143,85,53,5,0.616,555,424,0.614,0.621,84.7,85.7,-0.3,0.7
2023,CL,広島,143,74,65,4,0.532,493,508,0.487,0.486,67.7,67.6,-6.3,-6.4
2023,CL,DeNA,143,74,66,3,0.529,520,496,0.52,0.522,72.8,73.0,-1.2,-1.0
2023,CL,巨人,143,71,70,2,0.504,523,507,0.513,0.514,72.4,72.5,1.4,1.5
2023,CL,ヤクルト,143,57,83,3,0.407,534,567,0.474,0.473,66.4,66.2,9.4,9.2
2023,CL,中日,143,56,82,5,0.406,390,498,0.396,0.39,54.7,53.8,-1.3,-2.2
2023,PL,オリックス,143,86,53,4,0.619,508,428,0.573,0.578,79.7,80.3,-6.3,-5.7
2023,PL,ロッテ,143,70,68,5,0.507,505,524,0.484,0.483,66.8,66.7,-3.2,-3.3
2023,PL,ソフトバンク,143,71,69,3,0.507,536,507,0.524,0.525,73.3,73.6,2.3,2.6
2023,PL,楽天,143,70,71,2,0.496,513,556,0.465,0.463,65.6,65.3,-4.4,-4.7
2023,PL,西武,143,65,77,1,0.458,435,465,0.471,0.47,66.9,66.7,1.9,1.7
2023,PL,日本ハム,143,60,82,1,0.423,464,496,0.471,0.47,66.9,66.7,6.9,6.7
2024,CL,巨人,143,77,59,7,0.566,462,381,0.582,0.587,79.2,79.9,2.2,2.9
2024,CL,阪神,143,74,63,6,0.54,485,420,0.562,0.565,76.9,77.5,2.9,3.5
2024,CL,DeNA,143,71,69,3,0.507,522,503,0.516,0.517,72.2,72.4,1.2,1.4
2024,CL,広島,143,68,70,5,0.493,415,419,0.496,0.496,68.4,68.4,0.4,0.4
2024,CL,ヤクルト,143,62,77,4,0.446,506,556,0.46,0.457,63.9,63.5,1.9,1.5
2024,CL,中日,143,60,75,8,0.444,373,478,0.395,0.388,53.3,52.4,-6.7,-7.6
2024,PL,ソフトバンク,143,91,49,3,0.65,607,390,0.682,0.692,95.4,96.9,4.4,5.9
2024,PL,日本ハム,143,75,60,8,0.556,532,485,0.54,0.542,72.9,73.2,-2.1,-1.8
2024,PL,ロッテ,143,71,66,6,0.518,493,495,0.498,0.498,68.3,68.2,-2.7,-2.8
2024,PL,楽天,143,67,72,4,0.482,492,579,0.43,0.426,59.8,59.2,-7.2,-7.8
2024,PL,オリックス,143,63,77,3,0.45,402,448,0.454,0.451,63.5,63.1,0.5,0.1
2024,PL,西武,143,49,91,3,0.35,350,485,0.363,0.355,50.9,49.7,1.9,0.7
2025,CL,阪神,143,85,54,4,0.612,496,352,0.643,0.652,89.4,90.6,4.4,5.6
2025,CL,DeNA,143,71,66,6,0.518,510,456,0.548,0.551,75.1,75.5,4.1,4.5
2025,CL,巨人,143,70,69,4,0.504,463,461,0.502,0.502,69.8,69.8,-0.2,-0.2
2025,CL,中日,143,63,78,2,0.447,403,463,0.441,0.437,62.1,61.6,-0.9,-1.4
2025,CL,広島,143,59,79,5,0.428,441,497,0.449,0.446,61.9,61.5,2.9,2.5
2025,CL,ヤクルト,143,57,79,7,0.419,443,564,0.398,0.391,54.1,53.2,-2.9,-3.8
2025,PL,ソフトバンク,143,87,52,4,0.626,551,389,0.645,0.654,89.7,90.9,2.7,3.9
2025,PL,日本ハム,143,83,57,3,0.593,548,409,0.623,0.631,87.2,88.3,4.2,5.3
2025,PL,オリックス,143,74,66,3,0.529,502,519,0.486,0.485,68.0,67.9,-6.0,-6.1
2025,PL,楽天,143,67,74,2,0.475,446,526,0.43,0.425,60.6,59.9,-6.4,-7.1
2025,PL,西武,143,63,77,3,0.45,410,465,0.446,0.443,62.5,62.0,-0.5,-1.0
2025,PL,ロッテ,143,56,84,3,0.4,441,553,0.404,0.398,56.5,55.7,0.5,-0.3
