player,team,pred_OPS
浅村　栄斗,楽天,0.751
島内　宏明,楽天,0.664
村上　宗隆,ヤクルト,0.858
中野　拓夢,阪神,0.667
岡林　勇希,中日,0.645
髙部　瑛斗,ロッテ,0.681
丸　佳浩,巨人,0.78
佐藤　輝明,阪神,0.791
坂倉　将吾,広島,0.719
中村　奨吾,ロッテ,0.639
岡本　和真,巨人,0.848
近本　光司,阪神,0.756
佐野　恵太,DeNA,0.727
牧　秀悟,DeNA,0.864
吉川　尚輝,巨人,0.709
塩見　泰隆,ヤクルト,0.756
長岡　秀樹,ヤクルト,0.686
阿部　寿樹,中日,0.7
外崎　修汰,西武,0.617
山田　哲人,ヤクルト,0.751
宗　佑磨,オリックス,0.635
ビシエド,中日,0.693
オスナ,ヤクルト,0.704
桑原　将志,DeNA,0.639
山川　穂高,西武,0.716
菊池　涼介,広島,0.611
小園　海斗,広島,0.654
今宮　健太,ソフトバンク,0.701
大山　悠輔,阪神,0.747
マクブルーム,広島,0.668
吉田　正尚,オリックス,0.695
福田　周平,オリックス,0.67
糸原　健斗,阪神,0.618
紅林　弘太郎,オリックス,0.646
柳田　悠岐,ソフトバンク,0.793
ポランコ,巨人,0.729
宮﨑　敏郎,DeNA,0.802
大島　洋平,中日,0.64
小深田　大翔,楽天,0.639
鈴木　大地,楽天,0.641
辰己　涼介,楽天,0.712
中川　圭太,オリックス,0.674
木下　拓哉,中日,0.634
オグレディ,西武,0.673
清宮　幸太郎,日本ハム,0.783
源田　壮亮,西武,0.659
西川　遥輝,楽天,0.642
松本　剛,日本ハム,0.68
牧原　大成,ソフトバンク,0.642
安田　尚憲,ロッテ,0.647
三森　大貴,ソフトバンク,0.673
中村　晃,ソフトバンク,0.609
杉本　裕太郎,オリックス,0.718
ウォーカー,巨人,0.654
西川　龍馬,広島,0.68
ソト,DeNA,0.734
森　友哉,西武,0.817
甲斐　拓也,ソフトバンク,0.653
佐藤　都志也,ロッテ,0.642
レアード,ロッテ,0.634
近藤　健介,日本ハム,0.893
愛斗,西武,0.603
大城　卓三,巨人,0.678
グラシアル,ソフトバンク,0.647
山崎　晃大朗,ヤクルト,0.636
中田　翔,巨人,0.691
荻野　貴司,ロッテ,0.626
野村　佑希,日本ハム,0.667
柳町　達,ソフトバンク,0.675
坂本　勇人,巨人,0.674
山口　航輝,ロッテ,0.676
島田　海吏,阪神,0.622
野間　峻祥,広島,0.674
梅野　隆太郎,阪神,0.558
デスパイネ,ソフトバンク,0.643
石井　一成,日本ハム,0.655
楠本　泰史,DeNA,0.605
會澤　翼,広島,0.546
周東　佑京,ソフトバンク,0.624
万波　中正,日本ハム,0.754
今川　優馬,日本ハム,0.634
中村　悠平,ヤクルト,0.593
呉　念庭,西武,0.664
上川畑　大悟,日本ハム,0.669
上本　崇司,広島,0.617
中村　剛也,西武,0.676
高橋　周平,中日,0.647
炭谷　銀仁朗,楽天,0.548
Ａ．マルティネス,中日,0.686
アルカンタラ,日本ハム,0.629
大和,DeNA,0.574
堂林　翔太,広島,0.657
銀次,楽天,0.638
頓宮　裕真,オリックス,0.747
茂木　栄五郎,楽天,0.693
栗山　巧,西武,0.684
マーティン,ロッテ,0.652
嶺井　博希,DeNA,0.654
エチェバリア,ロッテ,0.625
青木　宣親,ヤクルト,0.652
岡　大海,ロッテ,0.735
安達　了一,オリックス,0.596
淺間　大基,日本ハム,0.646
宇佐見　真吾,日本ハム,0.649
伏見　寅威,オリックス,0.588
井上　晴哉,ロッテ,0.601
土田　龍空,中日,0.641
鈴木　将平,西武,0.608
関根　大気,DeNA,0.617
マルモレホス,楽天,0.654
山﨑　剛,楽天,0.638
サンタナ,ヤクルト,0.853
松川　虎生,ロッテ,0.566
マッカーシー,オリックス,0.674
ロハス・ジュニア,阪神,0.642
野村　勇,ソフトバンク,0.71
山本　泰寛,阪神,0.582
岡島　豪郎,楽天,0.665
柴田　竜拓,DeNA,0.637
内山　壮真,ヤクルト,0.59
鵜飼　航丞,中日,0.64
若月　健矢,オリックス,0.614
太田　光,楽天,0.598
糸井　嘉男,阪神,0.646
蝦名　達夫,DeNA,0.643
ヌニエス,日本ハム,0.657
秋山　翔吾,広島,0.615
森　敬斗,DeNA,0.628
渡邊　佳明,楽天,0.611
谷内　亮太,日本ハム,0.562
野口　智哉,オリックス,0.687
松山　竜平,広島,0.627
川越　誠司,西武,0.75
溝脇　隼人,中日,0.59
増田　陸,巨人,0.649
茶谷　健太,ロッテ,0.564
三ツ俣　大樹,中日,0.601
大田　泰示,DeNA,0.617
戸柱　恭孝,DeNA,0.598
坂本　誠志郎,阪神,0.574
中島　卓也,日本ハム,0.617
濱田　太貴,ヤクルト,0.615
京田　陽太,中日,0.619
中山　礼都,巨人,0.613
石川　昂弥,中日,0.716
角中　勝也,ロッテ,0.745
中村　健人,広島,0.627
宮本　丈,ヤクルト,0.653
長野　久義,広島,0.668
太田　賢吾,ヤクルト,0.632
西野　真弘,オリックス,0.664
ガルビス,ソフトバンク,0.6
重信　慎之介,巨人,0.642
金子　侑司,西武,0.627
ジャンセン・ウィティ,西武,0.624
バレラ,オリックス,0.655
藤原　恭大,ロッテ,0.675
磯村　嘉孝,広島,0.616
佐野　皓大,オリックス,0.665
柘植　世那,西武,0.546
中島　宏之,巨人,0.589
大城　滉二,オリックス,0.724
杉谷　拳士,日本ハム,0.65
古川　裕大,日本ハム,0.601
神里　和毅,DeNA,0.599
川瀬　晃,ソフトバンク,0.619
松田　宣浩,ソフトバンク,0.607
佐藤　龍世,日本ハム,0.707
伊藤　光,DeNA,0.616
マルテ,阪神,0.671
木浪　聖也,阪神,0.593
木村　文紀,日本ハム,0.66
太田　椋,オリックス,0.7
上林　誠知,ソフトバンク,0.664
羽月　隆太郎,広島,0.623
武藤　敦貴,楽天,0.637
宇草　孔基,広島,0.682
丸山　和郁,ヤクルト,0.601
Ｔ－岡田,オリックス,0.583
若林　楽人,西武,0.613
山田　遥楓,西武,0.625
菅野　剛士,ロッテ,0.634
小林　誠司,巨人,0.56
滝澤　夏央,西武,0.622
若林　晃弘,巨人,0.63
平沼　翔太,西武,0.638
キブレハン,ヤクルト,0.638
平田　良介,中日,0.639
岸　潤一郎,西武,0.566
原口　文仁,阪神,0.727
藤岡　裕大,ロッテ,0.67
正木　智也,ソフトバンク,0.671
末包　昇大,広島,0.671
矢野　雅哉,広島,0.621
小川　龍成,ロッテ,0.565
古賀　優大,ヤクルト,0.65
大盛　穂,広島,0.633
松原　聖弥,巨人,0.593
谷川原　健太,ソフトバンク,0.578
陽川　尚将,阪神,0.68
野村　大樹,ソフトバンク,0.69
石橋　康太,中日,0.637
石垣　雅海,中日,0.627
ギッテンス,楽天,0.642
小幡　竜平,阪神,0.624
古賀　悠斗,西武,0.62
ラベロ,オリックス,0.633
黒川　史陽,楽天,0.67
田中　和基,楽天,0.636
ロドリゲス,阪神,0.574
リチャード,ソフトバンク,0.59
長谷川　信哉,西武,0.609
清水　優心,日本ハム,0.606
レビーラ,中日,0.646
川端　慎吾,ヤクルト,0.64
ウィーラー,巨人,0.621
渡邉　諒,日本ハム,0.634
郡　拓也,日本ハム,0.577
三好　大倫,中日,0.643
廣岡　大志,巨人,0.6
後藤　駿太,中日,0.615
中村　奨成,広島,0.524
立岡　宗一郎,巨人,0.576
髙山　俊,阪神,0.68
北村　拓己,巨人,0.636
倉本　寿彦,DeNA,0.648
熊谷　敬宥,阪神,0.637
石川　亮,日本ハム,0.647
山足　達也,オリックス,0.588
梅林　優貴,日本ハム,0.575
八百板　卓丸,巨人,0.662
郡司　裕也,中日,0.65
北條　史也,阪神,0.68
福田　秀平,ロッテ,0.593
細川　凌平,日本ハム,0.617
坂口　智隆,ヤクルト,0.657
西村　凌,オリックス,0.681
根尾　昂,中日,0.645
長坂　拳弥,阪神,0.607
田中　広輔,広島,0.613
小野寺　暖,阪神,0.582
増田　珠,ソフトバンク,0.675
奥村　展征,ヤクルト,0.632
水野　達稀,日本ハム,0.614
高木　渉,西武,0.625
海野　隆司,ソフトバンク,0.553
藤田　一也,DeNA,0.617
宮本　秀明,DeNA,0.651
オースティン,DeNA,0.798
岸田　行倫,巨人,0.637
香月　一也,巨人,0.654
湯浅　大,巨人,0.656
渡邉　陸,ソフトバンク,0.695
佐藤　直樹,ソフトバンク,0.577
山野辺　翔,西武,0.663
明石　健志,ソフトバンク,0.635
石岡　諒太,オリックス,0.697
三木　亮,ロッテ,0.672
宜保　翔,オリックス,0.591
和田　康士朗,ロッテ,0.64
石川　慎吾,巨人,0.658
山本　祐大,DeNA,0.684
王　柏融,日本ハム,0.594
平沢　大河,ロッテ,0.696
牧野　翔矢,西武,0.635
加藤　翔平,中日,0.608
上野　響平,日本ハム,0.651
西川　愛也,西武,0.615
福留　孝介,中日,0.599
中谷　将大,ソフトバンク,0.682
和田　恋,楽天,0.675
真砂　勇介,ソフトバンク,0.679
福田　永将,中日,0.631
荒木　貴裕,ヤクルト,0.573
元山　飛優,ヤクルト,0.532
伊藤　康祐,中日,0.649
来田　涼斗,オリックス,0.596
髙寺　望夢,阪神,0.64
小田　裕也,オリックス,0.618
川島　慶三,楽天,0.641
オコエ　瑠偉,楽天,0.63
山下　斐紹,中日,0.666
片岡　奨人,日本ハム,0.672
柿沼　友哉,ロッテ,0.637
並木　秀尊,ヤクルト,0.623
福田　光輝,ロッテ,0.615
小郷　裕哉,楽天,0.698
増田　大輝,巨人,0.626
岡田　悠希,巨人,0.624
池田　来翔,ロッテ,0.662
田宮　裕涼,日本ハム,0.684
大野　奨太,中日,0.614
細川　成也,DeNA,0.781
松本　直樹,ヤクルト,0.57
池田　陵真,オリックス,0.597
栗原　陵矢,ソフトバンク,0.783
田中　俊太,DeNA,0.669
田中　貴也,楽天,0.604
渡部　遼人,オリックス,0.657
松本　友,ヤクルト,0.694
堂上　直倫,中日,0.612
髙濱　祐仁,日本ハム,0.654
武岡　龍世,ヤクルト,0.714
渡邉　大樹,ヤクルト,0.664
村林　一輝,楽天,0.607
内川　聖一,ヤクルト,0.648
石原　貴規,広島,0.606
五十幡　亮汰,日本ハム,0.64
黒瀬　健太,ソフトバンク,0.619
西浦　直亨,ヤクルト,0.595
梶原　昂希,DeNA,0.686
植田　海,阪神,0.611
髙松　渡,中日,0.629
熊代　聖人,西武,0.643
知野　直人,DeNA,0.676
内田　靖人,楽天,0.642
髙田　知季,ソフトバンク,0.656
西田　明央,ヤクルト,0.556
伊藤　裕季也,DeNA,0.631
山下　幸輝,DeNA,0.648
赤羽　由紘,ヤクルト,0.699
韮澤　雄也,広島,0.616
安田　悠馬,楽天,0.638
山瀬　慎之助,巨人,0.588
加藤　匠馬,ロッテ,0.526
滝野　要,中日,0.686
大下　誠一郎,オリックス,0.628
板山　祐太郎,阪神,0.598
喜多　隆介,巨人,0.662
渡辺　勝,中日,0.685
桂　依央利,中日,0.676
元　謙太,オリックス,0.604
豊田　寛,阪神,0.665
ガルシア,中日,0.636
福永　奨,オリックス,0.57
川野　涼多,西武,0.657
曽根　海成,広島,0.663
戸川　大輔,西武,0.669
宮田　輝星,日本ハム,0.671
有薗　直輝,日本ハム,0.601
岩見　政暉,楽天,0.695
持丸　泰輝,広島,0.654
白濱　裕太,広島,0.636
阪口　樂,日本ハム,0.644
江越　大賀,阪神,0.625
田部　隼人,DeNA,0.652
田村　龍弘,ロッテ,0.6
井上　広大,阪神,0.736
ワカマツ,中日,0.646
福元　悠真,中日,0.676
中山　誠吾,西武,0.664
三好　匠,広島,0.676
嶋　基宏,ヤクルト,0.637
佐野　如一,オリックス,0.669
山本　大斗,ロッテ,0.603
片山　雄哉,阪神,0.675
益子　京右,DeNA,0.638
松井　雅人,オリックス,0.638
堀内　謙伍,楽天,0.597
西巻　賢二,ロッテ,0.607
榮枝　裕貴,阪神,0.536
川原田　純平,ソフトバンク,0.618
中熊　大智,西武,0.672
石原　彪,楽天,0.639
岡田　雅利,西武,0.755
齊藤　誠人,西武,0.665
ノイジー,阪神,0.694
マキノン,西武,0.705
マルティネス,日本ハム,0.792
秋広　優人,巨人,0.655
デビッドソン,広島,0.618
森下　翔太,阪神,0.819
門脇　誠,巨人,0.603
茶野　篤政,オリックス,0.661
フランコ,楽天,0.687
福永　裕基,中日,0.672
ゴンザレス,オリックス,0.611
龍空,中日,0.575
村松　開人,中日,0.613
ブリンソン,巨人,0.671
梶谷　隆幸,巨人,0.765
ペイトン,西武,0.655
蛭間　拓哉,西武,0.606
加藤　豪将,日本ハム,0.615
友杉　篤輝,ロッテ,0.63
渡部　健人,西武,0.597
奈良間　大己,日本ハム,0.536
セデーニョ,オリックス,0.785
カリステ,中日,0.628
林　琢真,DeNA,0.612
ブロッソー,ロッテ,0.68
ミエセス,阪神,0.607
児玉　亮涼,西武,0.649
矢澤　宏太,日本ハム,0.591
前川　右京,阪神,0.716
ハンソン,日本ハム,0.661
シュウィンデル,オリックス,0.709
ブライト　健太,中日,0.673
アキーノ,中日,0.655
林　晃汰,広島,0.625
古市　尊,西武,0.613
アルモンテ,中日,0.646
アストゥディーヨ,ソフトバンク,0.63
浅野　翔吾,巨人,0.684
井上　朋也,ソフトバンク,0.625
澤井　廉,ヤクルト,0.754
中村　貴浩,広島,0.61
北村　恵吾,ヤクルト,0.716
田村　俊介,広島,0.55
生海,ソフトバンク,0.631
萩尾　匡也,巨人,0.577
山村　崇嘉,西武,0.639
江村　直也,ロッテ,0.661
ホーキンス,ソフトバンク,0.655
アンバギー,DeNA,0.667
味谷　大誠,中日,0.644
菊田　拡和,巨人,0.647
平野　大和,オリックス,0.66
杉澤　龍,オリックス,0.585
樋口　正修,中日,0.63
植田　将太,ロッテ,0.65
山浅　龍之介,中日,0.598
大里　昂生,オリックス,0.631
正隨　優弥,楽天,0.682
西村　瑠伊斗,ヤクルト,0.617
吉田　賢吾,ソフトバンク,0.595
レイエス,日本ハム,0.854
水谷　瞬,日本ハム,0.751
田中　幹也,中日,0.616
度会　隆輝,DeNA,0.67
ヘルナンデス,巨人,0.799
泉口　友汰,巨人,0.649
筒香　嘉智,DeNA,0.761
モンテス,巨人,0.672
佐々木　俊輔,巨人,0.585
川村　友斗,ソフトバンク,0.657
岩田　幸宏,ヤクルト,0.63
中島　大輔,楽天,0.577
アギラー,西武,0.595
二俣　翔一,広島,0.676
廣瀨　隆太,ソフトバンク,0.579
ディカーソン,中日,0.664
奥村　光一,西武,0.61
石上　泰輝,DeNA,0.658
コルデロ,西武,0.597
上田　希由翔,ロッテ,0.648
スティーブンソン,日本ハム,0.608
緒方　理貢,ソフトバンク,0.647
野口　恭佑,阪神,0.596
井上　絢登,DeNA,0.587
松尾　汐恩,DeNA,0.573
石塚　綜一郎,ソフトバンク,0.809
横山　聖哉,オリックス,0.606
シャイナー,広島,0.767
ダウンズ,ソフトバンク,0.724
平良　竜哉,楽天,0.639
フォード,DeNA,0.702
内藤　鵬,オリックス,0.628
笹川　吉康,ソフトバンク,0.699
辻本　倫太郎,中日,0.623
久保　修,広島,0.646
トーマス,オリックス,0.683
ブランドン,西武,0.621
佐藤　啓介,広島,0.619
仲田　慶介,ソフトバンク,0.618
入江　大樹,楽天,0.658
村田　怜音,西武,0.623
尾田　剛樹,中日,0.659
ウレーニャ,巨人,0.635
寺地　隆成,ロッテ,0.601
宮崎　一樹,日本ハム,0.625
レイノルズ,広島,0.649
小森　航大郎,ヤクルト,0.631
鈴木　叶,ヤクルト,0.679
仲田　侑仁,広島,0.553
進藤　勇也,日本ハム,0.637
辰見　鴻之介,楽天,0.643
内田　湘大,広島,0.63
東妻　純平,DeNA,0.762
伊藤　琉偉,ヤクルト,0.647
橋本　星哉,ヤクルト,0.655
