year,league,team,G,pred_RS,pred_RA,pred_WPCT,pred_W
2018,PL,ロッテ,143,501.1103159552692,587.7256962692084,0.4318697674587414,61.8
2018,CL,巨人,143,542.2431522825075,524.57809654977,0.5142378389883595,73.5
2018,CL,広島,143,631.0231763544447,511.3778353596334,0.5894282399980423,84.3
2018,PL,西武,143,597.2340519399821,574.9322379885209,0.5163586248797823,73.8
2018,CL,ヤクルト,143,551.422041273847,622.6021540350215,0.44798376497623593,64.1
2018,PL,オリックス,143,549.386847707203,578.0950175082731,0.4781117712750785,68.4
2018,PL,楽天,143,532.78404184749,551.8442541741864,0.48489023493070305,69.3
2018,CL,阪神,143,556.1490461462917,554.5649204380776,0.5012265500759273,71.7
2018,PL,ソフトバンク,143,617.1059812115583,531.1365773209143,0.564153711521501,80.7
2018,CL,DeNA,143,577.497020852892,572.7703653430355,0.5035338556765254,72.0
2018,PL,日本ハム,143,554.4122473312118,549.5491980083077,0.503788329255338,72.0
2018,CL,中日,143,519.2987437639687,570.4903136717193,0.4596606180167186,65.7
2019,PL,ロッテ,143,525.2377859274596,606.3707728540828,0.4385468353041242,62.7
2019,CL,巨人,143,601.258147750701,551.7777533470373,0.5368609845831216,76.8
2019,CL,広島,143,672.625839028945,564.2828664214433,0.5749532845255583,82.2
2019,PL,西武,143,635.0008985652154,596.0287829933035,0.5272082017848813,75.4
2019,CL,ヤクルト,143,591.1080922926868,633.1713758910153,0.47047523197177354,67.3
2019,PL,オリックス,143,533.1759414826639,589.8249247614224,0.4566898657158462,65.3
2019,PL,楽天,143,545.6786951222718,568.1279830912661,0.48267089856554296,69.0
2019,CL,阪神,143,579.3702626029594,587.6357200905903,0.4939091480435339,70.6
2019,PL,ソフトバンク,143,609.5927110135235,571.45049103303,0.5277551141127856,75.5
2019,CL,DeNA,143,612.0588027047629,594.4048063235762,0.5125824889153702,73.3
2019,PL,日本ハム,143,587.6311066997548,572.3780570345087,0.5113069299038066,73.1
2019,CL,中日,143,554.9283834757229,612.2131328253912,0.45785642119521575,65.5
2020,PL,ロッテ,120,563.763276247545,621.6843161942262,0.45804574254017605,55.0
2020,CL,巨人,120,650.8390085480693,580.7193729496881,0.5488612781458753,65.9
2020,CL,広島,120,625.12238134441,574.7675364752724,0.5360494988975145,64.3
2020,PL,西武,120,643.4106640616365,611.9511355841802,0.5215428786173856,62.6
2020,CL,ヤクルト,120,608.7720931896332,644.2172129142408,0.4756846397597367,57.1
2020,PL,オリックス,120,551.1978966675231,597.7683338749173,0.46517942572160087,55.8
2020,PL,楽天,120,620.6932277242629,576.597878745145,0.5316451431594038,63.8
2020,CL,阪神,120,582.8462579898619,588.5466522157467,0.49581501372703046,59.5
2020,PL,ソフトバンク,120,594.0020259194683,588.872774340504,0.5037291370244341,60.4
2020,CL,DeNA,120,598.1159798100745,597.7086261211995,0.5002929561276441,60.0
2020,PL,日本ハム,120,590.356735021252,580.6876429362757,0.5071005414397316,60.9
2020,CL,中日,120,561.5471201429298,627.1451843152719,0.4526350255858641,54.3
2021,PL,ロッテ,143,539.2099926484059,581.8492898865436,0.4673209120431062,66.8
2021,CL,巨人,143,623.3280870063078,550.3497631096641,0.5533394340958149,79.1
2021,CL,広島,143,596.2719888014664,556.0982440245972,0.5299574113932402,75.8
2021,PL,西武,143,605.9357061239589,606.5723486937761,0.4995484462892176,71.4
2021,CL,ヤクルト,143,565.9779562627693,617.9061956395707,0.4623254855323092,66.1
2021,PL,オリックス,143,515.3921226944582,572.6678864317604,0.454811133044479,65.0
2021,PL,楽天,143,612.8202138179038,584.2359601960993,0.5205281184800892,74.4
2021,CL,阪神,143,563.6580652273736,558.8854685187163,0.5036563256694471,72.0
2021,PL,ソフトバンク,143,557.6114943032253,542.9216773374478,0.5114778670298781,73.1
2021,CL,DeNA,143,590.6385187328302,570.051834904944,0.5152503317197203,73.7
2021,PL,日本ハム,143,565.9619924527165,564.631729944154,0.5010118795998987,71.6
2021,CL,中日,143,542.8605285952493,573.4962679793933,0.4764109565883305,68.1
2022,PL,ロッテ,143,524.1983235085671,564.8519913090995,0.4679258380874835,66.9
2022,CL,巨人,143,591.110837438789,544.8777086395979,0.5349629757429049,76.5
2022,CL,広島,143,581.8143342165705,539.9294974337585,0.5320823714627101,76.1
2022,PL,西武,143,548.797182628917,584.1451881625497,0.47318488680081566,67.7
2022,CL,ヤクルト,143,569.8224799744887,580.6033483230278,0.49194123162458825,70.3
2022,PL,オリックス,143,523.6849457113884,531.883300934947,0.49332084127976106,70.5
2022,PL,楽天,143,559.5579318862609,556.2672082845338,0.5025362452661548,71.9
2022,CL,阪神,143,547.8502045018906,521.149060670138,0.5214720773477335,74.6
2022,PL,ソフトバンク,143,516.6127726218766,529.2566359961367,0.4896041656247456,70.0
2022,CL,DeNA,143,589.2042474504907,561.9788254241204,0.5203315331115338,74.4
2022,PL,日本ハム,143,513.8879280361289,524.6399867184441,0.4910968945978748,70.2
2022,CL,中日,143,491.79214535796626,518.7505814369807,0.4770682743535689,68.2
2023,PL,ロッテ,143,483.67693810987015,529.2073513775956,0.46139285858145596,66.0
2023,CL,巨人,143,563.1987318363684,519.3956778050937,0.5347594683648894,76.5
2023,CL,広島,143,554.6990726800763,534.5936546481919,0.5158697607642035,73.8
2023,PL,西武,143,477.2345638864378,518.002992774795,0.46480992869570986,66.5
2023,CL,ヤクルト,143,573.8223073281243,527.5155575600068,0.5361177931301482,76.7
2023,PL,オリックス,143,513.8844469873562,487.5578524872986,0.5225980678537104,74.7
