ERA,WHIP,W,L,SV,SO,BB,HBP,HRA,BF,player,team,IP,target_year,age,data_years
2.39,1.0,7.3,5.0,1.4,108.0,27.7,5.4,3.8,414.0,佐々木　朗希,ロッテ,102.4,2026,24,2
2.43,1.09,2.8,2.0,1.0,46.0,15.9,2.1,2.3,223.2,桐敷　拓馬,阪神,54.6,2026,26,2
2.53,1.06,4.8,4.3,1.3,67.3,20.9,2.5,6.0,357.4,金村　尚真,日本ハム,88.4,2026,25,2
2.2,1.09,9.8,5.3,1.6,120.5,39.5,2.5,7.0,594.3,才木　浩人,阪神,146.7,2026,27,2
2.81,1.2,2.1,2.9,6.6,32.7,11.5,1.2,2.4,164.5,田口　麗斗,ヤクルト,40.0,2026,30,2
3.1,1.21,0.5,0.5,0.3,7.5,2.9,0.3,0.7,42.0,高田　孝一,楽天,10.0,2026,27,2
3.39,1.25,0.9,0.9,0.4,13.3,4.8,0.8,1.0,74.3,津留﨑　大成,楽天,17.7,2026,28,2
2.98,1.22,0.7,0.7,0.8,11.0,4.5,0.5,0.9,57.9,クリスキー,西武,14.0,2026,32,1
2.95,1.26,1.6,1.4,1.1,22.1,9.0,0.9,1.7,115.0,森脇　亮介,西武,27.7,2026,33,1
2.7,1.14,0.9,0.9,0.5,17.4,6.3,0.9,1.4,89.3,石川　達也,DeNA,21.7,2026,27,2
2.4,1.08,12.8,5.5,1.7,137.6,31.9,4.7,12.0,714.8,東　克樹,DeNA,178.4,2026,30,2
2.88,1.21,2.5,2.1,1.0,36.5,14.7,1.4,2.3,185.1,勝野　昌慶,中日,44.6,2026,28,2
2.65,1.1,3.5,2.7,1.0,41.7,14.9,3.5,3.2,230.4,東　晃平,オリックス,56.0,2026,26,2
3.06,1.25,2.1,2.5,0.8,31.7,13.8,1.7,2.7,164.6,メンデス,巨人,39.8,2026,35,2
2.68,1.17,1.2,1.3,1.5,21.8,8.1,0.7,1.6,107.8,山﨑　颯一郎,オリックス,26.1,2026,27,2
3.28,1.25,1.2,1.7,2.0,20.0,7.1,0.8,1.9,106.6,中川　皓太,巨人,25.6,2026,32,2
2.92,1.28,2.5,2.3,0.8,31.7,13.7,1.7,2.7,171.0,上茶谷　大河,DeNA,40.4,2026,29,2
3.19,1.26,1.1,1.3,0.6,17.4,8.6,0.8,1.4,100.7,水上　由伸,西武,23.9,2026,27,2
2.59,1.19,1.7,1.8,1.6,29.1,10.2,1.0,2.0,154.3,ペルドモ,オリックス,37.7,2026,32,2
3.19,1.25,1.3,1.4,0.7,21.4,7.8,1.1,1.5,113.5,生田目　翼,日本ハム,27.4,2026,31,2
2.62,1.24,10.2,8.3,1.6,103.3,42.4,5.0,10.6,670.1,床田　寛樹,広島,162.3,2026,31,2
2.66,1.11,1.7,1.3,0.6,22.2,7.7,0.8,1.8,116.1,小木田　敦也,オリックス,28.6,2026,27,2
3.25,1.34,2.7,2.2,1.1,35.8,14.0,1.7,2.7,185.6,アンダーソン,広島,45.0,2026,44,1
2.75,1.15,4.0,3.0,1.0,53.4,18.6,2.7,3.9,251.4,ビーズリー,阪神,61.4,2026,30,2
2.92,1.22,5.1,8.1,1.4,87.0,33.7,5.5,6.7,472.1,髙橋　光成,西武,112.9,2026,29,2
3.81,1.34,3.2,4.0,1.1,43.9,19.7,2.7,4.5,259.4,メヒア,中日,62.2,2026,40,2
2.7,1.13,1.8,1.9,0.7,26.6,10.2,1.1,2.0,133.5,及川　雅貴,阪神,32.3,2026,24,2
3.18,1.25,1.8,1.8,0.7,25.3,10.3,1.7,2.2,145.6,又吉　克樹,ソフトバンク,35.2,2026,35,2
3.23,1.36,0.6,0.5,0.3,8.1,3.1,0.4,0.7,44.2,比嘉　幹貴,オリックス,10.7,2026,43,2
2.74,1.15,0.8,0.8,0.5,12.5,4.5,0.7,1.2,64.1,菊地　吏玖,ロッテ,15.4,2026,25,2
2.75,1.15,9.9,5.9,1.5,95.2,30.6,3.1,8.8,563.5,大竹　耕太郎,阪神,139.1,2026,30,2
2.28,0.99,8.1,7.2,1.6,124.3,32.1,4.4,7.8,577.6,宮城　大弥,オリックス,143.8,2026,24,2
2.91,1.12,4.9,5.1,1.3,54.1,24.5,2.7,6.1,360.4,内　星龍,楽天,87.0,2026,23,2
2.89,1.26,6.1,3.8,1.3,60.1,25.0,3.6,5.3,363.5,藤井　聖,楽天,87.1,2026,29,2
2.5,1.14,9.4,7.3,1.6,148.0,59.1,6.1,9.5,639.5,今井　達也,西武,156.0,2026,27,2
2.79,1.19,1.8,1.7,1.3,37.3,13.5,1.5,2.6,179.5,山岡　泰輔,オリックス,43.3,2026,30,2
2.67,1.12,10.9,6.9,1.6,114.1,37.0,6.9,11.5,629.8,有原　航平,ソフトバンク,156.1,2026,33,2
2.8,1.2,4.8,3.7,1.3,49.5,19.1,1.7,3.1,235.5,島内　颯太郎,広島,56.6,2026,29,2
3.03,1.19,1.7,1.3,0.6,21.6,8.5,1.1,1.5,122.0,中村　稔弥,ロッテ,29.4,2026,29,2
2.88,1.21,2.5,3.2,10.0,43.6,14.0,1.7,3.0,216.1,森原　康平,DeNA,52.4,2026,34,2
2.63,1.18,3.0,2.5,1.2,48.9,19.4,2.6,3.0,219.3,藤井　皓哉,ソフトバンク,52.7,2026,29,2
2.31,1.02,11.2,7.6,1.7,145.4,45.2,5.7,12.3,703.6,戸郷　翔征,巨人,175.7,2026,25,2
2.78,1.18,0.9,0.8,0.4,12.9,5.2,1.0,1.0,69.9,田浦　文丸,ソフトバンク,16.7,2026,26,2
3.05,1.24,0.6,0.6,0.3,9.1,3.5,0.4,0.7,47.2,ブルワー,阪神,11.3,2026,33,1
3.14,1.17,6.2,5.3,1.4,68.6,24.0,3.3,6.5,432.5,伊藤　将司,阪神,105.1,2026,29,2
2.48,1.16,5.7,4.5,1.3,81.3,31.6,4.2,5.3,381.3,平良　海馬,西武,92.1,2026,26,2
2.78,1.15,4.3,2.5,1.1,38.6,16.7,1.4,2.5,198.9,渡辺　翔太,楽天,47.9,2026,25,2
2.81,1.1,4.7,4.3,1.3,65.5,21.3,2.3,6.9,346.9,大津　亮介,ソフトバンク,85.6,2026,27,2
3.0,1.23,4.8,6.7,1.4,72.6,31.5,2.7,6.0,437.8,柳　裕也,中日,106.1,2026,31,2
2.93,1.2,0.6,0.5,0.3,7.9,3.0,0.3,0.6,40.6,馬場　皐輔,巨人,9.8,2026,30,2
3.0,1.25,1.2,1.2,0.6,16.4,6.7,0.8,1.3,90.1,マーベル,日本ハム,21.7,2026,32,1
2.6,1.14,1.9,1.9,0.8,29.7,13.0,1.3,2.0,158.3,佐藤　隼輔,西武,38.3,2026,26,2
3.05,1.19,7.7,8.8,1.6,112.2,40.1,6.2,10.0,611.0,九里　亜蓮,広島,150.0,2026,34,2
2.14,1.06,9.1,7.3,1.6,127.6,41.9,5.8,5.4,594.5,髙橋　宏斗,中日,144.7,2026,23,2
2.89,1.19,1.5,1.6,0.8,23.1,9.2,1.2,1.9,119.4,甲斐野　央,西武,28.8,2026,29,2
2.89,1.17,1.1,1.4,0.5,18.2,6.7,0.8,1.5,92.8,中川　虎大,DeNA,22.3,2026,26,2
3.11,1.3,1.6,1.5,0.6,20.5,9.1,0.9,1.8,118.2,平井　克典,西武,28.2,2026,34,2
2.7,1.19,2.0,1.3,0.9,26.7,11.0,1.2,2.0,137.2,山本　大貴,ヤクルト,33.2,2026,30,2
2.95,1.23,0.7,0.7,0.4,11.0,4.8,0.5,0.8,59.0,福　敬登,中日,14.2,2026,33,2
3.15,1.28,1.3,1.5,0.6,18.7,7.5,1.0,1.4,97.7,加治屋　蓮,阪神,23.4,2026,34,2
3.09,1.27,5.2,5.5,11.0,73.7,26.7,2.8,5.1,399.4,則本　昂大,楽天,96.1,2026,35,2
2.84,1.18,2.5,2.4,0.8,25.9,12.4,1.6,2.7,169.5,鈴木　健矢,日本ハム,41.0,2026,28,2
3.03,1.27,1.7,2.0,1.2,28.0,10.5,1.6,2.5,157.1,玉井　大翔,日本ハム,37.7,2026,33,1
