player,team,IP,marcel_ERA,stan_ERA,bayes_ERA,bayes_ERA_lo80,bayes_ERA_hi80,bayes_ERA_lo95,bayes_ERA_hi95,stan_delta,method
フェリス,中日,16.0,3.33,,3.33,,,,,,marcel_only
メネズ,日本ハム,25.7,3.05,,3.05,,,,,,marcel_only
鍵谷　陽平,日本ハム,5.2,3.18,,3.18,,,,,,marcel_only
坂本　光士郎,ロッテ,25.3,3.61,,3.61,,,,,,marcel_only
ピーターズ,ヤクルト,100.7,3.2,,3.2,,,,,,marcel_only
伊勢　大夢,DeNA,45.4,3.05,2.92,3.02,0.73,5.0,0.0,6.17,-0.1282,bma_jpn
和田　毅,ソフトバンク,57.9,3.66,,3.66,,,,,,marcel_only
吉田　凌,ロッテ,13.8,3.2,,3.2,,,,,,marcel_only
アドゥワ　誠,広島,47.5,3.18,3.19,3.4,1.0,5.27,0.0,6.44,0.0144,bma_jpn
山﨑　福也,日本ハム,128.1,3.02,3.48,3.37,1.29,5.56,0.17,6.73,0.458,bma_jpn
松井　颯,巨人,9.0,2.99,,2.99,,,,,,marcel_only
伊藤　茉央,中日,12.1,2.89,3.45,2.93,1.27,5.53,0.14,6.7,0.5648,bma_jpn
松葉　貴大,中日,106.2,3.11,3.67,3.52,1.49,5.75,0.36,6.92,0.5645,bma_jpn
鈴木　翔天,楽天,44.6,2.69,2.45,2.62,0.26,4.53,0.0,5.7,-0.2407,bma_jpn
阪口　皓亮,ヤクルト,17.0,3.35,3.63,3.4,1.44,5.71,0.32,6.88,0.2794,bma_jpn
メルセデス,ロッテ,122.0,3.07,,3.07,,,,,,marcel_only
荘司　康誠,楽天,69.1,3.3,3.28,3.23,1.09,5.36,0.0,6.53,-0.0229,bma_jpn
菅野　智之,巨人,122.8,2.66,,2.66,,,,,,marcel_only
小川　泰弘,ヤクルト,89.3,3.71,3.93,3.81,1.74,6.01,0.62,7.18,0.2244,bma_jpn
スチュワート・ジュニア,ソフトバンク,101.7,2.61,,2.61,,,,,,marcel_only
星　知弥,ヤクルト,40.4,2.93,2.94,2.92,0.75,5.01,0.0,6.18,0.0053,bma_jpn
梅野　雄吾,中日,20.3,3.23,3.17,3.22,0.98,5.25,0.0,6.41,-0.064,bma_jpn
門別　啓人,阪神,24.6,3.18,3.19,3.31,1.0,5.27,0.0,6.44,0.0134,bma_jpn
赤星　優志,巨人,92.7,2.87,3.0,2.99,0.81,5.08,0.0,6.25,0.1337,bma_jpn
菊地　大稀,巨人,24.1,2.91,2.3,2.64,0.11,4.38,0.0,5.55,-0.6063,bma_jpn
北山　亘基,日本ハム,105.8,2.31,2.34,2.21,0.15,4.42,0.0,5.59,0.0296,bma_jpn
種市　篤暉,ロッテ,150.2,2.91,2.8,2.76,0.61,4.88,0.0,6.05,-0.1105,bma_jpn
隅田　知一郎,西武,159.1,2.79,2.76,2.73,0.57,4.84,0.0,6.01,-0.0299,bma_jpn
早川　隆久,楽天,109.4,3.08,2.97,3.0,0.78,5.05,0.0,6.22,-0.1081,bma_jpn
伊藤　大海,日本ハム,166.5,2.96,,2.96,,,,,,marcel_only
小島　和哉,ロッテ,154.4,3.46,3.68,3.54,1.49,5.76,0.37,6.93,0.2225,bma_jpn
松本　航,西武,57.1,3.51,3.53,3.55,1.34,5.61,0.22,6.78,0.0235,bma_jpn
平良　拳太郎,DeNA,47.6,2.91,2.94,2.95,0.75,5.02,0.0,6.18,0.0264,bma_jpn
田中　正義,日本ハム,48.0,2.63,2.57,2.55,0.38,4.65,0.0,5.82,-0.0611,bma_jpn
津森　宥紀,ソフトバンク,35.2,2.94,2.07,2.59,0.0,4.15,0.0,5.32,-0.8728,bma_jpn
中森　俊介,ロッテ,25.3,2.55,2.41,2.45,0.23,4.49,0.0,5.66,-0.1354,bma_jpn
西　勇輝,阪神,70.6,3.09,,3.09,,,,,,marcel_only
祖父江　大輔,中日,26.9,3.5,4.11,3.69,1.92,6.19,0.8,7.36,0.6132,bma_jpn
小笠原　慎之介,中日,151.3,3.18,,3.18,,,,,,marcel_only
大西　広樹,ヤクルト,53.0,2.4,2.5,2.42,0.31,4.58,0.0,5.75,0.0997,bma_jpn
本前　郁也,ロッテ,5.0,2.99,,2.99,,,,,,marcel_only
大瀬良　大地,広島,140.2,3.08,3.32,3.31,1.13,5.4,0.01,6.57,0.239,bma_jpn
ポンセ,楽天,60.4,4.16,,4.16,,,,,,marcel_only
サイスニード,ヤクルト,126.4,3.99,,3.99,,,,,,marcel_only
與座　海人,西武,67.9,3.11,3.54,3.42,1.35,5.62,0.23,6.79,0.4333,bma_jpn
益田　直也,ロッテ,35.8,3.41,3.49,3.35,1.3,5.57,0.18,6.74,0.0775,bma_jpn
ケムナ　誠,広島,14.3,3.08,,3.08,,,,,,marcel_only
今野　龍太,楽天,27.5,3.17,3.55,3.41,1.36,5.62,0.23,6.79,0.3757,bma_jpn
今村　信貴,巨人,15.7,3.15,,3.15,,,,,,marcel_only
瀧中　瞭太,楽天,69.2,3.51,3.69,3.76,1.51,5.77,0.38,6.94,0.1846,bma_jpn
西　純矢,阪神,34.8,3.06,,3.06,,,,,,marcel_only
曽谷　龍平,オリックス,95.5,3.08,2.93,3.03,0.74,5.0,0.0,6.17,-0.1549,bma_jpn
松井　友飛,楽天,23.5,3.79,3.33,3.54,1.14,5.41,0.02,6.58,-0.4579,bma_jpn
椎野　新,ソフトバンク,16.3,3.1,,3.1,,,,,,marcel_only
宮城　滝太,DeNA,26.3,2.77,2.88,2.95,0.69,4.96,0.0,6.13,0.1071,bma_jpn
直江　大輔,巨人,14.0,2.94,,2.94,,,,,,marcel_only
武田　翔太,ソフトバンク,46.0,3.27,,3.27,,,,,,marcel_only
横川　凱,巨人,58.1,2.79,3.04,3.07,0.85,5.12,0.0,6.29,0.2518,bma_jpn
平内　龍太,巨人,21.1,3.11,3.34,3.32,1.15,5.42,0.03,6.59,0.2283,bma_jpn
石田　健大,DeNA,68.9,3.5,,3.5,,,,,,marcel_only
涌井　秀章,中日,82.5,3.79,4.12,3.9,1.93,6.2,0.81,7.37,0.3284,bma_jpn
石川　雅規,ヤクルト,39.8,4.67,5.14,4.82,2.96,7.22,1.83,8.39,0.4747,bma_jpn
ビーディ,巨人,49.7,3.3,,3.3,,,,,,marcel_only
尾形　崇斗,ソフトバンク,22.8,3.26,2.68,2.88,0.49,4.76,0.0,5.93,-0.579,bma_jpn
丸山　翔大,ヤクルト,21.1,2.99,,2.99,,,,,,marcel_only
ロペス,巨人,6.7,3.44,,3.44,,,,,,marcel_only
鈴木　博志,オリックス,32.9,3.09,,3.09,,,,,,marcel_only
ロドリゲス,日本ハム,39.9,3.03,,3.03,,,,,,marcel_only
大江　竜聖,ソフトバンク,17.4,2.85,3.17,2.99,0.98,5.25,0.0,6.42,0.324,bma_jpn
田中　豊樹,巨人,11.0,3.16,,3.16,,,,,,marcel_only
田中　健二朗,DeNA,11.0,3.28,,3.28,,,,,,marcel_only
石川　柊太,ロッテ,95.6,3.85,4.14,3.97,1.95,6.22,0.83,7.39,0.2935,bma_jpn
山野　太一,ヤクルト,56.1,3.69,3.61,3.53,1.42,5.69,0.3,6.86,-0.0821,bma_jpn
高梨　雄平,巨人,28.8,3.19,2.37,2.65,0.18,4.45,0.0,5.62,-0.8211,bma_jpn
吉村　貢司郎,ヤクルト,115.4,3.16,3.32,3.34,1.13,5.4,0.01,6.57,0.1573,bma_jpn
松本　竜也,広島,8.3,3.2,,3.2,,,,,,marcel_only
山﨑　康晃,DeNA,30.1,3.48,3.56,3.49,1.37,5.63,0.24,6.8,0.0757,bma_jpn
遠藤　淳志,広島,17.4,3.38,2.59,3.08,0.4,4.67,0.0,5.84,-0.7861,bma_jpn
石山　泰稚,ヤクルト,42.5,3.5,3.83,3.53,1.64,5.91,0.52,7.08,0.3303,bma_jpn
湯浅　京己,阪神,27.7,2.89,3.17,3.01,0.98,5.25,0.0,6.42,0.2838,bma_jpn
藤平　尚真,楽天,53.0,2.72,2.68,2.68,0.49,4.76,0.0,5.93,-0.0365,bma_jpn
ガゼルマン,DeNA,64.7,3.46,,3.46,,,,,,marcel_only
濵口　遥大,DeNA,59.2,3.42,,3.42,,,,,,marcel_only
大勢,巨人,45.0,2.49,2.37,2.36,0.18,4.45,0.0,5.62,-0.1214,bma_jpn
上田　洸太朗,中日,20.0,2.95,,2.95,,,,,,marcel_only
富田　蓮,阪神,25.6,2.61,2.96,2.8,0.77,5.04,0.0,6.21,0.353,bma_jpn
古川　侑利,ソフトバンク,10.0,3.11,,3.11,,,,,,marcel_only
笠原　祥太郎,DeNA,6.0,3.11,,3.11,,,,,,marcel_only
東浜　巨,ソフトバンク,57.1,3.56,3.9,3.8,1.71,5.98,0.59,7.15,0.3401,bma_jpn
森　翔平,広島,76.8,3.34,3.4,3.56,1.21,5.48,0.09,6.65,0.0624,bma_jpn
エスコバー,DeNA,31.7,3.35,,3.35,,,,,,marcel_only
辛島　航,楽天,23.0,3.81,,3.81,,,,,,marcel_only
西口　直人,楽天,40.5,2.59,2.52,2.44,0.33,4.6,0.0,5.77,-0.0722,bma_jpn
青柳　晃洋,ヤクルト,51.0,3.93,3.71,3.93,1.52,5.79,0.4,6.96,-0.2202,bma_jpn
高橋　奎二,ヤクルト,81.5,3.36,3.31,3.41,1.12,5.38,0.0,6.55,-0.0543,bma_jpn
森　唯斗,DeNA,20.6,4.05,,4.05,,,,,,marcel_only
三上　朋也,巨人,15.7,3.34,,3.34,,,,,,marcel_only
砂田　毅樹,中日,13.7,3.14,,3.14,,,,,,marcel_only
戸根　千明,広島,21.3,3.29,,3.29,,,,,,marcel_only
小野　郁,ロッテ,20.8,2.96,2.74,2.89,0.55,4.82,0.0,5.99,-0.2221,bma_jpn
高梨　裕稔,ヤクルト,62.3,3.48,3.58,3.61,1.39,5.66,0.27,6.83,0.0972,bma_jpn
美馬　学,ロッテ,29.2,4.17,,4.17,,,,,,marcel_only
三嶋　一輝,DeNA,10.7,3.83,,3.83,,,,,,marcel_only
田島　慎二,中日,12.9,3.69,,3.69,,,,,,marcel_only
田中　将大,巨人,55.2,4.38,4.44,4.33,2.25,6.52,1.13,7.69,0.0621,bma_jpn
澤村　拓一,ロッテ,27.6,3.62,3.9,3.62,1.71,5.98,0.59,7.15,0.2829,bma_jpn
玉村　昇悟,広島,73.5,3.26,3.21,3.27,1.02,5.29,0.0,6.45,-0.0538,bma_jpn
仲地　礼亜,中日,12.3,3.21,,3.21,,,,,,marcel_only
コルニエル,広島,27.9,3.34,,3.34,,,,,,marcel_only
近藤　大亮,オリックス,12.3,3.29,,3.29,,,,,,marcel_only
髙橋　優貴,巨人,14.0,3.15,,3.15,,,,,,marcel_only
塹江　敦哉,広島,24.1,3.09,2.09,2.58,0.0,4.17,0.0,5.34,-0.9992,bma_jpn
福谷　浩司,日本ハム,29.1,3.73,3.75,3.71,1.56,5.83,0.44,7.0,0.0216,bma_jpn
エンス,西武,54.0,3.64,,3.64,,,,,,marcel_only
尾仲　祐哉,ヤクルト,7.9,3.41,,3.41,,,,,,marcel_only
嘉弥真　新也,ヤクルト,7.6,3.68,,3.68,,,,,,marcel_only
横山　陸人,ロッテ,47.3,2.68,2.78,2.69,0.59,4.86,0.0,6.03,0.1014,bma_jpn
代木　大和,巨人,16.7,2.97,,2.97,,,,,,marcel_only
大曲　錬,西武,10.0,3.06,,3.06,,,,,,marcel_only
田中　瑛斗,巨人,24.5,2.88,3.09,3.12,0.9,5.17,0.0,6.34,0.2121,bma_jpn
井口　和朋,オリックス,14.0,3.56,,3.56,,,,,,marcel_only
エスピナル,ヤクルト,5.0,3.22,,3.22,,,,,,marcel_only
成田　翔,ヤクルト,3.3,3.02,,3.02,,,,,,marcel_only
増田　達至,西武,22.6,3.71,,3.71,,,,,,marcel_only
田中　千晴,巨人,16.3,3.15,,3.15,,,,,,marcel_only
弓削　隼人,楽天,23.2,3.69,,3.69,,,,,,marcel_only
岡野　祐一郎,中日,22.0,3.34,,3.34,,,,,,marcel_only
廣畑　敦也,ロッテ,9.7,3.26,,3.26,,,,,,marcel_only
坂本　裕哉,DeNA,36.7,3.06,2.97,3.09,0.78,5.05,0.0,6.22,-0.0902,bma_jpn
ワゲスパック,オリックス,43.7,3.61,,3.61,,,,,,marcel_only
ガンケル,ソフトバンク,17.0,3.39,,3.39,,,,,,marcel_only
浜地　真澄,DeNA,15.3,3.2,,3.2,,,,,,marcel_only
石川　直也,日本ハム,15.3,3.21,,3.21,,,,,,marcel_only
コットン,オリックス,18.3,3.41,,3.41,,,,,,marcel_only
森　遼大朗,ロッテ,33.0,3.33,,3.33,,,,,,marcel_only
小野　泰己,オリックス,6.0,3.16,,3.16,,,,,,marcel_only
立野　和明,日本ハム,6.0,3.03,,3.03,,,,,,marcel_only
久保　拓眞,ヤクルト,3.0,3.05,,3.05,,,,,,marcel_only
森浦　大輔,広島,41.5,2.62,2.5,2.64,0.31,4.58,0.0,5.75,-0.1231,bma_jpn
村西　良太,オリックス,5.6,3.19,,3.19,,,,,,marcel_only
本田　仁海,オリックス,26.6,3.3,,3.3,,,,,,marcel_only
宮内　春輝,日本ハム,16.7,3.27,,3.27,,,,,,marcel_only
黒木　優太,西武,19.4,3.49,3.6,3.4,1.42,5.68,0.29,6.85,0.1146,bma_jpn
鈴木　康平,巨人,27.3,3.54,,3.54,,,,,,marcel_only
宮國　椋丞,DeNA,4.0,3.2,,3.2,,,,,,marcel_only
唐川　侑己,ロッテ,18.3,3.27,,3.27,,,,,,marcel_only
松本　晴,ソフトバンク,45.0,2.85,2.59,2.87,0.4,4.67,0.0,5.84,-0.2597,bma_jpn
宮川　哲,ヤクルト,9.3,3.44,,3.44,,,,,,marcel_only
横山　楓,オリックス,11.6,2.82,2.92,2.81,0.73,5.0,0.0,6.17,0.1012,bma_jpn
東條　大樹,ロッテ,9.7,3.37,,3.37,,,,,,marcel_only
秋山　拓巳,阪神,9.7,3.37,,3.37,,,,,,marcel_only
宮森　智志,楽天,13.2,3.82,3.16,3.54,0.97,5.24,0.0,6.41,-0.6567,bma_jpn
堀田　賢慎,巨人,27.2,3.05,3.2,3.18,1.01,5.27,0.0,6.44,0.1451,bma_jpn
市川　悠太,ヤクルト,14.0,3.22,,3.22,,,,,,marcel_only
谷元　圭介,中日,5.3,3.53,,3.53,,,,,,marcel_only
小沼　健太,ロッテ,7.0,3.15,,3.15,,,,,,marcel_only
鍬原　拓也,巨人,5.0,3.19,,3.19,,,,,,marcel_only
張　奕,西武,5.0,3.25,,3.25,,,,,,marcel_only
堀　瑞輝,日本ハム,4.5,3.5,,3.5,,,,,,marcel_only
小孫　竜二,楽天,2.0,3.03,,3.03,,,,,,marcel_only
薮田　和樹,広島,4.0,3.25,,3.25,,,,,,marcel_only
塩見　貴洋,楽天,4.0,3.38,,3.38,,,,,,marcel_only
吉田　輝星,オリックス,24.5,3.02,,3.02,,,,,,marcel_only
北村　拓己,ヤクルト,1.0,3.12,,3.12,,,,,,marcel_only
河野　佳,広島,14.8,3.1,,3.1,,,,,,marcel_only
公文　克彦,西武,4.7,3.32,,3.32,,,,,,marcel_only
竹安　大知,オリックス,4.3,3.23,,3.23,,,,,,marcel_only
ニックス,オリックス,6.0,3.26,,3.26,,,,,,marcel_only
黒原　拓未,広島,39.5,3.0,,3.0,,,,,,marcel_only
高橋　礼,巨人,31.7,3.52,,3.52,,,,,,marcel_only
井上　温大,巨人,81.3,3.2,2.98,3.06,0.79,5.06,0.0,6.23,-0.2184,bma_jpn
福島　章太,中日,3.3,2.99,,2.99,,,,,,marcel_only
堀岡　隼人,DeNA,8.2,3.03,1.81,2.57,0.0,3.89,0.0,5.06,-1.2195,bma_jpn
長谷川　宙輝,ヤクルト,9.4,3.26,,3.26,,,,,,marcel_only
泉　圭輔,巨人,18.2,3.16,2.6,3.03,0.41,4.68,0.0,5.85,-0.562,bma_jpn
八木　彬,ロッテ,15.1,3.69,3.27,3.46,1.08,5.35,0.0,6.52,-0.4186,bma_jpn
石橋　良太,楽天,3.3,3.43,,3.43,,,,,,marcel_only
ヘルナンデス,ソフトバンク,33.0,2.98,2.9,2.87,0.71,4.98,0.0,6.15,-0.0826,bma_jpn
三浦　銀二,DeNA,1.0,3.08,,3.08,,,,,,marcel_only
近藤　廉,中日,10.6,3.15,3.0,3.22,0.81,5.08,0.0,6.24,-0.1534,bma_jpn
バニュエロス,楽天,0.7,3.46,,3.46,,,,,,marcel_only
西垣　雅矢,楽天,30.9,3.01,2.98,3.14,0.79,5.06,0.0,6.23,-0.0299,bma_jpn
長谷部　銀次,広島,6.1,3.31,,3.31,,,,,,marcel_only
前田　純,ソフトバンク,29.9,2.84,2.95,3.17,0.76,5.03,0.0,6.2,0.1131,bma_jpn
三浦　瑞樹,中日,20.6,3.18,3.05,3.19,0.86,5.13,0.0,6.3,-0.1301,bma_jpn
達　孝太,日本ハム,62.0,2.35,2.44,2.66,0.25,4.52,0.0,5.69,0.0897,bma_jpn
ディアス,DeNA,4.7,2.83,,2.83,,,,,,marcel_only
杉山　遙希,西武,3.6,3.12,,3.12,,,,,,marcel_only
髙　太一,広島,26.1,2.72,3.01,2.99,0.82,5.08,0.0,6.25,0.2857,bma_jpn
大谷　輝龍,ロッテ,1.0,2.87,,2.87,,,,,,marcel_only
高橋　昂也,広島,19.9,2.84,3.04,2.98,0.85,5.12,0.0,6.29,0.2033,bma_jpn
坂井　陽翔,楽天,3.2,2.68,,2.68,,,,,,marcel_only
日當　直喜,楽天,1.0,2.7,,2.7,,,,,,marcel_only
川原　陸,阪神,1.0,2.87,,2.87,,,,,,marcel_only
佐藤　蓮,阪神,1.0,2.93,,2.93,,,,,,marcel_only
古田島　成龍,オリックス,30.5,2.61,2.37,2.61,0.18,4.45,0.0,5.62,-0.2393,bma_jpn
伊藤　優輔,ソフトバンク,7.7,2.75,,2.75,,,,,,marcel_only
ザバラ,日本ハム,8.0,2.86,,2.86,,,,,,marcel_only
ハーン,広島,43.9,2.91,2.61,2.76,0.42,4.69,0.0,5.86,-0.3023,bma_jpn
木村　光,ソフトバンク,12.5,2.6,2.95,2.7,0.76,5.03,0.0,6.2,0.3472,bma_jpn
髙橋　遥人,阪神,37.3,2.68,2.54,2.8,0.35,4.62,0.0,5.79,-0.1388,bma_jpn
ケラー,巨人,46.6,2.84,2.98,2.97,0.79,5.06,0.0,6.23,0.1378,bma_jpn
ゲラ,阪神,28.4,2.93,,2.93,,,,,,marcel_only
杉山　一樹,ソフトバンク,58.1,2.39,1.94,2.35,0.0,4.02,0.0,5.19,-0.4508,bma_jpn
ダイクストラ,ロッテ,11.0,3.09,,3.09,,,,,,marcel_only
齋藤　友貴哉,日本ハム,37.6,2.5,2.88,2.7,0.69,4.96,0.0,6.13,0.3825,bma_jpn
田中　晴也,ロッテ,51.3,2.51,2.35,2.68,0.16,4.43,0.0,5.6,-0.1574,bma_jpn
原　樹理,ヤクルト,10.0,3.02,,3.02,,,,,,marcel_only
京山　将弥,DeNA,22.3,2.82,,2.82,,,,,,marcel_only
マチャド,オリックス,54.4,2.71,2.35,2.58,0.16,4.43,0.0,5.6,-0.3586,bma_jpn
武内　夏暉,西武,99.8,3.0,2.97,3.2,0.78,5.05,0.0,6.22,-0.0275,bma_jpn
松浦　慶斗,日本ハム,4.0,2.78,,2.78,,,,,,marcel_only
滝田　一希,広島,6.4,2.79,,2.79,,,,,,marcel_only
アブレイユ,西武,49.0,3.05,,3.05,,,,,,marcel_only
徳山　壮磨,DeNA,29.3,2.83,,2.83,,,,,,marcel_only
常廣　羽也斗,広島,19.3,3.62,3.21,3.41,1.02,5.29,0.0,6.46,-0.4081,bma_jpn
ウィック,DeNA,43.7,2.57,2.74,2.69,0.55,4.82,0.0,5.99,0.1728,bma_jpn
エスピノーザ,オリックス,131.4,2.86,2.68,2.83,0.49,4.76,0.0,5.93,-0.1791,bma_jpn
上田　大河,西武,21.5,3.27,3.58,3.47,1.39,5.66,0.27,6.83,0.3082,bma_jpn
奥川　恭伸,ヤクルト,70.1,3.34,3.13,3.45,0.94,5.21,0.0,6.38,-0.2132,bma_jpn
羽田　慎之介,西武,19.1,2.77,2.07,2.6,0.0,4.15,0.0,5.31,-0.7035,bma_jpn
ジャクソン,DeNA,147.3,2.95,3.22,3.2,1.03,5.29,0.0,6.46,0.2656,bma_jpn
畠　世周,阪神,8.2,2.79,3.75,3.11,1.56,5.82,0.43,6.99,0.9554,bma_jpn
バーヘイゲン,日本ハム,36.6,3.68,3.72,3.77,1.54,5.8,0.41,6.97,0.0446,bma_jpn
大山　凌,ソフトバンク,29.3,2.78,2.82,2.76,0.63,4.9,0.0,6.07,0.043,bma_jpn
マーフィー,日本ハム,38.7,3.09,,3.09,,,,,,marcel_only
富山　凌雅,オリックス,7.1,3.17,,3.17,,,,,,marcel_only
ヤフーレ,楽天,93.2,3.39,3.6,3.64,1.41,5.68,0.29,6.85,0.2079,bma_jpn
澤柳　亮太郎,ソフトバンク,10.7,2.94,,2.94,,,,,,marcel_only
ケイ,DeNA,146.9,2.67,2.95,2.84,0.76,5.03,0.0,6.2,0.2782,bma_jpn
岩井　俊介,ソフトバンク,11.0,2.88,,2.88,,,,,,marcel_only
川瀬　堅斗,オリックス,22.4,2.97,3.18,3.02,0.99,5.26,0.0,6.43,0.2139,bma_jpn
福島　蓮,日本ハム,51.6,2.77,2.87,3.25,0.68,4.95,0.0,6.12,0.0972,bma_jpn
カイケル,ロッテ,40.0,3.41,,3.41,,,,,,marcel_only
松田　啄磨,楽天,7.2,2.89,,2.89,,,,,,marcel_only
京本　眞,巨人,5.0,2.81,,2.81,,,,,,marcel_only
松本　隆之介,DeNA,5.0,2.85,,2.85,,,,,,marcel_only
松木平　優太,中日,23.3,2.93,,2.93,,,,,,marcel_only
石川　歩,ロッテ,24.3,3.35,,3.35,,,,,,marcel_only
西舘　勇陽,巨人,43.3,3.26,3.12,3.18,0.93,5.2,0.0,6.37,-0.1375,bma_jpn
細野　晴希,日本ハム,24.0,2.58,2.74,2.83,0.55,4.82,0.0,5.99,0.1586,bma_jpn
石田　裕太郎,DeNA,76.6,3.21,3.13,3.12,0.94,5.21,0.0,6.38,-0.0787,bma_jpn
髙島　泰都,オリックス,59.0,3.29,3.55,3.42,1.36,5.63,0.24,6.8,0.2615,bma_jpn
柳川　大晟,日本ハム,29.4,2.52,2.35,2.44,0.16,4.43,0.0,5.6,-0.1662,bma_jpn
吉野　光樹,DeNA,18.2,3.24,,3.24,,,,,,marcel_only
