player,team,IP,marcel_ERA,stan_ERA,bayes_ERA,bayes_ERA_lo80,bayes_ERA_hi80,bayes_ERA_lo95,bayes_ERA_hi95,stan_delta,method
工藤　泰成,阪神,16.3,2.89,2.69,2.75,0.5,4.77,0.0,5.94,-0.198,bma_jpn
戸田　懐生,巨人,2.7,2.9,,2.9,,,,,,marcel_only
江原　雅裕,楽天,31.3,2.97,2.96,2.91,0.77,5.04,0.0,6.21,-0.007,bma_jpn
マラー,中日,101.7,3.22,3.15,3.35,0.96,5.23,0.0,6.4,-0.0731,bma_jpn
森田　駿哉,巨人,37.7,3.15,3.32,3.35,1.13,5.4,0.01,6.57,0.1673,bma_jpn
佐藤　柳之介,広島,25.0,2.92,3.04,3.08,0.85,5.12,0.0,6.29,0.1242,bma_jpn
古林　睿煬,日本ハム,32.3,3.01,2.75,2.93,0.56,4.83,0.0,6.0,-0.2571,bma_jpn
ハートウィグ,阪神,12.3,3.04,3.3,3.17,1.11,5.38,0.0,6.54,0.2561,bma_jpn
宮原　駿介,巨人,14.7,2.9,2.88,2.85,0.69,4.96,0.0,6.12,-0.0234,bma_jpn
ドミンゲス,広島,26.7,3.36,3.65,3.62,1.46,5.73,0.34,6.9,0.2912,bma_jpn
サモンズ,ロッテ,85.7,3.36,3.32,3.47,1.13,5.4,0.01,6.57,-0.0357,bma_jpn
ボス,ロッテ,125.0,3.63,3.74,3.8,1.55,5.82,0.43,6.99,0.113,bma_jpn
アビラ,ヤクルト,82.3,3.43,3.62,3.63,1.43,5.7,0.31,6.87,0.1869,bma_jpn
藤浪　晋太郎,DeNA,22.0,3.24,3.21,3.33,1.02,5.29,0.0,6.46,-0.0268,bma_jpn
バウマン,ヤクルト,15.0,3.17,1.98,2.79,0.0,4.06,0.0,5.23,-1.1921,bma_jpn
ランバート,ヤクルト,116.3,3.59,3.47,3.56,1.28,5.54,0.15,6.71,-0.1244,bma_jpn
山田　龍聖,巨人,4.0,2.93,,2.93,,,,,,marcel_only
廣池　康志郎,ロッテ,20.3,3.08,2.82,3.02,0.63,4.9,0.0,6.06,-0.2636,bma_jpn
吉田　聖弥,中日,9.0,2.96,,2.96,,,,,,marcel_only
入山　海斗,オリックス,14.3,3.09,3.38,3.19,1.19,5.46,0.07,6.63,0.2895,bma_jpn
孫　易磊,日本ハム,12.3,2.95,2.84,3.0,0.65,4.92,0.0,6.09,-0.1088,bma_jpn
寺西　成騎,オリックス,35.7,3.32,3.37,3.37,1.18,5.45,0.06,6.62,0.0473,bma_jpn
中込　陽翔,楽天,6.7,2.98,,2.98,,,,,,marcel_only
中村　優斗,ヤクルト,16.3,3.11,2.61,2.99,0.42,4.68,0.0,5.85,-0.5043,bma_jpn
権田　琉成,オリックス,11.3,3.13,3.09,3.01,0.9,5.17,0.0,6.34,-0.0363,bma_jpn
黒田　将矢,西武,12.7,3.03,2.43,2.95,0.24,4.51,0.0,5.68,-0.5993,bma_jpn
吉川　悠斗,ロッテ,9.0,2.96,,2.96,,,,,,marcel_only
ゲレーロ,ロッテ,19.7,3.83,3.85,3.77,1.66,5.92,0.53,7.09,0.0154,bma_jpn
博志,オリックス,12.3,3.34,3.47,3.37,1.28,5.55,0.16,6.72,0.1343,bma_jpn
松岡　洸希,日本ハム,4.0,3.0,,3.0,,,,,,marcel_only
早坂　響,ロッテ,11.0,3.07,3.32,3.2,1.13,5.4,0.01,6.57,0.2526,bma_jpn
若松　尚輝,DeNA,8.0,3.18,,3.18,,,,,,marcel_only
斉藤　優汰,広島,5.7,2.97,,2.97,,,,,,marcel_only
岡田　俊哉,中日,7.7,3.49,,3.49,,,,,,marcel_only
武田　陸玖,DeNA,1.0,2.78,,2.78,,,,,,marcel_only
一條　力真,ロッテ,1.0,2.87,,2.87,,,,,,marcel_only
篠木　健太郎,DeNA,5.3,3.11,,3.11,,,,,,marcel_only
篠原　響,西武,7.0,3.07,,3.07,,,,,,marcel_only
東松　快征,オリックス,10.0,3.28,2.3,3.04,0.11,4.38,0.0,5.55,-0.979,bma_jpn
草加　勝,中日,3.3,3.13,,3.13,,,,,,marcel_only
マルセリーノ,DeNA,1.3,2.94,,2.94,,,,,,marcel_only
岩田　将貴,DeNA,1.0,3.07,,3.07,,,,,,marcel_only
橋本　達弥,DeNA,1.0,3.01,,3.01,,,,,,marcel_only
岩崎　峻典,ソフトバンク,1.0,3.01,,3.01,,,,,,marcel_only
二木　康太,ロッテ,1.0,3.31,,3.31,,,,,,marcel_only
沼田　翔平,ヤクルト,1.0,3.15,,3.15,,,,,,marcel_only
