player,team,pred_ERA
福田　俊,日本ハム,3.29
大野　雄大,中日,3.64
齋藤　響介,オリックス,3.69
金久保　優斗,ヤクルト,3.11
国吉　佑樹,ロッテ,3.06
矢澤　宏太,日本ハム,3.57
前　佑囲斗,オリックス,2.54
高木　京介,巨人,3.96
小林　慶祐,阪神,3.78
一岡　竜司,広島,4.16
マルティネス,中日,2.12
豆田　泰志,西武,2.4
根尾　昂,中日,3.66
齋藤　綱記,中日,2.31
渡邉　勇太朗,西武,3.88
佐々木　健,西武,3.26
オスナ,ソフトバンク,3.25
梅津　晃大,中日,3.3
モイネロ,ソフトバンク,2.21
藤嶋　健人,中日,3.09
澤田　圭佑,ロッテ,3.17
長谷川　威展,日本ハム,3.59
平野　佳寿,オリックス,4.26
山田　修義,オリックス,2.66
野村　祐輔,広島,3.57
橋本　侑樹,中日,2.92
山本　由伸,オリックス,3.02
西村　天裕,ロッテ,3.36
松山　晋也,中日,1.93
岡留　英貴,阪神,3.39
中村　祐太,広島,2.96
石井　大智,阪神,2.41
山本　拓実,日本ハム,1.76
田村　伊知郎,西武,3.17
本田　圭佑,西武,3.69
松井　裕樹,楽天,2.68
笠谷　俊介,ソフトバンク,2.58
山下　舜平大,オリックス,2.85
益田　武尚,広島,3.09
高野　脩汰,ロッテ,2.63
ウェンデルケン,DeNA,2.73
島本　浩也,阪神,3.33
バルドナード,巨人,2.44
河野　竜生,日本ハム,2.67
Ｋ．ケラー,阪神,2.64
ターリー,広島,3.2
村上　頌樹,阪神,3.08
岩崎　優,阪神,3.48
宇田川　優希,オリックス,3.18
佐々木　朗希,ロッテ,2.85
桐敷　拓馬,阪神,2.85
金村　尚真,日本ハム,3.38
才木　浩人,阪神,2.54
田口　麗斗,ヤクルト,2.82
高田　孝一,楽天,2.93
津留﨑　大成,楽天,2.99
クリスキー,西武,2.68
森脇　亮介,西武,2.67
石川　達也,DeNA,3.76
東　克樹,DeNA,3.36
勝野　昌慶,中日,2.61
東　晃平,オリックス,3.68
メンデス,巨人,2.94
山﨑　颯一郎,オリックス,2.06
中川　皓太,巨人,2.56
上茶谷　大河,DeNA,3.83
水上　由伸,西武,2.78
ペルドモ,ロッテ,3.07
生田目　翼,日本ハム,3.18
床田　寛樹,広島,3.95
小木田　敦也,オリックス,3.11
アンダーソン,広島,3.08
ビーズリー,阪神,3.65
