player,team,pred_ERA
髙橋　光成,西武,3.73
メヒア,中日,4.34
及川　雅貴,阪神,1.97
又吉　克樹,ソフトバンク,3.29
比嘉　幹貴,オリックス,4.29
菊地　吏玖,ロッテ,3.14
大竹　耕太郎,阪神,3.62
宮城　大弥,オリックス,2.42
内　星龍,楽天,3.42
藤井　聖,楽天,4.02
今井　達也,西武,2.12
山岡　泰輔,オリックス,3.02
有原　航平,ソフトバンク,3.23
島内　颯太郎,広島,3.67
中村　稔弥,ロッテ,3.44
森原　康平,DeNA,2.89
藤井　皓哉,ソフトバンク,2.03
戸郷　翔征,巨人,3.0
田浦　文丸,ソフトバンク,3.58
ブルワー,阪神,2.56
伊藤　将司,阪神,3.54
平良　海馬,西武,3.05
渡辺　翔太,楽天,2.92
大津　亮介,ソフトバンク,3.13
柳　裕也,中日,3.07
馬場　皐輔,阪神,3.35
マーベル,日本ハム,3.1
佐藤　隼輔,西武,2.39
九里　亜蓮,広島,3.15
髙橋　宏斗,中日,2.81
甲斐野　央,ソフトバンク,3.83
中川　虎大,DeNA,2.57
平井　克典,西武,3.16
山本　大貴,ヤクルト,2.57
福　敬登,中日,2.62
加治屋　蓮,阪神,3.41
則本　昂大,楽天,3.26
鈴木　健矢,日本ハム,2.81
玉井　大翔,日本ハム,2.58
宮西　尚生,日本ハム,2.84
松本　裕樹,ソフトバンク,1.91
西野　勇士,ロッテ,4.13
阿部　翔太,オリックス,2.97
岩貞　祐太,阪神,2.84
船迫　大雅,巨人,2.62
入江　大生,DeNA,3.22
山﨑　伊織,巨人,3.4
木澤　尚文,ヤクルト,3.19
大道　温貴,広島,1.68
中﨑　翔太,広島,3.1
グリフィン,巨人,2.23
上原　健太,日本ハム,2.28
バウアー,DeNA,3.23
鈴木　昭汰,ロッテ,1.92
杉浦　稔大,日本ハム,3.27
今永　昇太,DeNA,3.19
矢崎　拓也,広島,2.45
ティノコ,西武,2.59
池田　隆英,日本ハム,2.74
加藤　貴之,日本ハム,4.21
根本　悠楓,日本ハム,2.94
宋　家豪,楽天,3.41
東妻　勇輔,ロッテ,2.85
大関　友久,ソフトバンク,2.75
栗林　良吏,広島,3.02
岩下　大輝,ロッテ,2.98
大貫　晋一,DeNA,3.72
上沢　直之,日本ハム,3.05
青山　美夏人,西武,3.72
清水　昇,ヤクルト,2.68
酒居　知史,楽天,2.6
ボー・タカハシ,西武,2.84
漆原　大晟,オリックス,3.22
佐々木　千隼,ロッテ,3.76
森下　暢仁,広島,2.79
小澤　怜史,ヤクルト,2.53
板東　湧梧,ソフトバンク,2.69
安樂　智大,楽天,2.85
岸　孝之,楽天,4.24
田嶋　大樹,オリックス,3.5
清水　達也,中日,3.08
北浦　竜次,日本ハム,3.18
カスティーヨ,ロッテ,3.13
フェリス,中日,3.21
メネズ,日本ハム,2.79
鍵谷　陽平,巨人,3.01
坂本　光士郎,ロッテ,3.02
ピーターズ,ヤクルト,2.75
伊勢　大夢,DeNA,3.11
和田　毅,ソフトバンク,3.94
吉田　凌,オリックス,2.68
アドゥワ　誠,広島,4.25
山﨑　福也,オリックス,3.68
松井　颯,巨人,3.45
伊藤　茉央,楽天,2.23
松葉　貴大,中日,3.86
鈴木　翔天,楽天,2.7
阪口　皓亮,ヤクルト,3.19
メルセデス,ロッテ,2.95
荘司　康誠,楽天,3.07
菅野　智之,巨人,3.7
小川　泰弘,ヤクルト,3.76
スチュワート・ジュニア,ソフトバンク,2.63
星　知弥,ヤクルト,2.85
梅野　雄吾,ヤクルト,3.29
門別　啓人,阪神,3.8
赤星　優志,巨人,3.13
菊地　大稀,巨人,2.47
北山　亘基,日本ハム,1.86
種市　篤暉,ロッテ,2.48
隅田　知一郎,西武,2.6
早川　隆久,楽天,2.92
伊藤　大海,日本ハム,3.24
小島　和哉,ロッテ,3.43
松本　航,西武,3.62
平良　拳太郎,DeNA,3.06
田中　正義,日本ハム,2.33
津森　宥紀,ソフトバンク,2.48
中森　俊介,ロッテ,2.26
西　勇輝,阪神,3.77
祖父江　大輔,中日,3.55
小笠原　慎之介,中日,3.32
大西　広樹,ヤクルト,2.34
本前　郁也,ロッテ,3.76
大瀬良　大地,広島,3.6
ポンセ,日本ハム,2.93
サイスニード,ヤクルト,3.55
與座　海人,西武,3.67
益田　直也,ロッテ,2.97
ケムナ　誠,広島,2.94
今野　龍太,ヤクルト,3.8
今村　信貴,巨人,2.79
瀧中　瞭太,楽天,4.23
西　純矢,阪神,3.66
曽谷　龍平,オリックス,3.12
松井　友飛,楽天,3.22
椎野　新,ソフトバンク,2.58
宮城　滝太,DeNA,3.5
直江　大輔,巨人,4.01
武田　翔太,ソフトバンク,2.7
横川　凱,巨人,3.52
平内　龍太,巨人,3.81
石田　健大,DeNA,3.08
涌井　秀章,中日,3.69
石川　雅規,ヤクルト,4.73
ビーディ,巨人,3.15
尾形　崇斗,ソフトバンク,2.25
丸山　翔大,ヤクルト,2.54
ロペス,巨人,3.59
鈴木　博志,中日,3.55
ロドリゲス,ヤクルト,3.5
大江　竜聖,巨人,3.08
田中　豊樹,巨人,3.63
田中　健二朗,DeNA,3.06
石川　柊太,ソフトバンク,3.85
山野　太一,ヤクルト,3.17
高梨　雄平,巨人,1.73
吉村　貢司郎,ヤクルト,3.62
松本　竜也,広島,3.04
山﨑　康晃,DeNA,3.42
遠藤　淳志,広島,3.08
石山　泰稚,ヤクルト,3.13
湯浅　京己,阪神,3.07
藤平　尚真,楽天,2.6
ガゼルマン,DeNA,2.65
濵口　遥大,DeNA,2.79
大勢,巨人,2.04
上田　洸太朗,中日,3.22
富田　蓮,阪神,3.02
古川　侑利,ソフトバンク,3.38
笠原　祥太郎,DeNA,2.2
東浜　巨,ソフトバンク,3.96
森　翔平,広島,4.11
エスコバー,DeNA,3.65
辛島　航,楽天,3.29
西口　直人,楽天,1.97
青柳　晃洋,阪神,4.3
高橋　奎二,ヤクルト,3.66
森　唯斗,ソフトバンク,2.75
三上　朋也,巨人,2.78
砂田　毅樹,中日,2.3
戸根　千明,広島,3.59
小野　郁,ロッテ,2.96
高梨　裕稔,ヤクルト,3.84
美馬　学,ロッテ,2.48
三嶋　一輝,DeNA,3.39
田島　慎二,中日,2.96
田中　将大,楽天,4.1
澤村　拓一,ロッテ,3.21
玉村　昇悟,広島,3.37
仲地　礼亜,中日,3.3
コルニエル,広島,3.44
近藤　大亮,オリックス,2.36
髙橋　優貴,巨人,3.5
塹江　敦哉,広島,2.05
福谷　浩司,中日,3.62
エンス,西武,3.54
尾仲　祐哉,ヤクルト,3.02
嘉弥真　新也,ソフトバンク,3.14
横山　陸人,ロッテ,2.57
代木　大和,巨人,3.8
大曲　錬,西武,2.78
田中　瑛斗,日本ハム,3.78
井口　和朋,日本ハム,3.55
エスピナル,ヤクルト,3.62
成田　翔,ヤクルト,3.26
増田　達至,西武,4.0
田中　千晴,巨人,3.17
弓削　隼人,楽天,3.44
岡野　祐一郎,中日,3.63
廣畑　敦也,ロッテ,3.22
坂本　裕哉,DeNA,3.37
ワゲスパック,オリックス,2.56
ガンケル,ソフトバンク,3.92
浜地　真澄,阪神,2.79
石川　直也,日本ハム,2.88
コットン,オリックス,3.87
森　遼大朗,ロッテ,3.3
小野　泰己,オリックス,2.13
立野　和明,日本ハム,3.3
久保　拓眞,ヤクルト,3.43
森浦　大輔,広島,2.91
村西　良太,オリックス,2.42
本田　仁海,オリックス,3.54
宮内　春輝,日本ハム,2.85
黒木　優太,オリックス,2.85
鈴木　康平,巨人,3.6
宮國　椋丞,DeNA,3.77
唐川　侑己,ロッテ,3.68
松本　晴,ソフトバンク,3.35
宮川　哲,西武,3.68
横山　楓,オリックス,2.61
東條　大樹,ロッテ,3.11
秋山　拓巳,阪神,3.36
宮森　智志,楽天,3.41
堀田　賢慎,巨人,3.5
市川　悠太,ヤクルト,3.99
谷元　圭介,中日,3.52
小沼　健太,ロッテ,3.85
鍬原　拓也,巨人,2.72
張　奕,西武,3.77
堀　瑞輝,日本ハム,3.74
小孫　竜二,楽天,2.76
薮田　和樹,広島,3.65
塩見　貴洋,楽天,3.95
吉田　輝星,日本ハム,4.18
北村　拓己,巨人,4.23
河野　佳,広島,4.46
公文　克彦,西武,3.18
竹安　大知,オリックス,2.88
ニックス,オリックス,3.18
黒原　拓未,広島,2.63
高橋　礼,ソフトバンク,3.9
井上　温大,巨人,2.97
福島　章太,中日,3.65
堀岡　隼人,巨人,2.55
長谷川　宙輝,ヤクルト,3.52
泉　圭輔,ソフトバンク,3.36
八木　彬,ロッテ,3.18
石橋　良太,楽天,3.86
ヘルナンデス,ソフトバンク,2.54
三浦　銀二,DeNA,3.87
近藤　廉,中日,3.71
バニュエロス,楽天,3.69
西垣　雅矢,楽天,3.72
長谷部　銀次,広島,3.03
前田　純,ソフトバンク,4.31
三浦　瑞樹,ソフトバンク,3.45
達　孝太,日本ハム,3.46
ディアス,DeNA,3.33
杉山　遙希,西武,4.14
髙　太一,広島,3.64
大谷　輝龍,ロッテ,3.93
高橋　昂也,広島,3.23
坂井　陽翔,楽天,3.89
日當　直喜,楽天,3.93
川原　陸,阪神,4.14
佐藤　蓮,阪神,4.18
古田島　成龍,オリックス,2.97
伊藤　優輔,巨人,2.82
ザバラ,日本ハム,2.82
ハーン,広島,2.62
木村　光,ソフトバンク,2.6
髙橋　遥人,阪神,3.49
ケラー,巨人,3.28
ゲラ,阪神,3.26
杉山　一樹,ソフトバンク,2.96
ダイクストラ,ロッテ,3.38
齋藤　友貴哉,日本ハム,2.93
田中　晴也,ロッテ,3.44
原　樹理,ヤクルト,2.62
京山　将弥,DeNA,3.82
マチャド,オリックス,2.75
武内　夏暉,西武,3.86
松浦　慶斗,日本ハム,3.72
滝田　一希,広島,3.13
アブレイユ,西武,3.77
徳山　壮磨,DeNA,3.58
常廣　羽也斗,広島,3.17
ウィック,DeNA,2.92
エスピノーザ,オリックス,3.04
上田　大河,西武,3.83
奥川　恭伸,ヤクルト,4.12
羽田　慎之介,西武,3.0
ジャクソン,DeNA,3.53
畠　世周,巨人,2.96
バーヘイゲン,日本ハム,4.08
大山　凌,ソフトバンク,2.63
マーフィー,日本ハム,3.4
富山　凌雅,オリックス,3.58
ヤフーレ,ヤクルト,4.06
澤柳　亮太郎,ソフトバンク,3.17
ケイ,DeNA,2.9
岩井　俊介,ソフトバンク,3.68
川瀬　堅斗,オリックス,2.9
福島　蓮,日本ハム,4.55
カイケル,ロッテ,3.83
松田　啄磨,楽天,3.25
京本　眞,巨人,3.86
松本　隆之介,DeNA,3.56
松木平　優太,中日,3.45
石川　歩,ロッテ,3.75
西舘　勇陽,巨人,3.06
細野　晴希,日本ハム,3.59
石田　裕太郎,DeNA,2.98
髙島　泰都,オリックス,3.4
柳川　大晟,日本ハム,2.39
吉野　光樹,DeNA,3.68
古謝　樹,楽天,3.78
松本　健吾,ヤクルト,3.19
中川　颯,DeNA,3.98
畔柳　亨丞,日本ハム,3.28
柴田　大地,ヤクルト,3.85
エスパーダ,ヤクルト,3.68
才木　海翔,オリックス,2.34
菅井　信也,西武,3.86
吉川　雄大,楽天,3.45
佐藤　一磨,オリックス,3.55
石黒　佑弥,阪神,2.92
椋木　蓮,オリックス,3.46
ヤン,西武,3.29
岩嵜　翔,中日,3.53
松本　凌人,DeNA,2.8
土生　翔太,中日,3.25
又木　鉄平,巨人,3.78
コルデロ,ロッテ,2.62
ハッチ,広島,2.84
櫻井　周斗,楽天,3.07
石原　勇輝,ヤクルト,2.58
糸川　亮太,西武,2.87
浜屋　将太,西武,3.49
清宮　虎多朗,楽天,3.29
二保　旭,ロッテ,2.96
小園　健太,DeNA,3.08
前田　悠伍,ソフトバンク,3.27
中村　亮太,ソフトバンク,3.5
村田　賢一,ソフトバンク,3.24
早川　太貴,阪神,2.99
泰　勝利,楽天,2.89
川口　冬弥,ソフトバンク,2.67
ウォルターズ,中日,3.13
大野　稼頭央,ソフトバンク,3.47
椎葉　剛,阪神,2.58
茨木　秀俊,阪神,3.12
宮﨑　颯,ソフトバンク,3.51
林　優樹,楽天,2.89
福田　幸之介,中日,4.84
山口　廉王,オリックス,4.26
坂本　拓己,ヤクルト,4.86
坂井　遼,ロッテ,4.81
Ｅ．ラミレス,西武,2.14
荘司　宏太,ヤクルト,2.01
辻　大雅,広島,2.85
デュプランティエ,阪神,2.1
竹田　祐,DeNA,3.76
ウィンゲンター,西武,1.89
ネルソン,阪神,3.02
颯,DeNA,2.82
ドリス,阪神,2.85
マルテ,中日,3.0
大内　誠弥,楽天,3.63
山田　陽翔,西武,3.48
片山　楽生,オリックス,3.59
ハワード,楽天,3.16
菊地　ハルン,広島,3.58
伊原　陵人,阪神,2.84
伊藤　大海,日本ハム,2.72
河村　説人,ロッテ,3.95
金丸　夢斗,中日,3.4
下川　隼佑,ヤクルト,3.75
岡本　駿,広島,3.07
柴田　獅子,日本ハム,3.32
木下　里都,阪神,2.65
木村　優人,ロッテ,3.87
工藤　泰成,阪神,2.5
戸田　懐生,巨人,2.4
江原　雅裕,楽天,2.68
マラー,中日,3.87
森田　駿哉,巨人,3.89
佐藤　柳之介,広島,3.52
古林　睿煬,日本ハム,3.02
ハートウィグ,阪神,3.29
宮原　駿介,巨人,2.7
ドミンゲス,広島,4.24
サモンズ,ロッテ,3.85
ボス,ロッテ,4.12
アビラ,ヤクルト,3.93
藤浪　晋太郎,DeNA,3.72
バウマン,ヤクルト,3.07
ランバート,ヤクルト,3.67
山田　龍聖,巨人,3.52
廣池　康志郎,ロッテ,3.19
吉田　聖弥,中日,3.24
入山　海斗,オリックス,3.16
孫　易磊,日本ハム,3.34
寺西　成騎,オリックス,3.5
中込　陽翔,楽天,3.03
中村　優斗,ヤクルト,3.26
権田　琉成,オリックス,2.6
黒田　将矢,西武,3.51
吉川　悠斗,ロッテ,3.51
ゲレーロ,ロッテ,3.51
博志,オリックス,3.28
松岡　洸希,日本ハム,2.8
早坂　響,ロッテ,3.33
若松　尚輝,DeNA,2.88
斉藤　優汰,広島,3.15
岡田　俊哉,中日,2.49
武田　陸玖,DeNA,3.55
一條　力真,ロッテ,4.6
篠木　健太郎,DeNA,3.85
篠原　響,西武,2.95
東松　快征,オリックス,3.55
草加　勝,中日,2.45
マルセリーノ,DeNA,3.16
岩田　将貴,DeNA,3.12
橋本　達弥,DeNA,3.46
岩崎　峻典,ソフトバンク,3.06
二木　康太,ロッテ,3.79
沼田　翔平,ヤクルト,3.11
