AVG,OBP,SLG,OPS,HR,RBI,SB,BB,SO,H,player,team,PA,target_year,age
0.227,0.294,0.387,0.692,11.7,35.5,2.1,22.9,83.7,71.4,杉本　裕太郎,オリックス,331,2025,33
0.239,0.278,0.413,0.703,6.2,18.8,2.1,7.9,40.4,41.0,ウォーカー,ソフトバンク,174,2025,33
0.275,0.317,0.384,0.704,8.3,49.5,7.2,27.4,78.3,125.1,西川　龍馬,オリックス,484,2025,30
0.235,0.304,0.407,0.732,15.8,61.0,1.1,38.9,109.8,106.2,ソト,ロッテ,462,2025,36
0.273,0.354,0.424,0.778,10.9,47.8,4.6,46.0,65.7,105.3,森　友哉,オリックス,444,2025,29
0.215,0.284,0.318,0.612,5.8,38.4,1.6,32.1,92.6,78.5,甲斐　拓也,ソフトバンク,405,2025,32
0.253,0.307,0.349,0.65,5.5,33.6,3.4,25.3,55.6,84.1,佐藤　都志也,ロッテ,382,2025,27
0.194,0.249,0.32,0.592,10.6,41.0,2.6,23.9,82.0,78.2,レアード,ロッテ,396,2025,37
0.292,0.406,0.481,0.893,16.9,65.4,7.5,82.7,84.1,128.8,近藤　健介,ソフトバンク,526,2025,31
0.237,0.272,0.343,0.61,3.5,15.0,2.9,8.5,41.1,46.7,愛斗,ロッテ,219,2025,27
0.255,0.322,0.385,0.716,9.1,39.1,1.3,32.9,79.5,91.6,大城　卓三,巨人,395,2025,32
0.229,0.293,0.335,0.658,6.5,31.6,3.1,30.5,72.6,89.5,グラシアル,ソフトバンク,386,2025,39
0.237,0.293,0.306,0.606,1.3,11.9,4.5,11.0,31.4,35.1,山崎　晃大朗,ヤクルト,162,2025,31
0.229,0.28,0.392,0.689,10.5,34.5,1.0,17.8,52.8,63.8,中田　翔,中日,284,2025,35
0.241,0.298,0.332,0.66,2.5,19.9,3.9,16.1,26.6,60.6,荻野　貴司,ロッテ,250,2025,39
0.259,0.316,0.386,0.686,6.2,27.0,3.2,21.4,64.4,69.8,野村　佑希,日本ハム,313,2025,24
0.268,0.346,0.364,0.704,2.5,33.9,2.4,31.8,75.7,72.2,柳町　達,ソフトバンク,315,2025,27
0.242,0.307,0.378,0.705,10.5,41.2,2.3,36.1,74.6,98.1,坂本　勇人,巨人,417,2025,36
0.247,0.31,0.383,0.678,8.4,36.0,1.5,24.0,70.4,67.3,山口　航輝,ロッテ,321,2025,24
0.241,0.301,0.302,0.603,1.2,9.8,6.8,10.9,29.5,35.5,島田　海吏,阪神,164,2025,29
0.268,0.332,0.337,0.679,1.6,26.5,6.5,32.3,56.3,101.5,野間　峻祥,広島,408,2025,32
0.207,0.283,0.262,0.558,2.2,20.6,2.1,27.4,68.3,57.1,梅野　隆太郎,阪神,299,2025,33
0.215,0.285,0.339,0.652,4.3,15.9,1.1,14.2,36.3,36.7,デスパイネ,ソフトバンク,170,2025,38
0.229,0.288,0.347,0.639,3.2,17.1,3.5,14.8,40.9,42.7,石井　一成,日本ハム,207,2025,30
0.232,0.295,0.332,0.627,2.3,14.6,1.7,10.4,27.7,31.4,楠本　泰史,DeNA,153,2025,29
0.19,0.254,0.262,0.536,1.7,16.8,0.9,12.7,37.5,36.4,會澤　翼,広島,192,2025,36
0.259,0.317,0.338,0.655,3.4,22.7,28.2,23.8,69.5,85.1,周東　佑京,ソフトバンク,368,2025,29
0.264,0.319,0.437,0.74,17.4,57.0,2.4,33.5,118.7,114.7,万波　中正,日本ハム,504,2025,24
0.236,0.299,0.349,0.645,2.1,9.7,1.7,7.3,22.6,22.5,今川　優馬,日本ハム,108,2025,28
0.226,0.301,0.299,0.615,3.2,28.1,1.0,29.0,53.9,71.2,中村　悠平,ヤクルト,349,2025,34
0.227,0.309,0.328,0.642,2.8,17.0,1.9,18.4,35.3,37.2,呉　念庭,西武,182,2025,31
0.249,0.323,0.304,0.625,1.9,19.4,4.9,25.1,48.0,67.2,上川畑　大悟,日本ハム,318,2025,28
0.242,0.301,0.305,0.621,1.7,15.1,3.1,12.6,35.6,51.9,上本　崇司,広島,228,2025,34
0.191,0.255,0.359,0.649,9.6,25.8,1.5,19.6,62.1,54.4,中村　剛也,西武,266,2025,41
0.239,0.297,0.31,0.613,2.0,17.0,1.3,13.8,40.1,46.4,高橋　周平,中日,209,2025,31
0.206,0.261,0.277,0.562,1.8,11.7,0.8,9.9,29.3,33.1,炭谷　銀仁朗,西武,163,2025,37
0.262,0.328,0.389,0.715,6.0,24.4,2.6,21.7,53.3,66.0,Ａ．マルティネス,中日,286,2025,28
0.217,0.276,0.358,0.642,5.8,17.2,2.4,14.1,48.7,39.5,アルカンタラ,日本ハム,194,2025,32
0.22,0.267,0.278,0.568,1.2,13.2,1.5,10.7,27.7,40.9,大和,DeNA,185,2025,37
0.236,0.285,0.359,0.655,5.9,25.2,1.4,16.9,66.6,62.1,堂林　翔太,広島,277,2025,33
0.226,0.29,0.296,0.61,1.1,11.0,0.9,10.2,18.7,27.0,銀次,楽天,122,2025,37
0.254,0.334,0.404,0.735,9.7,35.5,1.0,30.9,60.0,74.7,頓宮　裕真,オリックス,339,2025,28
0.232,0.299,0.36,0.664,2.2,10.0,1.2,8.7,21.9,21.9,茂木　栄五郎,楽天,103,2025,31
0.204,0.296,0.316,0.648,3.3,18.0,1.1,22.6,34.8,40.2,栗山　巧,西武,195,2025,41
0.186,0.275,0.31,0.612,6.1,23.7,4.1,24.0,59.4,49.6,マーティン,ロッテ,266,2025,38
0.22,0.267,0.334,0.612,1.7,8.7,0.6,3.9,15.9,17.1,嶺井　博希,ソフトバンク,81,2025,33
0.219,0.268,0.313,0.598,3.2,21.3,3.6,15.3,47.2,55.6,エチェバリア,ロッテ,257,2025,35
0.204,0.286,0.291,0.619,2.6,16.3,2.4,21.2,28.0,44.0,青木　宣親,ヤクルト,206,2025,43
0.256,0.339,0.392,0.742,6.5,29.8,10.9,34.4,60.7,83.5,岡　大海,ロッテ,361,2025,33
0.217,0.288,0.289,0.6,0.9,7.7,1.2,8.4,19.7,21.5,安達　了一,オリックス,102,2025,37
0.251,0.303,0.357,0.657,1.7,10.2,3.3,7.8,27.7,27.9,淺間　大基,日本ハム,125,2025,28
0.264,0.314,0.364,0.684,3.4,17.7,0.9,13.2,40.3,49.8,宇佐見　真吾,中日,203,2025,31
0.215,0.259,0.292,0.566,2.3,18.3,1.3,9.3,36.8,45.2,伏見　寅威,日本ハム,219,2025,34
0.216,0.291,0.34,0.649,3.0,16.4,1.4,14.5,32.9,33.1,井上　晴哉,ロッテ,160,2025,35
0.268,0.32,0.349,0.648,2.3,16.9,3.0,13.1,42.2,51.1,土田　龍空,中日,229,2025,22
