AVG,OBP,SLG,OPS,HR,RBI,SB,BB,SO,H,player,team,PA,target_year,age
0.237,0.295,0.34,0.638,0.8,4.4,0.6,3.3,8.4,10.3,北條　史也,阪神,48,2025,30
0.218,0.286,0.31,0.617,0.4,2.1,0.4,2.1,5.0,5.5,福田　秀平,ロッテ,26,2025,36
0.252,0.31,0.344,0.633,0.8,6.3,1.3,5.3,15.1,15.5,細川　凌平,日本ハム,76,2025,22
0.217,0.278,0.317,0.628,0.7,3.8,0.6,3.4,9.0,10.5,坂口　智隆,ヤクルト,47,2025,40
0.235,0.291,0.344,0.635,0.7,4.2,0.6,3.2,8.9,9.9,西村　凌,オリックス,47,2025,29
0.257,0.321,0.355,0.661,0.6,4.0,0.5,3.5,8.4,9.9,根尾　昂,中日,46,2025,24
0.232,0.284,0.328,0.615,0.2,1.3,0.2,1.1,3.5,3.6,長坂　拳弥,阪神,17,2025,30
0.203,0.274,0.309,0.601,2.6,12.3,1.4,11.8,28.4,27.6,田中　広輔,広島,141,2025,35
0.255,0.309,0.354,0.658,0.6,4.7,0.4,3.3,9.9,11.4,小野寺　暖,阪神,51,2025,27
0.241,0.302,0.348,0.637,1.3,6.0,0.6,5.2,15.2,16.1,増田　珠,ヤクルト,79,2025,25
0.241,0.297,0.336,0.633,0.3,1.8,0.3,1.5,4.4,4.7,奥村　展征,ヤクルト,22,2025,29
0.236,0.28,0.355,0.62,2.9,16.8,3.6,9.4,40.6,36.6,水野　達稀,日本ハム,181,2025,24
0.235,0.297,0.321,0.605,0.3,1.5,0.2,1.4,4.2,4.1,高木　渉,西武,21,2025,25
0.224,0.278,0.328,0.6,1.0,5.2,0.5,3.7,12.7,11.9,海野　隆司,ソフトバンク,61,2025,27
0.211,0.273,0.302,0.613,0.4,2.6,0.3,2.3,5.5,6.9,藤田　一也,DeNA,31,2025,42
0.24,0.3,0.352,0.648,0.6,3.2,0.5,2.8,7.2,8.3,宮本　秀明,DeNA,39,2025,28
0.275,0.342,0.489,0.842,8.3,27.3,0.9,20.1,42.7,54.2,オースティン,DeNA,213,2025,33
0.248,0.299,0.342,0.638,2.4,12.7,1.3,8.7,25.5,34.9,岸田　行倫,巨人,158,2025,28
0.246,0.305,0.345,0.647,0.5,3.1,0.4,2.6,6.8,8.1,香月　一也,巨人,37,2025,28
0.245,0.308,0.348,0.644,0.3,1.6,0.3,1.3,3.4,3.7,湯浅　大,巨人,18,2025,25
0.264,0.325,0.384,0.694,0.8,3.6,0.4,2.7,7.2,8.0,渡邉　陸,ソフトバンク,36,2025,24
0.23,0.288,0.33,0.608,0.8,4.5,1.3,3.6,14.8,11.5,佐藤　直樹,ソフトバンク,58,2025,26
0.227,0.282,0.313,0.598,0.6,3.6,2.5,3.8,10.3,12.5,山野辺　翔,西武,61,2025,30
0.21,0.272,0.311,0.613,0.5,3.0,0.4,2.6,6.3,7.5,明石　健志,ソフトバンク,35,2025,39
0.23,0.288,0.328,0.625,0.5,2.8,0.6,2.4,6.7,7.5,石岡　諒太,中日,35,2025,32
0.228,0.289,0.323,0.624,0.5,2.8,0.5,2.4,6.3,7.2,三木　亮,ロッテ,34,2025,33
0.268,0.319,0.343,0.647,0.6,4.9,0.8,4.2,11.6,15.5,宜保　翔,オリックス,68,2025,24
0.24,0.311,0.338,0.64,1.1,6.5,6.6,5.8,16.0,15.4,和田　康士朗,ロッテ,76,2025,26
0.256,0.304,0.353,0.663,1.2,6.7,0.6,5.2,16.2,20.8,石川　慎吾,ロッテ,86,2025,31
0.28,0.337,0.377,0.704,3.3,21.0,1.2,17.7,31.8,58.2,山本　祐大,DeNA,243,2025,26
0.228,0.284,0.328,0.618,0.6,3.3,0.4,2.7,8.5,8.3,王　柏融,日本ハム,39,2025,31
0.222,0.312,0.31,0.616,1.7,8.1,1.7,11.2,22.6,20.7,平沢　大河,ロッテ,111,2025,27
0.24,0.296,0.334,0.615,0.3,1.9,0.3,1.6,5.1,4.9,牧野　翔矢,西武,24,2025,24
0.228,0.287,0.323,0.626,0.6,3.6,0.9,2.7,7.0,8.4,加藤　翔平,中日,39,2025,34
0.252,0.314,0.351,0.646,0.5,2.5,0.4,2.2,5.9,6.5,上野　響平,日本ハム,31,2025,23
0.24,0.285,0.337,0.61,2.8,15.7,4.0,9.8,31.4,38.2,西川　愛也,西武,183,2025,25
0.179,0.244,0.278,0.575,0.4,2.6,0.4,2.3,5.8,6.2,福留　孝介,中日,30,2025,47
0.236,0.294,0.344,0.647,0.5,2.7,0.5,2.0,5.8,6.6,中谷　将大,ソフトバンク,30,2025,32
0.234,0.289,0.328,0.617,0.2,1.4,0.2,1.1,3.2,3.4,和田　恋,楽天,16,2025,29
0.232,0.289,0.328,0.62,0.4,2.3,0.4,2.0,5.6,6.1,真砂　勇介,ソフトバンク,29,2025,30
0.217,0.285,0.326,0.632,0.5,2.2,0.3,2.2,5.0,5.8,福田　永将,中日,27,2025,36
0.214,0.283,0.313,0.62,0.2,1.1,0.2,1.1,2.5,2.8,荒木　貴裕,ヤクルト,13,2025,37
0.223,0.269,0.316,0.575,0.8,4.6,0.5,2.9,11.5,10.6,元山　飛優,西武,55,2025,26
0.252,0.307,0.349,0.644,0.3,1.9,0.4,1.6,4.3,5.2,伊藤　康祐,中日,24,2025,25
0.244,0.304,0.341,0.623,1.1,6.2,1.4,5.9,20.1,17.8,来田　涼斗,オリックス,89,2025,22
0.26,0.321,0.366,0.666,0.4,2.3,0.4,2.0,4.9,5.8,髙寺　望夢,阪神,27,2025,22
0.233,0.29,0.349,0.657,0.6,3.1,1.3,2.3,7.1,8.0,小田　裕也,オリックス,35,2025,35
0.204,0.264,0.312,0.612,0.4,2.4,0.3,1.8,4.8,5.4,川島　慶三,楽天,25,2025,41
0.253,0.305,0.363,0.662,1.9,8.5,1.9,6.8,24.7,25.4,オコエ　瑠偉,巨人,114,2025,27
0.231,0.291,0.336,0.636,0.4,2.0,0.3,1.7,4.6,5.2,山下　斐紹,中日,24,2025,32
0.246,0.303,0.346,0.643,0.4,1.9,0.3,1.6,4.7,5.2,片岡　奨人,日本ハム,24,2025,27
0.219,0.281,0.305,0.592,0.3,1.5,0.2,1.4,3.6,3.9,柿沼　友哉,ロッテ,20,2025,31
0.251,0.298,0.339,0.628,1.1,6.0,5.0,4.7,15.0,18.4,並木　秀尊,ヤクルト,84,2025,26
0.243,0.306,0.355,0.654,0.5,3.0,0.3,2.4,6.6,6.9,福田　光輝,日本ハム,33,2025,27
0.258,0.329,0.37,0.696,6.5,37.0,15.3,38.9,78.8,94.7,小郷　裕哉,楽天,420,2025,28
0.233,0.288,0.333,0.627,0.3,2.2,1.4,1.7,4.7,5.4,増田　大輝,巨人,26,2025,31
0.238,0.3,0.331,0.62,0.4,1.9,0.3,2.0,5.3,5.4,岡田　悠希,巨人,27,2025,25
0.243,0.296,0.345,0.629,0.9,4.6,0.5,3.8,11.0,13.3,池田　来翔,ロッテ,64,2025,25
0.276,0.332,0.371,0.689,2.2,14.9,3.8,10.0,31.5,37.4,田宮　裕涼,日本ハム,161,2025,24
0.221,0.284,0.319,0.631,0.1,0.8,0.1,0.7,1.7,2.1,大野　奨太,中日,10,2025,38
0.277,0.349,0.453,0.793,15.9,51.3,1.1,39.9,114.7,107.0,細川　成也,中日,447,2025,26
0.244,0.288,0.342,0.636,1.0,5.7,0.7,3.6,10.3,15.2,松本　直樹,ヤクルト,66,2025,31
0.257,0.316,0.341,0.633,0.3,1.9,0.4,1.9,5.4,5.8,池田　陵真,オリックス,28,2025,21
0.262,0.326,0.43,0.752,11.7,49.5,1.7,30.0,68.8,88.5,栗原　陵矢,ソフトバンク,383,2025,28
0.237,0.295,0.335,0.636,0.3,1.6,0.2,1.3,3.4,4.1,田中　俊太,DeNA,19,2025,31
0.226,0.292,0.32,0.621,0.2,1.2,0.2,1.1,2.9,3.1,田中　貴也,楽天,15,2025,32
0.231,0.303,0.309,0.599,0.6,4.4,1.4,4.5,9.5,10.6,渡部　遼人,オリックス,56,2025,25
0.249,0.31,0.35,0.663,0.3,1.6,0.2,1.4,3.5,4.3,松本　友,ヤクルト,19,2025,30
0.226,0.285,0.326,0.632,0.2,1.1,0.2,0.9,2.4,3.0,堂上　直倫,中日,13,2025,36
0.242,0.3,0.341,0.637,0.3,1.5,0.2,1.3,3.7,3.8,髙濱　祐仁,日本ハム,18,2025,28
0.242,0.294,0.334,0.61,1.8,8.8,1.5,7.8,26.9,25.0,武岡　龍世,ヤクルト,125,2025,23
0.246,0.304,0.347,0.646,0.1,0.7,0.1,0.6,1.6,1.8,渡邉　大樹,オリックス,8,2025,27
0.252,0.294,0.332,0.62,3.7,31.3,5.5,18.2,59.1,78.5,村林　一輝,楽天,356,2025,27
0.208,0.268,0.312,0.619,0.3,1.4,0.2,1.2,3.0,3.8,内川　聖一,ヤクルト,17,2025,42
0.245,0.303,0.352,0.649,1.6,7.6,0.8,5.5,16.1,19.6,石原　貴規,広島,93,2025,27
0.231,0.278,0.297,0.566,0.9,6.7,8.5,6.5,28.1,25.1,五十幡　亮汰,日本ハム,125,2025,26
0.25,0.312,0.35,0.656,0.2,1.3,0.2,1.1,2.9,3.3,黒瀬　健太,ソフトバンク,15,2025,27
0.228,0.286,0.326,0.624,0.2,1.2,0.2,1.0,3.1,3.2,西浦　直亨,DeNA,15,2025,33
0.282,0.318,0.383,0.69,2.2,14.0,5.2,6.6,42.2,42.8,梶原　昂希,DeNA,168,2025,25
0.249,0.313,0.351,0.661,0.1,0.8,0.4,0.7,1.6,2.0,植田　海,阪神,9,2025,28
0.246,0.304,0.344,0.635,0.1,0.5,0.4,0.4,1.3,1.3,髙松　渡,西武,6,2025,25
0.227,0.286,0.327,0.631,0.2,1.2,0.2,1.0,2.6,3.1,熊代　聖人,西武,14,2025,35
0.235,0.315,0.346,0.652,0.5,2.3,0.5,2.4,4.9,5.1,知野　直人,DeNA,26,2025,26
0.242,0.305,0.342,0.647,0.2,1.2,0.2,1.1,2.6,3.0,内田　靖人,楽天,14,2025,29
0.231,0.29,0.336,0.642,0.2,1.2,0.2,0.9,2.4,2.9,髙田　知季,ソフトバンク,13,2025,34
0.227,0.282,0.32,0.612,0.2,1.3,0.2,1.1,2.9,3.4,西田　明央,ヤクルト,16,2025,32
0.25,0.303,0.362,0.662,2.3,10.1,1.3,8.0,27.9,28.1,伊藤　裕季也,楽天,127,2025,28
0.233,0.292,0.333,0.635,0.2,1.0,0.2,0.8,2.2,2.6,山下　幸輝,DeNA,12,2025,32
0.253,0.306,0.362,0.654,0.8,3.4,0.8,2.3,8.5,8.3,赤羽　由紘,ヤクルト,39,2025,24
0.24,0.301,0.327,0.611,0.3,2.1,0.3,2.0,5.1,5.5,韮澤　雄也,広島,28,2025,23
0.256,0.32,0.361,0.669,1.8,7.4,0.7,7.8,21.5,21.8,安田　悠馬,楽天,99,2025,25
0.263,0.32,0.361,0.663,0.1,0.6,0.1,0.5,1.4,1.7,山瀬　慎之助,巨人,8,2025,23
0.205,0.248,0.291,0.548,0.6,4.0,0.5,3.1,14.0,11.7,加藤　匠馬,中日,61,2025,32
0.251,0.311,0.352,0.659,0.2,0.8,0.2,0.7,1.8,2.2,滝野　要,中日,10,2025,28
0.244,0.312,0.349,0.654,0.3,1.7,0.2,1.5,3.9,4.4,大下　誠一郎,ロッテ,21,2025,27
0.229,0.286,0.33,0.621,1.3,6.6,0.8,6.3,17.2,18.9,板山　祐太郎,中日,89,2025,31
0.252,0.311,0.353,0.655,0.1,0.4,0.1,0.3,0.7,0.9,喜多　隆介,巨人,4,2025,26
0.24,0.3,0.341,0.647,0.1,0.8,0.1,0.6,1.7,2.0,渡辺　勝,中日,9,2025,31
0.234,0.294,0.335,0.641,0.1,0.8,0.1,0.6,1.6,2.0,桂　依央利,中日,9,2025,33
0.264,0.322,0.362,0.663,0.1,0.7,0.1,0.6,1.6,1.8,元　謙太,オリックス,8,2025,22
0.245,0.303,0.343,0.64,0.2,1.2,0.2,1.0,2.9,3.3,豊田　寛,阪神,15,2025,27
0.21,0.279,0.318,0.605,0.7,3.6,0.5,3.6,10.7,9.1,ガルシア,西武,46,2025,32
0.25,0.307,0.342,0.637,0.2,0.9,0.1,0.8,2.3,2.6,福永　奨,オリックス,12,2025,25
0.263,0.322,0.364,0.668,0.1,0.7,0.1,0.6,1.5,1.7,川野　涼多,西武,8,2025,23
0.238,0.298,0.338,0.636,0.2,0.9,0.3,0.8,2.2,2.5,曽根　海成,広島,12,2025,29
0.246,0.308,0.347,0.652,0.1,0.6,0.1,0.5,1.3,1.5,戸川　大輔,西武,7,2025,28
0.251,0.311,0.353,0.657,0.1,0.6,0.1,0.5,1.3,1.5,宮田　輝星,日本ハム,7,2025,27
0.263,0.322,0.363,0.66,0.1,0.5,0.1,0.4,1.2,1.2,有薗　直輝,日本ハム,6,2025,21
0.244,0.304,0.349,0.656,0.1,0.6,0.1,0.5,1.3,1.6,岩見　政暉,楽天,7,2025,30
0.261,0.321,0.363,0.666,0.1,0.5,0.1,0.4,1.1,1.3,持丸　泰輝,広島,6,2025,23
0.213,0.273,0.315,0.618,0.1,0.5,0.1,0.4,1.1,1.3,白濱　裕太,広島,6,2025,39
0.27,0.33,0.372,0.677,0.1,0.5,0.1,0.4,1.1,1.3,阪口　樂,日本ハム,6,2025,21
0.206,0.267,0.323,0.6,1.3,5.1,2.1,4.4,18.6,12.1,江越　大賀,日本ハム,64,2025,32
0.262,0.322,0.364,0.668,0.1,0.4,0.1,0.4,0.9,1.1,田部　隼人,DeNA,5,2025,23
0.206,0.269,0.284,0.557,1.3,12.1,0.8,10.2,24.7,25.6,田村　龍弘,ロッテ,139,2025,30
0.255,0.311,0.377,0.669,0.8,3.8,0.5,2.5,8.8,7.8,井上　広大,阪神,36,2025,23
0.247,0.31,0.35,0.657,0.1,0.3,0.1,0.3,0.7,0.9,ワカマツ,中日,4,2025,28
0.259,0.319,0.361,0.668,0.1,0.3,0.1,0.3,0.7,0.9,福元　悠真,中日,4,2025,25
0.257,0.317,0.36,0.665,0.0,0.3,0.0,0.2,0.5,0.7,中山　誠吾,西武,3,2025,25
0.24,0.3,0.342,0.649,0.0,0.2,0.0,0.1,0.4,0.4,三好　匠,広島,2,2025,31
0.213,0.273,0.315,0.622,0.0,0.2,0.0,0.1,0.4,0.4,嶋　基宏,ヤクルト,2,2025,40
0.255,0.315,0.357,0.664,0.0,0.2,0.0,0.1,0.4,0.4,佐野　如一,オリックス,2,2025,26
0.255,0.313,0.352,0.644,0.2,0.8,0.1,0.7,2.1,2.3,山本　大斗,ロッテ,11,2025,22
0.243,0.303,0.345,0.652,0.0,0.2,0.0,0.1,0.4,0.4,片山　雄哉,阪神,2,2025,30
0.261,0.324,0.363,0.672,0.0,0.2,0.0,0.1,0.4,0.4,益子　京右,DeNA,2,2025,24
0.222,0.283,0.325,0.632,0.0,0.1,0.0,0.1,0.2,0.2,松井　雅人,オリックス,1,2025,37
0.249,0.309,0.348,0.651,0.1,0.3,0.0,0.3,0.7,0.8,堀内　謙伍,楽天,4,2025,27
0.255,0.317,0.357,0.662,0.0,0.2,0.0,0.2,0.5,0.6,西巻　賢二,DeNA,3,2025,25
0.259,0.319,0.361,0.67,0.0,0.2,0.0,0.2,0.5,0.6,榮枝　裕貴,阪神,3,2025,26
0.266,0.327,0.369,0.675,0.0,0.1,0.0,0.1,0.2,0.2,川原田　純平,ソフトバンク,1,2025,22
0.249,0.31,0.352,0.659,0.0,0.1,0.0,0.1,0.2,0.2,中熊　大智,西武,1,2025,28
0.224,0.288,0.333,0.611,2.0,8.8,0.8,8.0,24.5,20.4,石原　彪,楽天,108,2025,26
0.232,0.293,0.339,0.65,0.0,0.1,0.0,0.1,0.2,0.2,岡田　雅利,西武,1,2025,35
0.237,0.297,0.325,0.625,4.7,28.6,1.6,23.5,49.7,68.2,ノイジー,阪神,312,2025,30
0.252,0.317,0.379,0.699,12.4,47.9,3.1,44.1,91.9,117.6,マキノン,西武,514,2025,30
0.232,0.321,0.39,0.72,12.3,56.0,2.2,44.5,96.1,94.8,マルティネス,日本ハム,452,2025,32
0.283,0.333,0.394,0.707,4.1,18.9,1.4,14.0,41.2,53.3,秋広　優人,巨人,222,2025,22
0.211,0.273,0.377,0.665,13.3,39.1,2.2,24.5,97.7,77.9,デビッドソン,広島,381,2025,34
0.273,0.352,0.417,0.754,12.0,54.5,1.7,40.3,76.5,104.3,森下　翔太,阪神,460,2025,24
0.265,0.326,0.327,0.638,2.5,24.0,8.6,28.3,62.9,84.0,門脇　誠,巨人,380,2025,24
0.256,0.311,0.323,0.622,1.5,14.5,4.4,10.7,37.9,40.7,茶野　篤政,オリックス,185,2025,25
0.219,0.268,0.347,0.624,8.1,28.8,1.2,16.3,50.7,59.8,フランコ,楽天,283,2025,32
0.275,0.33,0.38,0.706,4.6,26.4,5.6,24.7,71.5,89.7,福永　裕基,中日,368,2025,28
0.199,0.253,0.325,0.599,4.6,16.9,1.5,10.6,39.7,35.9,ゴンザレス,オリックス,179,2025,36
0.233,0.283,0.298,0.561,1.4,11.2,1.7,9.2,30.9,30.5,龍空,中日,160,2025,22
0.264,0.317,0.329,0.631,2.3,25.1,2.8,22.6,66.8,81.7,村松　開人,中日,367,2025,24
0.244,0.287,0.383,0.673,7.8,30.1,2.5,15.3,62.2,67.4,ブリンソン,巨人,294,2025,30
0.237,0.293,0.32,0.634,1.8,10.7,1.4,9.1,23.7,32.4,梶谷　隆幸,巨人,139,2025,36
0.221,0.278,0.328,0.618,4.2,20.5,2.1,15.4,43.1,47.2,ペイトン,西武,225,2025,33
0.248,0.3,0.324,0.61,2.2,18.5,2.2,13.2,40.8,47.9,蛭間　拓哉,西武,228,2025,24
0.22,0.287,0.319,0.609,2.4,9.6,1.5,10.3,23.0,26.9,加藤　豪将,日本ハム,134,2025,30
0.243,0.286,0.296,0.566,1.5,16.7,8.3,16.2,46.9,63.6,友杉　篤輝,ロッテ,311,2025,24
0.225,0.291,0.341,0.623,2.2,10.4,1.2,8.0,28.7,22.2,渡部　健人,西武,114,2025,26
0.242,0.284,0.331,0.6,1.7,12.4,2.1,8.1,38.2,35.3,奈良間　大己,日本ハム,170,2025,24
0.261,0.316,0.418,0.725,9.6,31.5,1.2,17.4,66.2,61.8,セデーニョ,オリックス,269,2025,26
0.24,0.278,0.343,0.633,5.6,25.6,2.0,14.6,53.4,69.0,カリステ,中日,295,2025,33
0.232,0.286,0.309,0.58,1.0,10.1,4.1,8.4,25.1,25.7,林　琢真,DeNA,132,2025,24
0.222,0.272,0.323,0.601,1.9,12.1,1.3,7.8,27.8,30.3,ブロッソー,ロッテ,147,2025,31
0.232,0.298,0.343,0.641,1.5,6.6,0.6,5.9,16.8,15.4,ミエセス,阪神,74,2025,29
0.239,0.294,0.333,0.619,0.8,6.5,2.2,5.8,17.3,18.8,児玉　亮涼,西武,91,2025,26
0.237,0.296,0.327,0.608,0.8,4.0,0.8,4.0,12.9,11.6,矢澤　宏太,日本ハム,58,2025,24
0.284,0.355,0.374,0.705,2.8,24.7,1.1,18.7,41.1,57.6,前川　右京,阪神,249,2025,21
0.213,0.27,0.332,0.61,2.1,8.4,1.4,6.5,16.1,19.2,ハンソン,日本ハム,96,2025,32
0.227,0.276,0.327,0.612,1.1,7.0,0.8,4.1,13.5,15.0,シュウィンデル,オリックス,70,2025,32
0.257,0.323,0.359,0.67,1.0,4.6,0.8,4.6,12.8,12.7,ブライト　健太,中日,59,2025,25
0.227,0.28,0.331,0.614,1.1,5.9,0.7,4.4,16.0,14.1,アキーノ,中日,68,2025,30
0.245,0.302,0.344,0.631,0.8,4.8,0.6,4.3,14.2,13.1,林　晃汰,広島,63,2025,24
0.249,0.307,0.335,0.621,0.4,2.0,0.4,1.9,5.2,5.8,古市　尊,西武,28,2025,22
0.22,0.274,0.319,0.611,0.9,4.2,0.6,3.5,11.1,11.6,アルモンテ,中日,54,2025,35
0.219,0.283,0.321,0.616,0.8,4.1,0.6,3.4,8.1,10.3,アストゥディーヨ,ソフトバンク,50,2025,33
0.272,0.322,0.397,0.692,1.9,9.9,1.0,6.2,20.1,23.6,浅野　翔吾,巨人,106,2025,20
0.261,0.319,0.364,0.662,0.4,1.9,0.3,1.7,4.8,5.1,井上　朋也,ソフトバンク,24,2025,22
0.245,0.308,0.346,0.639,0.5,2.7,0.3,1.9,6.8,6.5,澤井　廉,ヤクルト,31,2025,24
0.251,0.305,0.339,0.629,0.4,2.7,0.4,1.9,5.8,6.5,中村　貴浩,広島,30,2025,24
0.258,0.313,0.364,0.662,0.4,2.3,0.3,1.6,4.2,5.0,北村　恵吾,ヤクルト,23,2025,24
0.262,0.312,0.355,0.642,0.7,4.8,0.8,3.9,14.3,15.0,田村　俊介,広島,69,2025,21
0.259,0.318,0.355,0.658,0.3,1.7,0.3,1.5,3.9,4.6,生海,ソフトバンク,21,2025,24
0.244,0.301,0.351,0.637,1.4,7.7,0.7,6.7,21.8,20.1,萩尾　匡也,巨人,98,2025,24
0.256,0.311,0.349,0.639,2.0,12.7,1.1,8.6,23.5,27.5,山村　崇嘉,西武,131,2025,22
0.23,0.289,0.33,0.628,0.2,0.8,0.1,0.7,1.8,2.1,江村　直也,ロッテ,10,2025,32
0.233,0.292,0.333,0.631,0.2,0.9,0.1,0.7,1.9,2.1,ホーキンス,ソフトバンク,10,2025,31
0.241,0.3,0.341,0.644,0.1,0.7,0.1,0.6,1.5,1.7,アンバギー,DeNA,8,2025,30
0.271,0.33,0.371,0.677,0.1,0.3,0.0,0.3,0.7,0.8,味谷　大誠,中日,4,2025,21
0.26,0.323,0.361,0.666,0.1,0.5,0.1,0.4,1.1,1.3,菊田　拡和,巨人,6,2025,23
0.264,0.324,0.366,0.672,0.1,0.4,0.1,0.4,0.9,1.1,平野　大和,オリックス,5,2025,23
0.246,0.301,0.339,0.625,0.2,1.1,0.2,0.9,2.7,2.9,杉澤　龍,オリックス,14,2025,24
0.252,0.312,0.354,0.658,0.0,0.2,0.0,0.1,0.4,0.4,樋口　正修,中日,2,2025,26
0.25,0.311,0.353,0.657,0.0,0.3,0.0,0.2,0.6,0.7,植田　将太,ロッテ,3,2025,27
0.272,0.333,0.375,0.681,0.0,0.2,0.0,0.1,0.4,0.4,山浅　龍之介,中日,2,2025,20
0.253,0.317,0.351,0.656,1.4,6.8,1.9,7.4,16.7,21.0,大里　昂生,オリックス,99,2025,25
0.248,0.312,0.351,0.66,0.0,0.2,0.0,0.2,0.4,0.4,正隨　優弥,楽天,2,2025,28
0.273,0.334,0.376,0.683,0.0,0.1,0.0,0.1,0.2,0.2,西村　瑠伊斗,ヤクルト,1,2025,20
0.256,0.309,0.348,0.643,0.2,1.3,0.2,1.0,2.8,3.3,吉田　賢吾,ソフトバンク,15,2025,24
0.273,0.332,0.48,0.812,17.4,51.8,1.9,29.3,80.9,90.8,レイエス,日本ハム,368,2025,29
0.286,0.339,0.42,0.745,7.6,35.5,4.3,22.9,73.0,87.5,水谷　瞬,日本ハム,353,2025,24
0.248,0.301,0.324,0.61,3.4,25.7,4.8,22.0,52.8,72.3,田中　幹也,中日,343,2025,24
0.272,0.328,0.359,0.666,3.6,23.7,2.7,15.7,46.0,62.1,度会　隆輝,DeNA,272,2025,22
0.273,0.33,0.404,0.731,5.9,25.3,1.6,16.2,50.8,59.0,ヘルナンデス,巨人,240,2025,28
0.239,0.308,0.326,0.622,2.1,12.9,1.8,15.4,29.5,37.4,泉口　友汰,巨人,185,2025,25
0.211,0.282,0.362,0.656,4.4,18.0,1.3,13.8,39.0,33.3,筒香　嘉智,DeNA,168,2025,33
0.26,0.311,0.369,0.677,1.9,13.8,1.7,9.7,25.8,37.4,モンテス,巨人,159,2025,28
0.253,0.307,0.335,0.629,1.5,10.5,2.0,10.4,34.5,33.9,佐々木　俊輔,巨人,156,2025,25
0.267,0.33,0.377,0.695,1.8,12.8,2.3,10.1,31.9,31.7,川村　友斗,ソフトバンク,140,2025,25
0.246,0.302,0.326,0.622,1.8,10.2,4.9,8.6,24.2,29.8,岩田　幸宏,ヤクルト,140,2025,27
0.258,0.308,0.362,0.653,1.7,10.7,1.5,6.8,22.5,28.2,中島　大輔,楽天,128,2025,23
0.217,0.281,0.318,0.615,2.0,10.4,1.1,9.0,25.4,25.9,アギラー,西武,124,2025,34
0.251,0.312,0.341,0.632,1.6,9.3,1.4,8.6,23.5,24.9,二俣　翔一,広島,122,2025,22
0.26,0.317,0.362,0.66,1.8,9.4,1.0,7.1,19.2,24.3,廣瀨　隆太,ソフトバンク,111,2025,23
0.219,0.295,0.336,0.645,2.0,7.7,1.2,8.8,18.7,21.2,ディカーソン,中日,102,2025,34
0.241,0.296,0.324,0.608,1.0,6.1,1.3,5.0,14.4,17.4,奥村　光一,西武,84,2025,25
0.249,0.311,0.341,0.633,0.9,5.9,1.3,5.8,15.0,16.3,石上　泰輝,DeNA,79,2025,23
0.225,0.277,0.321,0.592,1.1,5.7,0.7,4.5,15.8,14.4,コルデロ,西武,73,2025,27
0.267,0.325,0.36,0.666,0.8,5.8,0.7,4.1,11.1,14.3,上田　希由翔,ロッテ,64,2025,23
0.226,0.277,0.315,0.595,0.8,4.3,0.9,3.8,14.1,13.1,スティーブンソン,日本ハム,63,2025,30
0.241,0.309,0.335,0.635,0.8,5.1,1.5,5.0,11.0,12.7,緒方　理貢,ソフトバンク,62,2025,26
0.25,0.317,0.333,0.634,0.8,5.2,0.6,4.6,11.3,12.8,野口　恭佑,阪神,61,2025,24
0.249,0.312,0.356,0.655,0.6,4.1,0.7,3.2,8.6,10.2,井上　絢登,DeNA,48,2025,25
0.269,0.326,0.368,0.668,0.5,3.1,0.5,2.6,7.4,8.7,松尾　汐恩,DeNA,40,2025,20
0.257,0.329,0.36,0.671,0.7,3.8,0.5,2.9,7.7,8.4,石塚　綜一郎,ソフトバンク,40,2025,23
0.263,0.315,0.355,0.64,0.5,3.0,0.5,2.5,8.5,8.4,横山　聖哉,オリックス,40,2025,19
0.234,0.291,0.341,0.632,0.5,2.9,0.4,2.1,6.0,6.5,シャイナー,広島,31,2025,29
0.258,0.324,0.365,0.68,0.5,2.2,0.4,1.9,4.4,5.8,ダウンズ,ソフトバンク,26,2025,26
0.246,0.308,0.34,0.64,0.3,2.2,0.3,1.8,4.2,5.1,平良　竜哉,楽天,24,2025,26
0.234,0.296,0.341,0.646,0.4,1.9,0.3,1.6,3.8,4.8,フォード,DeNA,22,2025,32
0.262,0.321,0.361,0.656,0.3,1.7,0.3,1.4,4.2,4.4,内藤　鵬,オリックス,21,2025,20
0.271,0.327,0.378,0.683,0.4,1.8,0.4,1.4,4.0,4.7,笹川　吉康,ソフトバンク,21,2025,22
0.259,0.318,0.354,0.654,0.3,1.6,0.2,1.4,3.4,4.3,辻本　倫太郎,中日,20,2025,23
0.249,0.309,0.345,0.639,0.3,1.4,0.2,1.2,3.6,3.8,久保　修,広島,18,2025,24
0.227,0.283,0.323,0.609,0.3,1.4,0.2,1.2,3.5,3.7,トーマス,オリックス,18,2025,30
0.21,0.273,0.306,0.611,0.3,1.4,0.2,1.4,3.5,3.9,ブランドン,西武,18,2025,40
0.257,0.321,0.354,0.657,0.2,1.4,0.2,1.3,3.1,3.6,佐藤　啓介,広島,17,2025,23
0.257,0.317,0.354,0.659,0.2,1.3,0.2,1.2,2.9,3.5,仲田　慶介,ソフトバンク,16,2025,25
0.277,0.337,0.375,0.691,0.2,1.1,0.2,1.0,2.6,3.2,入江　大樹,楽天,14,2025,22
0.264,0.322,0.362,0.666,0.2,1.1,0.2,0.9,2.4,2.9,村田　怜音,西武,13,2025,23
0.25,0.308,0.349,0.642,0.2,1.0,0.3,0.8,2.3,2.5,尾田　剛樹,中日,12,2025,24
