ERA,WHIP,W,L,SV,SO,player,team,IP,target_year,age
3.2,1.31,0.3,0.3,0.1,3.9,井納　翔一,巨人,5.0,2025,38
2.63,1.2,1.1,0.9,0.5,14.0,国吉　佑樹,ロッテ,19.8,2025,33
3.08,1.28,0.3,0.3,0.2,4.3,小野　泰己,オリックス,5.6,2025,30
3.25,1.29,0.6,0.6,0.4,11.2,吉川　雄大,楽天,14.4,2025,28
2.88,1.27,2.2,1.7,4.3,31.7,矢崎　拓也,広島,39.9,2025,30
3.13,1.2,1.9,1.8,0.6,24.4,森　翔平,広島,33.1,2025,27
2.47,1.06,2.4,3.0,15.0,56.0,松井　裕樹,楽天,54.9,2025,29
2.61,1.17,9.1,7.0,2.4,130.5,千賀　滉大,ソフトバンク,144.0,2025,32
2.55,1.17,3.0,3.6,15.7,47.5,岩崎　優,阪神,56.3,2025,33
2.86,1.29,1.7,2.2,0.6,27.3,本田　圭佑,西武,36.9,2025,31
2.87,1.21,0.6,0.7,0.3,11.2,小野　郁,ロッテ,14.6,2025,28
2.76,1.14,8.5,8.5,1.1,102.2,加藤　貴之,日本ハム,160.8,2025,32
2.22,0.92,7.8,4.9,1.0,124.0,佐々木　朗希,ロッテ,108.9,2025,23
3.26,1.24,6.3,4.6,1.0,71.8,青柳　晃洋,阪神,99.4,2025,31
2.47,1.07,1.9,1.9,12.2,39.0,大勢,巨人,40.0,2025,25
3.11,1.25,1.6,1.6,0.8,25.6,東條　大樹,ロッテ,29.7,2025,33
3.07,1.28,0.2,0.2,0.1,3.1,一岡　竜司,広島,3.9,2025,34
2.8,1.13,0.2,0.2,0.1,3.3,柿木　蓮,日本ハム,4.3,2025,24
3.12,1.26,1.0,1.3,0.6,16.5,近藤　大亮,オリックス,19.9,2025,33
3.07,1.23,1.8,1.8,0.7,24.0,又吉　克樹,ソフトバンク,33.8,2025,34
2.31,1.04,2.4,2.3,1.4,42.1,藤嶋　健人,中日,50.0,2025,26
2.91,1.18,0.6,0.6,0.3,9.9,渡邊　佑樹,楽天,12.7,2025,29
2.99,1.21,2.5,1.9,0.7,35.1,高梨　雄平,巨人,40.6,2025,32
2.84,1.19,7.2,6.8,1.0,78.9,西　勇輝,阪神,125.1,2025,34
2.7,1.19,6.5,8.6,1.1,98.4,髙橋　光成,西武,129.5,2025,28
2.73,1.11,1.3,1.2,0.5,15.2,奥川　恭伸,ヤクルト,21.9,2025,23
2.77,1.1,8.4,5.4,1.6,140.4,今永　昇太,DeNA,146.1,2025,31
2.97,1.24,1.9,2.1,0.8,31.1,西口　直人,楽天,37.4,2025,28
3.01,1.23,1.9,1.6,0.8,24.7,ブセニッツ,楽天,31.7,2025,34
3.09,1.26,1.3,1.3,0.8,21.6,デラロサ,巨人,27.3,2025,36
3.0,1.22,2.7,2.7,9.3,45.4,マクガフ,ヤクルト,53.7,2025,35
3.15,1.31,0.8,0.8,0.4,12.2,十亀　剣,西武,15.3,2025,37
2.85,1.2,0.6,0.5,0.3,8.1,北浦　竜次,日本ハム,10.5,2025,25
3.43,1.29,0.9,1.2,0.4,12.5,黒木　優太,日本ハム,16.2,2025,30
3.14,1.28,0.6,0.6,0.3,9.9,張　奕,西武,12.6,2025,31
2.43,1.13,8.3,5.8,1.1,127.1,今井　達也,西武,131.5,2025,26
3.16,1.26,2.6,2.1,1.2,36.5,エスコバー,DeNA,45.2,2025,32
3.06,1.28,1.3,1.6,0.6,20.9,加治屋　蓮,阪神,25.3,2025,33
3.57,1.28,1.7,2.3,5.8,22.0,増田　達至,西武,30.1,2025,36
3.04,1.23,1.2,1.0,0.5,14.6,渡邉　雄大,阪神,18.3,2025,33
2.74,1.12,0.4,0.4,0.2,5.6,田上　奏大,ソフトバンク,7.3,2025,22
3.43,1.38,0.2,0.2,0.1,2.8,能見　篤史,オリックス,3.7,2025,45
3.26,1.24,3.0,4.1,0.8,42.7,大野　雄大,中日,60.1,2025,36
2.11,1.03,8.5,7.2,1.1,128.3,髙橋　宏斗,中日,137.7,2025,22
2.92,1.15,1.5,1.3,0.5,20.7,根本　悠楓,日本ハム,25.3,2025,22
2.82,1.19,1.5,1.4,0.8,23.4,甲斐野　央,西武,28.1,2025,28
3.14,1.33,1.0,0.6,0.4,10.5,比嘉　幹貴,オリックス,13.5,2025,42
2.98,1.2,1.8,3.4,0.7,37.3,ボー・タカハシ,西武,50.2,2025,28
3.0,1.22,1.2,1.1,0.5,20.1,岩貞　祐太,阪神,25.6,2025,33
3.19,1.28,1.9,1.9,0.8,31.8,武田　翔太,ソフトバンク,38.3,2025,31
2.9,1.22,0.8,0.8,1.1,14.1,クリスキー,西武,17.0,2025,31
2.85,1.21,1.5,1.2,0.5,16.6,島本　浩也,阪神,23.1,2025,32
3.32,1.33,0.9,0.9,0.5,15.2,宮川　哲,ヤクルト,19.3,2025,29
2.69,1.16,2.8,2.9,1.4,55.7,山岡　泰輔,オリックス,65.6,2025,29
3.03,1.22,2.3,2.1,0.7,32.8,宋　家豪,楽天,45.0,2025,32
3.42,1.38,0.7,0.7,0.5,12.3,谷元　圭介,中日,16.3,2025,40
2.29,1.02,11.4,7.5,1.1,147.3,戸郷　翔征,巨人,174.6,2025,24
4.03,1.36,1.7,2.3,1.2,25.3,森　唯斗,DeNA,31.8,2025,33
3.01,1.12,6.9,5.3,1.0,73.7,伊藤　将司,阪神,113.9,2025,28
3.38,1.26,6.4,6.8,1.0,97.5,高橋　奎二,ヤクルト,107.8,2025,27
3.16,1.27,1.2,1.0,0.5,17.1,田中　健二朗,DeNA,22.4,2025,35
3.12,1.21,6.4,5.5,1.0,81.5,田嶋　大樹,オリックス,107.4,2025,28
2.84,1.14,2.7,2.2,3.6,45.7,松本　裕樹,ソフトバンク,47.8,2025,28
3.46,1.28,0.7,0.8,0.4,10.2,西垣　雅矢,楽天,13.5,2025,25
3.43,1.33,2.3,2.7,0.9,33.5,ガゼルマン,DeNA,45.7,2025,31
2.84,1.19,1.5,1.4,0.8,23.5,森　博人,中日,30.3,2025,26
2.93,1.18,2.8,2.2,0.7,33.1,西　純矢,阪神,46.2,2025,23
2.96,1.23,0.7,0.6,0.3,10.0,久保　拓眞,ヤクルト,13.1,2025,28
3.22,1.22,2.5,2.7,0.9,34.8,ガンケル,ソフトバンク,49.3,2025,33
3.05,1.23,1.9,1.6,0.9,28.6,コール,ヤクルト,36.0,2025,33
3.08,1.16,7.2,10.0,1.1,115.0,小笠原　慎之介,中日,150.4,2025,27
2.94,1.17,6.3,5.9,1.0,73.0,大貫　晋一,DeNA,96.4,2025,31
3.55,1.34,4.5,3.7,0.8,52.7,和田　毅,ソフトバンク,64.6,2025,44
3.09,1.28,0.5,0.5,0.2,7.2,高木　京介,巨人,9.4,2025,35
3.48,1.24,6.1,6.5,1.0,74.0,小川　泰弘,ヤクルト,112.2,2025,34
2.88,1.15,1.3,1.7,0.6,22.7,上田　洸太朗,中日,29.1,2025,22
2.6,1.19,9.7,7.7,1.1,94.3,床田　寛樹,広島,150.1,2025,30
2.79,1.17,2.5,2.3,0.7,24.9,鈴木　健矢,日本ハム,40.8,2025,27
3.44,1.35,1.0,0.8,0.4,10.7,三嶋　一輝,DeNA,13.5,2025,34
3.27,1.15,3.6,4.6,0.8,41.5,與座　海人,西武,66.7,2025,29
3.06,1.31,2.5,2.6,0.7,28.8,平井　克典,西武,41.9,2025,33
3.99,1.39,3.6,4.6,0.8,49.5,美馬　学,ロッテ,67.8,2025,38
2.84,1.18,3.4,3.0,0.8,39.1,津森　宥紀,ソフトバンク,45.4,2025,27
3.24,1.32,3.8,3.3,1.0,40.7,石川　歩,ロッテ,61.3,2025,36
2.75,1.07,6.5,5.7,1.0,78.5,大関　友久,ソフトバンク,111.2,2025,27
3.49,1.29,4.7,6.6,1.2,60.8,エンス,西武,83.3,2025,33
2.85,1.18,3.7,3.0,1.9,46.7,木澤　尚文,ヤクルト,57.3,2025,26
2.91,1.14,10.2,7.9,1.3,136.8,伊藤　大海,日本ハム,163.5,2025,27
3.43,1.25,3.9,4.7,0.9,58.8,石田　健大,DeNA,73.2,2025,32
3.53,1.31,3.1,4.4,2.3,55.3,ワゲスパック,オリックス,56.1,2025,31
2.85,1.2,2.5,1.9,0.9,39.0,入江　大生,DeNA,44.1,2025,26
3.04,1.23,1.2,1.0,0.4,15.5,梅野　雄吾,中日,21.4,2025,26
2.63,1.15,1.1,1.5,1.7,24.7,山﨑　颯一郎,オリックス,29.1,2025,26
3.35,1.35,0.6,0.7,0.3,9.3,内海　哲也,西武,12.0,2025,42
2.9,1.21,0.5,0.5,0.3,7.0,吉田　大喜,ヤクルト,9.0,2025,27
2.64,1.18,1.3,1.2,0.6,18.8,佐々木　健,西武,24.5,2025,25
2.52,1.1,2.9,2.5,1.1,46.7,清水　達也,中日,52.3,2025,25
3.61,1.27,5.4,4.7,0.9,66.4,東浜　巨,ソフトバンク,90.6,2025,34
2.93,1.33,2.1,1.7,0.8,24.7,ターリー,楽天,29.6,2025,35
2.73,1.14,9.2,6.0,1.0,92.9,菅野　智之,巨人,127.9,2025,35
2.7,1.25,1.4,1.0,0.5,19.1,塹江　敦哉,広島,23.3,2025,28
3.29,1.21,8.9,8.8,1.1,116.9,小島　和哉,ロッテ,156.7,2025,28
2.78,1.11,8.4,5.9,1.1,95.6,山﨑　伊織,巨人,135.4,2025,26
3.02,1.2,0.7,0.6,0.4,9.9,畠　世周,巨人,12.6,2025,30
2.61,1.1,1.5,1.0,0.5,19.9,小木田　敦也,オリックス,25.4,2025,26
2.36,0.99,8.7,7.3,1.1,125.9,宮城　大弥,オリックス,145.0,2025,23
2.83,1.18,9.3,8.2,1.1,108.6,森下　暢仁,広島,151.8,2025,27
3.06,1.19,4.9,7.4,1.3,80.8,メルセデス,ロッテ,119.0,2025,31
3.02,1.21,4.1,3.8,1.2,55.9,板東　湧梧,ソフトバンク,74.1,2025,29
3.31,1.29,7.4,8.4,1.1,90.6,岸　孝之,楽天,135.1,2025,40
3.29,1.21,4.6,7.0,1.0,74.2,松本　航,西武,98.9,2025,28
3.6,1.33,2.7,4.6,0.8,46.6,上原　健太,日本ハム,62.7,2025,31
3.06,1.28,1.3,0.8,0.4,17.2,ケムナ　誠,広島,20.8,2025,29
2.81,1.28,1.9,1.7,0.7,27.1,京山　将弥,DeNA,34.8,2025,26
3.26,1.23,2.0,3.2,14.8,40.8,益田　直也,ロッテ,48.1,2025,35
3.17,1.25,1.9,1.7,1.1,31.0,スミス,西武,38.3,2025,34
3.72,1.31,1.0,0.9,0.5,15.6,弓削　隼人,楽天,20.5,2025,30
2.96,1.27,1.8,1.7,0.6,29.4,森浦　大輔,広島,34.9,2025,26
4.04,1.35,4.7,6.3,0.9,62.7,田中　将大,楽天,89.3,2025,36
2.95,1.25,2.5,2.2,0.8,31.3,酒居　知史,楽天,41.6,2025,32
2.69,1.12,2.3,2.2,1.4,39.0,ケラー,巨人,41.6,2025,31
3.09,1.12,1.6,2.1,0.6,25.1,池田　隆英,日本ハム,30.7,2025,30
2.93,1.2,1.1,0.9,0.5,14.3,河村　説人,ロッテ,19.0,2025,27
3.09,1.23,7.3,8.8,1.1,113.5,九里　亜蓮,広島,148.1,2025,33
3.27,1.24,4.1,5.2,0.9,49.4,松葉　貴大,中日,83.1,2025,34
4.08,1.33,3.4,4.6,0.8,53.0,ポンセ,楽天,66.0,2025,30
3.04,1.29,1.5,1.9,1.1,26.1,玉井　大翔,日本ハム,37.7,2025,32
3.32,1.3,6.9,7.2,2.1,85.1,ロメロ,DeNA,115.3,2025,36
3.42,1.33,3.9,5.0,0.9,58.3,濵口　遥大,DeNA,72.7,2025,30
3.44,1.28,5.8,5.8,1.0,85.2,石川　柊太,ソフトバンク,102.4,2025,33
3.13,1.19,8.6,8.9,1.6,125.7,上沢　直之,日本ハム,162.3,2025,31
3.1,1.21,3.4,3.9,1.5,55.2,藤浪　晋太郎,阪神,66.7,2025,30
2.91,1.12,0.8,0.9,0.4,12.6,直江　大輔,巨人,16.0,2025,24
2.87,1.26,4.9,3.1,0.8,46.5,藤井　聖,楽天,68.9,2025,28
2.85,1.16,0.3,0.3,0.2,4.2,池谷　蒼大,DeNA,5.3,2025,25
3.55,1.31,3.4,4.1,1.1,45.6,辛島　航,楽天,67.9,2025,34
3.02,1.19,0.6,0.7,0.3,11.0,根尾　昂,中日,14.7,2025,24
3.27,1.21,8.6,6.4,1.1,86.7,山﨑　福也,日本ハム,133.6,2025,32
3.34,1.19,1.8,1.4,0.7,26.4,本田　仁海,オリックス,31.0,2025,25
2.8,1.11,4.4,3.5,2.1,63.2,北山　亘基,日本ハム,68.9,2025,25
3.34,1.3,2.6,2.6,1.7,40.9,ゲレーロ,ロッテ,46.0,2025,38
3.36,1.27,1.0,1.3,0.5,19.1,コルニエル,広島,25.0,2025,29
3.18,1.28,6.2,6.1,10.0,81.4,則本　昂大,楽天,104.6,2025,34
3.94,1.34,5.8,7.3,1.1,96.6,サイスニード,ヤクルト,128.1,2025,32
3.62,1.33,4.2,6.2,0.9,61.1,涌井　秀章,中日,86.4,2025,38
3.2,1.27,1.2,1.4,0.6,18.3,松本　竜也,広島,22.6,2025,31
3.2,1.26,1.1,1.2,0.5,18.3,今村　信貴,巨人,25.2,2025,31
3.25,1.16,1.8,2.8,0.7,29.9,遠藤　淳志,広島,41.7,2025,25
3.37,1.33,3.2,2.7,1.0,45.0,アンダーソン,広島,55.7,2025,43
2.54,1.15,2.1,1.1,0.6,24.4,山本　拓実,日本ハム,32.0,2025,25
3.21,1.24,1.0,1.2,0.6,17.6,生田目　翼,日本ハム,22.6,2025,30
3.29,1.23,0.5,0.5,0.3,8.9,八木　彬,ロッテ,11.2,2025,27
3.12,1.22,5.6,7.9,1.0,83.9,柳　裕也,中日,119.0,2025,30
3.36,1.34,0.9,1.0,0.5,14.8,三上　朋也,巨人,19.5,2025,35
3.17,1.28,0.5,0.4,0.3,6.4,鍵谷　陽平,日本ハム,8.3,2025,34
3.09,1.25,1.1,1.0,0.6,17.8,今野　龍太,ヤクルト,24.5,2025,29
2.96,1.16,1.1,1.0,0.6,18.8,泉　圭輔,巨人,23.7,2025,28
2.95,1.15,7.1,9.3,1.1,120.6,隅田　知一郎,西武,138.8,2025,25
2.8,1.21,4.0,3.4,1.0,42.4,島内　颯太郎,広島,47.2,2025,28
3.4,1.29,2.0,2.1,0.7,27.1,祖父江　大輔,中日,35.9,2025,37
3.27,1.29,0.8,0.8,0.3,10.4,竹安　大知,オリックス,13.6,2025,30
2.92,1.16,7.6,7.1,1.1,110.6,早川　隆久,楽天,130.0,2025,26
3.17,1.25,1.1,1.1,0.6,16.2,クロール,巨人,21.0,2025,33
2.9,1.16,0.7,0.8,0.4,11.2,藤井　黎來,広島,14.0,2025,25
3.09,1.24,0.5,0.5,0.3,7.3,谷川　昌希,日本ハム,9.3,2025,32
3.33,1.36,0.5,0.6,0.3,7.4,増井　浩俊,オリックス,9.3,2025,40
3.14,1.15,3.1,3.0,0.8,44.5,玉村　昇悟,広島,57.7,2025,23
3.29,1.2,1.1,1.1,1.2,18.6,石川　直也,日本ハム,22.5,2025,28
3.99,1.42,5.3,5.6,1.9,78.6,レイ,ソフトバンク,100.0,2025,50
2.95,1.15,1.6,2.0,0.9,37.1,藤平　尚真,楽天,41.9,2025,26
3.15,1.27,0.9,1.0,0.5,16.1,椎野　新,ソフトバンク,19.9,2025,29
3.27,1.28,2.5,2.6,1.0,33.7,ビドル,オリックス,40.3,2025,33
2.81,1.17,1.9,1.8,1.0,39.2,鈴木　翔天,楽天,44.3,2025,28
3.12,1.14,3.6,5.1,0.9,54.3,赤星　優志,巨人,73.8,2025,25
3.45,1.29,4.1,4.1,1.5,54.8,ウィルカーソン,阪神,70.7,2025,35
3.2,1.28,0.9,1.0,0.5,17.0,古川　侑利,ソフトバンク,20.9,2025,29
3.26,1.32,0.6,0.6,0.3,8.5,福井　優也,楽天,11.0,2025,37
2.92,1.15,4.7,4.1,3.7,63.9,小澤　怜史,ヤクルト,77.6,2025,27
3.32,1.27,0.6,0.6,0.3,9.6,薮田　和樹,広島,12.6,2025,32
3.1,1.25,1.2,1.4,0.5,20.1,鈴木　博志,オリックス,27.8,2025,28
3.54,1.29,1.3,1.4,0.6,27.4,坂本　光士郎,ロッテ,31.8,2025,30
3.2,1.24,2.4,2.8,1.1,37.8,二木　康太,ロッテ,47.3,2025,29
3.14,1.24,0.8,0.8,0.4,11.6,大下　佑馬,ヤクルト,15.0,2025,32
3.68,1.33,4.8,6.1,1.9,71.2,シューメーカー,巨人,95.3,2025,38
3.19,1.18,2.0,1.4,0.6,25.0,吉田　輝星,オリックス,33.8,2025,24
3.38,1.29,2.6,2.4,1.0,33.8,平田　真吾,DeNA,42.0,2025,35
3.83,1.34,2.5,4.0,0.8,44.5,高梨　裕稔,ヤクルト,54.5,2025,33
3.0,1.2,1.6,1.9,0.6,23.1,平内　龍太,巨人,30.9,2025,26
2.68,1.2,1.6,1.4,0.6,27.0,山田　修義,オリックス,31.1,2025,33
2.91,1.16,0.9,1.2,0.4,15.9,中川　虎大,DeNA,19.1,2025,25
3.17,1.24,3.2,2.4,1.1,36.6,安樂　智大,楽天,48.2,2025,28
3.06,1.15,1.2,1.4,0.6,19.5,小川　一平,阪神,24.7,2025,27
3.24,1.29,1.5,1.4,0.7,28.0,星　知弥,ヤクルト,32.0,2025,30
2.66,1.1,1.5,2.8,0.8,31.6,河野　竜生,日本ハム,40.4,2025,26
3.29,1.24,0.5,0.6,0.3,8.2,村西　良太,オリックス,10.4,2025,27
2.84,1.19,4.2,2.3,1.0,39.8,大西　広樹,ヤクルト,58.1,2025,27
4.21,1.45,2.8,3.8,0.8,32.2,石川　雅規,ヤクルト,57.7,2025,45
3.49,1.28,0.8,0.8,0.4,11.9,津留﨑　大成,楽天,16.1,2025,27
3.02,1.21,2.2,2.2,0.8,36.7,勝野　昌慶,中日,44.4,2025,27
3.08,1.23,0.9,0.8,0.4,13.9,福　敬登,中日,17.7,2025,32
3.82,1.34,0.7,0.8,0.3,12.3,田島　慎二,中日,15.4,2025,35
2.77,1.16,2.1,2.1,0.7,30.9,佐藤　隼輔,西武,40.5,2025,25
3.71,1.3,3.1,4.9,0.8,37.0,瀧中　瞭太,楽天,63.3,2025,30
2.47,1.09,10.2,5.1,1.1,113.2,東　克樹,DeNA,146.4,2025,29
3.21,1.17,2.6,3.5,1.2,38.1,佐藤　奨真,ロッテ,52.3,2025,26
3.27,1.26,1.4,1.3,0.6,20.7,本前　郁也,ロッテ,26.9,2025,27
3.34,1.23,1.9,2.2,1.1,29.7,アルカンタラ,阪神,38.3,2025,32
3.17,1.22,6.8,8.2,1.1,102.3,大瀬良　大地,広島,141.6,2025,33
3.18,1.27,2.9,2.9,0.7,36.9,上茶谷　大河,DeNA,47.4,2025,28
3.31,1.31,0.9,1.1,0.5,14.8,アンドリース,巨人,18.7,2025,35
3.32,1.24,0.5,0.5,0.2,6.6,田中　瑛斗,日本ハム,9.1,2025,25
3.6,1.32,2.7,2.6,0.8,30.3,原　樹理,ヤクルト,46.6,2025,31
2.66,1.1,2.9,2.1,0.7,33.1,東　晃平,オリックス,45.1,2025,25
3.45,1.34,0.7,0.8,0.4,10.2,金子　千尋,日本ハム,13.0,2025,41
3.32,1.27,0.8,0.9,0.5,13.9,廣畑　敦也,ロッテ,17.6,2025,27
3.19,1.24,1.4,0.9,0.5,22.9,西村　天裕,ロッテ,27.2,2025,31
2.97,1.25,1.2,1.3,0.7,21.2,齋藤　友貴哉,日本ハム,25.2,2025,30
3.38,1.31,0.9,0.8,0.4,13.5,戸根　千明,広島,18.3,2025,32
2.43,1.09,2.2,1.8,0.7,38.2,桐敷　拓馬,阪神,44.2,2025,25
2.95,1.22,0.5,0.5,0.2,7.6,馬場　皐輔,巨人,9.4,2025,29
3.52,1.25,1.2,1.1,0.5,16.9,鍬原　拓也,巨人,22.3,2025,29
3.51,1.27,1.1,1.1,0.5,16.9,井口　和朋,オリックス,21.2,2025,31
3.17,1.32,1.2,1.4,0.5,17.3,野村　祐輔,広島,25.2,2025,35
3.12,1.25,1.7,1.8,1.1,26.8,杉浦　稔大,日本ハム,32.7,2025,33
3.29,1.2,1.4,1.3,0.4,16.8,唐川　侑己,ロッテ,22.2,2025,35
3.23,1.3,0.6,0.7,0.3,8.1,笠原　祥太郎,DeNA,10.7,2025,30
3.36,1.31,0.9,1.4,0.5,14.9,髙橋　優貴,巨人,19.4,2025,28
3.59,1.3,0.8,1.0,0.4,11.7,秋山　拓巳,阪神,15.4,2025,33
3.0,1.15,0.8,0.7,0.3,11.4,尾形　崇斗,ソフトバンク,13.7,2025,25
3.1,1.17,2.0,2.2,0.9,31.0,菊地　大稀,巨人,34.8,2025,25
3.25,1.29,0.4,0.4,0.2,6.2,菊池　保則,広島,8.0,2025,35
3.29,1.38,1.0,1.6,0.7,19.5,宮西　尚生,日本ハム,23.8,2025,39
3.24,1.24,0.6,0.7,0.3,10.3,砂田　毅樹,中日,13.2,2025,29
3.67,1.29,0.7,0.8,0.6,11.4,堀　瑞輝,日本ハム,13.3,2025,26
3.18,1.14,3.2,2.7,0.7,46.3,井上　温大,巨人,52.2,2025,23
2.87,1.16,0.3,0.3,0.2,4.7,小峯　新陸,楽天,6.0,2025,23
3.11,1.25,0.3,0.3,0.2,4.6,釜田　佳直,楽天,6.0,2025,31
2.66,1.18,1.1,0.9,0.5,16.5,田村　伊知郎,西武,21.0,2025,30
3.04,1.22,0.2,0.2,0.1,2.4,タバーレス,中日,3.0,2025,30
3.43,1.24,0.7,0.7,0.4,11.1,小沼　健太,ロッテ,14.9,2025,26
2.73,1.17,2.1,2.1,0.7,29.1,渡邉　勇太朗,西武,43.5,2025,24
3.84,1.31,0.9,0.7,0.4,11.7,石橋　良太,楽天,15.8,2025,33
3.43,1.25,1.4,2.1,0.6,29.2,坂本　裕哉,DeNA,39.1,2025,27
3.45,1.29,1.1,1.1,0.6,16.8,スアレス,ヤクルト,21.7,2025,34
2.85,1.11,0.4,0.5,0.2,6.7,森木　大智,阪神,8.7,2025,21
3.06,1.14,1.7,1.8,0.6,22.7,堀田　賢慎,巨人,31.1,2025,23
3.09,1.23,0.6,0.6,0.3,10.9,笠谷　俊介,ソフトバンク,13.8,2025,28
3.1,1.23,0.4,0.4,0.2,6.0,大曲　錬,西武,8.1,2025,26
3.08,1.29,1.0,1.2,0.6,17.2,佐々木　千隼,DeNA,22.8,2025,30
2.74,1.14,7.7,4.6,1.0,71.6,大竹　耕太郎,阪神,105.9,2025,29
3.17,1.21,1.4,1.5,0.5,20.1,中﨑　翔太,広島,26.5,2025,32
3.08,1.16,1.7,1.7,0.6,28.6,黒原　拓未,広島,31.5,2025,25
3.15,1.19,1.2,1.1,0.6,16.9,戸田　懐生,巨人,22.0,2025,24
3.35,1.3,0.7,0.8,0.4,10.7,バルガス,オリックス,13.7,2025,34
3.24,1.22,0.6,0.7,0.3,9.6,Ｋ－鈴木,オリックス,12.0,2025,31
3.16,1.23,1.1,1.0,0.4,17.4,大道　温貴,広島,21.4,2025,26
2.55,1.22,1.9,1.5,0.5,24.6,齋藤　綱記,中日,29.3,2025,28
3.36,1.25,0.6,0.8,0.3,12.1,東妻　勇輔,ロッテ,15.4,2025,28
3.19,1.26,0.2,0.2,0.1,3.1,有吉　優樹,DeNA,4.0,2025,34
3.05,1.18,2.7,2.0,1.1,42.7,杉山　一樹,ソフトバンク,47.3,2025,27
