ERA,WHIP,W,L,SV,SO,player,team,IP,target_year,age
3.15,1.28,0.4,0.4,0.2,5.0,公文　克彦,西武,6.5,2025,33
2.86,1.15,2.2,2.3,7.8,32.2,田中　正義,日本ハム,37.4,2025,30
3.12,1.28,0.2,0.2,0.1,2.3,福山　博之,楽天,3.0,2025,36
2.58,1.08,0.3,0.2,0.1,3.3,達　孝太,日本ハム,4.2,2025,21
2.8,1.2,1.9,2.4,8.5,33.4,森原　康平,DeNA,39.7,2025,33
3.02,1.23,0.1,0.1,0.1,1.5,佐野　泰雄,西武,2.0,2025,32
2.67,1.15,0.9,0.6,0.3,10.8,長谷川　威展,ソフトバンク,13.8,2025,25
2.85,1.16,0.1,0.1,0.1,1.5,山本　一輝,巨人,2.0,2025,26
3.17,1.29,0.1,0.1,0.1,1.6,山口　俊,巨人,2.0,2025,37
2.95,1.2,0.1,0.1,0.0,0.8,土肥　星也,ロッテ,1.0,2025,29
2.86,1.16,0.1,0.1,0.0,0.8,内間　拓馬,楽天,1.0,2025,26
2.78,1.11,0.2,0.2,0.1,3.1,畔柳　亨丞,日本ハム,4.1,2025,21
2.71,1.09,0.1,0.1,0.0,0.8,竹山　日向,ヤクルト,1.0,2025,21
2.89,1.18,0.0,0.0,0.0,0.5,杉山　晃基,ヤクルト,0.7,2025,27
2.79,1.15,1.3,0.9,0.5,17.8,岩下　大輝,ロッテ,23.3,2025,28
2.59,1.15,1.6,1.9,1.0,27.2,阿部　翔太,オリックス,32.7,2025,32
2.19,1.11,2.1,1.6,0.8,34.8,石井　大智,阪神,39.6,2025,27
2.45,1.14,1.5,1.3,0.7,23.8,宇田川　優希,オリックス,25.7,2025,26
2.39,1.14,0.6,0.5,0.3,9.5,福田　俊,日本ハム,12.2,2025,28
2.95,1.2,0.5,0.5,0.3,7.7,奥村　政稔,ソフトバンク,10.0,2025,32
2.64,1.09,2.1,2.2,10.0,31.2,オスナ,ソフトバンク,39.7,2025,32
2.5,1.09,3.2,3.0,9.8,47.4,Ｒ．マルティネス,中日,55.7,2025,28
3.42,1.34,0.6,0.5,0.3,9.8,嘉弥真　新也,ヤクルト,12.6,2025,35
2.93,1.16,0.9,0.8,0.4,11.6,椋木　蓮,オリックス,14.8,2025,25
2.12,1.0,5.5,3.2,5.9,88.6,モイネロ,ソフトバンク,90.3,2025,29
2.81,1.22,1.2,1.3,0.6,20.5,メネズ,日本ハム,25.4,2025,29
2.56,1.11,1.5,2.0,2.0,28.9,湯浅　京己,阪神,33.0,2025,25
2.36,1.12,3.3,2.3,1.4,55.0,藤井　皓哉,ソフトバンク,54.0,2025,28
2.84,1.11,1.5,1.4,0.5,22.4,浜地　真澄,阪神,29.9,2025,26
2.7,1.22,2.3,2.5,0.9,37.1,ロドリゲス,日本ハム,43.4,2025,33
3.05,1.13,1.8,3.2,1.0,29.2,清水　昇,ヤクルト,37.0,2025,28
2.59,1.17,1.9,2.8,7.0,32.6,田口　麗斗,ヤクルト,39.1,2025,29
3.11,1.17,2.3,3.6,9.0,37.4,山﨑　康晃,DeNA,44.4,2025,32
2.76,1.17,0.7,0.7,0.3,9.2,山下　輝,ヤクルト,12.3,2025,25
2.53,1.06,1.9,4.1,15.9,50.0,栗林　良吏,広島,52.4,2025,28
2.07,1.07,8.3,4.1,1.0,100.8,才木　浩人,阪神,121.2,2025,26
3.13,1.21,0.7,0.9,0.4,12.9,宮森　智志,楽天,16.6,2025,26
2.31,1.12,4.9,4.2,2.3,79.6,平良　海馬,西武,84.7,2025,25
2.82,1.35,1.8,1.6,7.8,22.9,平野　佳寿,オリックス,29.3,2025,41
2.96,1.24,0.3,0.3,0.1,4.2,小林　慶祐,阪神,5.4,2025,32
1.87,0.97,13.6,6.9,1.7,169.0,山本　由伸,オリックス,176.4,2025,26
2.94,1.16,0.9,0.6,0.3,11.4,大江　竜聖,巨人,14.4,2025,26
2.82,1.15,2.7,3.3,1.2,39.9,伊勢　大夢,DeNA,47.2,2025,27
2.74,1.23,1.7,1.5,1.2,25.7,森脇　亮介,西武,31.5,2025,32
3.06,1.25,6.6,5.6,1.0,73.4,西野　勇士,ロッテ,99.1,2025,34
3.59,1.39,2.1,2.1,1.6,35.4,石山　泰稚,ヤクルト,41.9,2025,36
2.95,1.2,1.6,1.9,0.8,22.8,水上　由伸,西武,31.8,2025,26
